GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
BattleCk_CNFH_Rel,0.5,1,0,0,0,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,517.34,40.398155,-122.14556,Battle Ck,1 (NA),0.5,197,BattleCk_CNFH_Rel
BattleCk1,1,0.996,0.005,0.95,1,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,516.98,40.39827,-122.14959,Battle Ck,0.996 (0.005),1,147,BattleCk_CNFH_Rel
BattleCk2,2,0.985,0.009,0.95,1,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,515.33,40.3954,-122.16553,Battle Ck,0.985 (0.009),2,160,BattleCk_CNFH_Rel
BattleCk3,3,0.975,0.011,0.94,0.99,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,511.45,40.38434,-122.17876,Battle Ck,0.975 (0.011),3,191,BattleCk_CNFH_Rel
Battle_Conf,4,0.975,0.011,0.94,0.99,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,507.48,40.35371,-122.17734,Upper Sac R,0.975 (0.011),4,191,BattleCk_CNFH_Rel
Blw_Paynes_Ck,5,0.944,0.016,0.9,0.97,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,476.27,40.25534,-122.17332,Upper Sac R,0.944 (0.016),5,186,BattleCk_CNFH_Rel
Blw_Salt,6,0.919,0.019,0.87,0.95,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,456.88,40.1464,-122.15246,Upper Sac R,0.919 (0.019),6,181,BattleCk_CNFH_Rel
Abv_WoodsonBr,7,0.873,0.024,0.82,0.91,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,425.15,39.920094,-122.08446000000001,Upper Sac R,0.873 (0.024),7,172,BattleCk_CNFH_Rel
GCID,8,0.731,0.032,0.66,0.79,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,404.42,39.79114,-122.036026,Upper Sac R,0.731 (0.032),8,144,BattleCk_CNFH_Rel
Blw_IrvineFinch,9,0.695,0.033,0.63,0.76,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,394.66,39.73146,-121.97483,Upper Sac R,0.695 (0.033),9,137,BattleCk_CNFH_Rel
BlwOrd,10,0.513,0.036,0.44,0.58,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,361.72,39.56548,-122.0018,Upper Sac R,0.513 (0.036),10,101,BattleCk_CNFH_Rel
ButteBr,11,0.431,0.035,0.36,0.5,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,344.1,39.4569,-121.995,Lower Sac R,0.431 (0.035),11,85,BattleCk_CNFH_Rel
AbvColusaBrRT,12,0.431,0.035,0.36,0.5,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,314.43,39.2647,-122,Lower Sac R,0.431 (0.035),12,45,BattleCk_CNFH_Rel
AbvColusaBr,13,0.189,0.028,0.14,0.25,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,307.73,39.2205,-122.00847,Lower Sac R,0.189 (0.028),13,36,BattleCk_CNFH_Rel
MeridanBr,14,0.155,0.027,0.11,0.22,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,290.84,39.145542,-121.917984,Lower Sac R,0.155 (0.027),14,29,BattleCk_CNFH_Rel
AbvTisdale,15,0.066,0.018,0.04,0.11,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,269.23,39.0364,-121.82918,Lower Sac R,0.066 (0.018),15,13,BattleCk_CNFH_Rel
BlwChinaBend,16,0.02,0.01,0.01,0.05,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,240.61,38.88406,-121.81713,Lower Sac R,0.02 (0.01),16,4,BattleCk_CNFH_Rel
KnightsLandingBr,17,0.02,0.01,0.01,0.05,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,224.05,38.8021,-121.72,Lower Sac R,0.02 (0.01),17,4,BattleCk_CNFH_Rel
TowerBridge,18,0.015,0.009,0,0.05,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,172,38.5802,-121.508,Lower Sac R,0.015 (0.009),18,3,BattleCk_CNFH_Rel
SacTrawl,19,0.01,0.007,0,0.04,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,166.815,38.539519999999996,-121.51444000000001,Lower Sac R,0.01 (0.007),19,2,BattleCk_CNFH_Rel
Freeport,20,0.01,0.007,0,0.04,2,2016-04-29_BattleCk_CNFH_Rel,2016-04-29,152.43,38.46467,-121.50501,Lower Sac R,0.01 (0.007),20,2,BattleCk_CNFH_Rel
