GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
Colusa AC3,7,0.057,0.013,0.04,0.09,2,2022-04-28_RBDD_Rel,2022-04-28,331.158,39.36038,-122.01373,Lower Sac R,0.057 (0.013),7,17,RBDD_Rel
Colusa AC2,8,0.057,0.013,0.04,0.09,2,2022-04-28_RBDD_Rel,2022-04-28,318.618,39.28007,-122.01891,Lower Sac R,0.057 (0.013),8,12,RBDD_Rel
AbvColusaBr,9,0.027,0.009,0.01,0.05,2,2022-04-28_RBDD_Rel,2022-04-28,307.738,39.2205,-122.00847,Lower Sac R,0.027 (0.009),9,8,RBDD_Rel
Colusa BC2,10,0.024,0.009,0.01,0.05,2,2022-04-28_RBDD_Rel,2022-04-28,296.278,39.184963,-121.943214,Lower Sac R,0.024 (0.009),10,7,RBDD_Rel
MeridanBr,11,0.024,0.009,0.01,0.05,2,2022-04-28_RBDD_Rel,2022-04-28,290.848,39.145542,-121.917984,Lower Sac R,0.024 (0.009),11,5,RBDD_Rel
AbvTisdale,12,0.017,0.007,0.01,0.04,2,2022-04-28_RBDD_Rel,2022-04-28,269.238,39.0364,-121.82918,Lower Sac R,0.017 (0.007),12,5,RBDD_Rel
BlwTisdale,13,0.017,0.007,0.01,0.04,2,2022-04-28_RBDD_Rel,2022-04-28,261.408,38.98941,-121.80463,Lower Sac R,0.017 (0.007),13,5,RBDD_Rel
BlwChinaBend,14,0.01,0.006,0,0.03,2,2022-04-28_RBDD_Rel,2022-04-28,240.618,38.88406,-121.81713,Lower Sac R,0.01 (0.006),14,3,RBDD_Rel
Knights_RST,15,0.01,0.006,0,0.03,2,2022-04-28_RBDD_Rel,2022-04-28,222.05,38.79348,-121.6914625,Lower Sac R,0.01 (0.006),15,3,RBDD_Rel
Abv_FremontWeir,16,0.01,0.006,0,0.03,2,2022-04-28_RBDD_Rel,2022-04-28,215.18,38.76009,-121.67145,Lower Sac R,0.01 (0.006),16,3,RBDD_Rel
Blw_FRConf,17,0.01,0.006,0,0.03,2,2022-04-28_RBDD_Rel,2022-04-28,203.468,38.77409,-121.60043,Lower Sac R,0.01 (0.006),17,3,RBDD_Rel
Blw_Elkhorn_GS1,18,0.007,0.005,0,0.03,2,2022-04-28_RBDD_Rel,2022-04-28,191.92,38.64737,-121.57771,Lower Sac R,0.007 (0.005),18,2,RBDD_Rel
