GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,studyID,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
MillCk_RST_Rel,0.5,1,0,0,0,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,450.703,40.05479,-122.032104,Mill Ck,1 (NA),0.5,11,MillCk_RST_Rel
Mill_Ck_Conf,1,0.818,0.116,0.49,0.95,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,441.318,40.0327,-122.11987,Upper Sac R,0.818 (0.116),1,9,MillCk_RST_Rel
Abv_WoodsonBr,2,0.455,0.15,0.2,0.73,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,425.158,39.920094,-122.08446000000001,Upper Sac R,0.455 (0.15),2,5,MillCk_RST_Rel
GCID,3,0.364,0.145,0.14,0.66,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,404.428,39.79114,-122.036026,Upper Sac R,0.364 (0.145),3,4,MillCk_RST_Rel
Blw_IrvineFinch,4,0.364,0.145,0.14,0.66,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,394.668,39.73146,-121.97483,Upper Sac R,0.364 (0.145),4,4,MillCk_RST_Rel
BlwOrd,5,0.364,0.145,0.14,0.66,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,361.728,39.56548,-122.0018,Upper Sac R,0.364 (0.145),5,4,MillCk_RST_Rel
ButteBr,6,0.364,0.145,0.14,0.66,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,344.108,39.4569,-121.995,Lower Sac R,0.364 (0.145),6,4,MillCk_RST_Rel
AbvColusaBr,7,0.182,0.116,0.05,0.51,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,307.738,39.2205,-122.00847,Lower Sac R,0.182 (0.116),7,2,MillCk_RST_Rel
AbvTisdale,8,0.182,0.116,0.05,0.51,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,269.238,39.0364,-121.82918,Lower Sac R,0.182 (0.116),8,2,MillCk_RST_Rel
BlwChinaBend,9,0.182,0.116,0.05,0.51,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,240.618,38.88406,-121.81713,Lower Sac R,0.182 (0.116),9,2,MillCk_RST_Rel
KnightsLandingBr,10,0.091,0.087,0.01,0.44,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,224.05,38.8021,-121.72,Lower Sac R,0.091 (0.087),10,1,MillCk_RST_Rel
Blw_FRConf,11,0.091,0.087,0.01,0.44,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,203.468,38.78212,-121.61526,Lower Sac R,0.091 (0.087),11,1,MillCk_RST_Rel
TowerBridge,12,0.091,0,0,0,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,172,38.5802,-121.508,Lower Sac R,0.091 (NaN),12,1,MillCk_RST_Rel
I80-50_Br,13,0.091,0,0,0,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,170.748,38.571133,-121.5164,Lower Sac R,0.091 (NaN),13,1,MillCk_RST_Rel
SacTrawl,14,0.091,0,0,0,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,166.8225,38.539519999999996,-121.51444000000001,Lower Sac R,0.091 (NaN),14,1,MillCk_RST_Rel
Freeport,15,0.091,0,0,0,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,152.438,38.46467,-121.50501,Lower Sac R,0.091 (NaN),15,1,MillCk_RST_Rel
Chipps,16,0.091,0,0,0,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,71.48599999999999,38.046132,-121.912643,West Delta,0.091 (NaN),16,1,MillCk_RST_Rel
Benicia,17,0.091,0,0,0,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,52.048,38.041233,-122.12382,Carquinez Strait,0.091 (NaN),17,1,MillCk_RST_Rel
GoldenGateE,18,0.091,0,0,0,1,2016-05-10_MillCk_RST_Rel,2016-05-10,MillCk_Wild_STH_2016,1.71,37.82794,-122.46168,SF Bay,0.091 (NaN),18,1,MillCk_RST_Rel
