GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
AR_Sunrise_Ramp_Rel,0.5,1,0,0,0,1,2018-05-10_AR_Sunrise_Ramp_Rel,2018-05-10,206.04,38.63634,-121.26424,Amer R,1 (NA),0.5,150,AR_Sunrise_Ramp_Rel
TowerBridge,1,0.68,0.038,0.6,0.75,1,2018-05-10_AR_Sunrise_Ramp_Rel,2018-05-10,172,38.5802,-121.508,Lower Sac R,0.68 (0.038),1,102,AR_Sunrise_Ramp_Rel
SacTrawl,2,0.647,0.039,0.57,0.72,1,2018-05-10_AR_Sunrise_Ramp_Rel,2018-05-10,166.815,38.539519999999996,-121.51444000000001,Lower Sac R,0.647 (0.039),2,97,AR_Sunrise_Ramp_Rel
Hood,3,0.353,0.039,0.28,0.43,1,2018-05-10_AR_Sunrise_Ramp_Rel,2018-05-10,138.22,38.3617,-121.52033,Lower Sac R,0.353 (0.039),3,53,AR_Sunrise_Ramp_Rel
Chipps,4,0.033,0.015,0.01,0.08,1,2018-05-10_AR_Sunrise_Ramp_Rel,2018-05-10,71.47999999999999,38.046132,-121.912643,West Delta,0.033 (0.015),4,5,AR_Sunrise_Ramp_Rel
Benicia,5,0.02,0.011,0.01,0.06,1,2018-05-10_AR_Sunrise_Ramp_Rel,2018-05-10,52.14,38.0423015,-122.1236,Carquinez Strait,0.02 (0.011),5,3,AR_Sunrise_Ramp_Rel
GoldenGateE,6,0.014,0.01,0,0.05,1,2018-05-10_AR_Sunrise_Ramp_Rel,2018-05-10,1.71,37.82794,-122.46168,SF Bay,0.014 (0.01),6,2,AR_Sunrise_Ramp_Rel
Mare_Island_Rel,5.5,1,0,0,0,2,2018-05-22_Mare_Island_Rel,2018-05-22,40.02,38.066307,-122.24687,San Pablo Bay,1 (NA),5.5,84,Mare_Island_Rel
GoldenGateE,6,0.287,0.049,0.2,0.39,2,2018-05-22_Mare_Island_Rel,2018-05-22,1.71,37.82794,-122.46168,SF Bay,0.287 (0.049),6,23,Mare_Island_Rel
