GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,studyID,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
MillCk_RST_Rel,0.5,1,0,0,0,1,2015-04-27_MillCk_RST_Rel,2015-04-27,MillCk_Wild_STH_2015,450.703,40.05479,-122.032104,Mill Ck,1 (NA),0.5,18,MillCk_RST_Rel
MillCk1,1,1,0,0,0,1,2015-04-27_MillCk_RST_Rel,2015-04-27,MillCk_Wild_STH_2015,449.921,40.055504,-122.04123,Mill Ck,1 (0),1,13,MillCk_RST_Rel
Mill_Ck_Conf,2,0.556,0.117,0.33,0.76,1,2015-04-27_MillCk_RST_Rel,2015-04-27,MillCk_Wild_STH_2015,441.318,40.0327,-122.11987,Upper Sac R,0.556 (0.117),2,10,MillCk_RST_Rel
Abv_WoodsonBr,3,0.444,0.117,0.24,0.67,1,2015-04-27_MillCk_RST_Rel,2015-04-27,MillCk_Wild_STH_2015,425.158,39.920094,-122.08446000000001,Upper Sac R,0.444 (0.117),3,8,MillCk_RST_Rel
Blw_IrvineFinch,4,0.389,0.115,0.2,0.62,1,2015-04-27_MillCk_RST_Rel,2015-04-27,MillCk_Wild_STH_2015,394.668,39.73146,-121.97483,Upper Sac R,0.389 (0.115),4,7,MillCk_RST_Rel
BlwOrd,5,0.37,0.132,0.16,0.64,1,2015-04-27_MillCk_RST_Rel,2015-04-27,MillCk_Wild_STH_2015,361.728,39.56548,-122.0018,Upper Sac R,0.37 (0.132),5,5,MillCk_RST_Rel
ButteBr,6,0.222,0.098,0.09,0.47,1,2015-04-27_MillCk_RST_Rel,2015-04-27,MillCk_Wild_STH_2015,344.108,39.4569,-121.995,Lower Sac R,0.222 (0.098),6,4,MillCk_RST_Rel
AbvColusaBr,7,0.167,0.088,0.06,0.41,1,2015-04-27_MillCk_RST_Rel,2015-04-27,MillCk_Wild_STH_2015,307.738,39.2205,-122.00847,Lower Sac R,0.167 (0.088),7,3,MillCk_RST_Rel
AbvTisdale,8,0.167,0.088,0.06,0.41,1,2015-04-27_MillCk_RST_Rel,2015-04-27,MillCk_Wild_STH_2015,269.238,39.0364,-121.82918,Lower Sac R,0.167 (0.088),8,3,MillCk_RST_Rel
BlwChinaBend,9,0.111,0.074,0.03,0.35,1,2015-04-27_MillCk_RST_Rel,2015-04-27,MillCk_Wild_STH_2015,240.618,38.88406,-121.81713,Lower Sac R,0.111 (0.074),9,2,MillCk_RST_Rel
KnightsLanding,10,0.111,0.074,0.03,0.35,1,2015-04-27_MillCk_RST_Rel,2015-04-27,MillCk_Wild_STH_2015,224.068,38.82341,-121.72388,Lower Sac R,0.111 (0.074),10,2,MillCk_RST_Rel
Blw_FRConf,11,0.111,0.074,0.03,0.35,1,2015-04-27_MillCk_RST_Rel,2015-04-27,MillCk_Wild_STH_2015,203.468,38.77409,-121.60043,Lower Sac R,0.111 (0.074),11,2,MillCk_RST_Rel
I80-50_Br,12,0.111,0.074,0.03,0.35,1,2015-04-27_MillCk_RST_Rel,2015-04-27,MillCk_Wild_STH_2015,170.748,38.571133,-121.5164,Lower Sac R,0.111 (0.074),12,2,MillCk_RST_Rel
Freeport,13,0.111,0.074,0.03,0.35,1,2015-04-27_MillCk_RST_Rel,2015-04-27,MillCk_Wild_STH_2015,152.438,38.46467,-121.50501,Lower Sac R,0.111 (0.074),13,2,MillCk_RST_Rel
Hood,14,0.111,0.074,0.03,0.35,1,2015-04-27_MillCk_RST_Rel,2015-04-27,MillCk_Wild_STH_2015,138.228,38.3617,-121.52033,Lower Sac R,0.111 (0.074),14,2,MillCk_RST_Rel
