GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
RBDD_Rel,0.5,1,0,0,0,1,2022-12-13_RBDD_Rel,2022-12-13,461.579,40.15444,-122.20249,Upper Sac R,1 (NA),0.5,200,RBDD_Rel
Abv_WoodsonBr,1,0.704,0.033,0.64,0.76,1,2022-12-13_RBDD_Rel,2022-12-13,425.158,39.920094,-122.08446000000001,Upper Sac R,0.704 (0.033),1,139,RBDD_Rel
GCID,2,0.497,0.036,0.43,0.57,1,2022-12-13_RBDD_Rel,2022-12-13,405.273,39.799051000000006,-122.0471165,Upper Sac R,0.497 (0.036),2,99,RBDD_Rel
Blw_IrvineFinch,3,0.382,0.035,0.32,0.45,1,2022-12-13_RBDD_Rel,2022-12-13,394.668,39.73146,-121.97483,Upper Sac R,0.382 (0.035),3,76,RBDD_Rel
Ord,4,0.213,0.029,0.16,0.28,1,2022-12-13_RBDD_Rel,2022-12-13,371.658,39.634564999999995,-121.98939,Upper Sac R,0.213 (0.029),4,41,RBDD_Rel
BlwOrd,5,0.156,0.026,0.11,0.21,1,2022-12-13_RBDD_Rel,2022-12-13,361.728,39.56548,-122.0018,Upper Sac R,0.156 (0.026),5,30,RBDD_Rel
AbvButteBr,6,0.116,0.023,0.08,0.17,1,2022-12-13_RBDD_Rel,2022-12-13,347.188,39.4717175,-121.995482,Lower Sac R,0.116 (0.023),6,23,RBDD_Rel
Colusa AC3,7,0.091,0.02,0.06,0.14,1,2022-12-13_RBDD_Rel,2022-12-13,331.158,39.36038,-122.01373,Lower Sac R,0.091 (0.02),7,17,RBDD_Rel
Benicia,8,0.025,0.011,0.01,0.06,1,2022-12-13_RBDD_Rel,2022-12-13,52.144000000000005,38.0423015,-122.1236,Carquinez Strait,0.025 (0.011),8,5,RBDD_Rel
GoldenGateE,9,0.01,0.007,0,0.04,1,2022-12-13_RBDD_Rel,2022-12-13,1.71,37.82794,-122.46168,SF Bay,0.01 (0.007),9,2,RBDD_Rel
RBDD_Rel,0.5,1,0,0,0,2,2023-02-01_RBDD_Rel,2023-02-01,461.579,40.15444,-122.20249,Upper Sac R,1 (NA),0.5,200,RBDD_Rel
Abv_WoodsonBr,1,0.961,0.014,0.92,0.98,2,2023-02-01_RBDD_Rel,2023-02-01,425.158,39.920094,-122.08446000000001,Upper Sac R,0.961 (0.014),1,192,RBDD_Rel
GCID,2,0.946,0.016,0.9,0.97,2,2023-02-01_RBDD_Rel,2023-02-01,405.273,39.799051000000006,-122.0471165,Upper Sac R,0.946 (0.016),2,189,RBDD_Rel
