GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
FR_Boyds_Rel,3.5,1,0,0,0,1,2015-03-18_FR_Boyds_Rel,2015-03-18,240.75,39.057335,-121.61066,Feather_R,1 (NA),3.5,75,FR_Boyds_Rel
StarBend,4,0.773,0.048,0.66,0.85,1,2015-03-18_FR_Boyds_Rel,2015-03-18,234.92,39.009884,-121.59382,Feather_R,0.773 (0.048),4,58,FR_Boyds_Rel
BC_Beach,5,0.427,0.057,0.32,0.54,1,2015-03-18_FR_Boyds_Rel,2015-03-18,217.31,38.877506,-121.61404,Feather_R,0.427 (0.057),5,32,FR_Boyds_Rel
Blw_FRConf,6,0.23,0.049,0.15,0.34,1,2015-03-18_FR_Boyds_Rel,2015-03-18,203.46,38.78212,-121.61526,Lower Sac R,0.23 (0.049),6,16,FR_Boyds_Rel
I80-50_Br,7,0.141,0.042,0.08,0.24,1,2015-03-18_FR_Boyds_Rel,2015-03-18,170.74,38.571133,-121.5164,Lower Sac R,0.141 (0.042),7,9,FR_Boyds_Rel
Freeport,8,0.053,0.026,0.02,0.13,1,2015-03-18_FR_Boyds_Rel,2015-03-18,152.43,38.46467,-121.50501,Lower Sac R,0.053 (0.026),8,4,FR_Boyds_Rel
FR_Gridley_Rel,0.5,1,0,0,0,2,2015-03-18_FR_Gridley_Rel,2015-03-18,287.38,39.357876,-121.63604,Feather_R,1 (NA),0.5,75,FR_Gridley_Rel
CoxRiffle,1,0.813,0.045,0.71,0.89,2,2015-03-18_FR_Gridley_Rel,2015-03-18,283.87,39.333267,-121.632675,Feather_R,0.813 (0.045),1,61,FR_Gridley_Rel
SunsetPumps,2,0.675,0.061,0.55,0.78,2,2015-03-18_FR_Gridley_Rel,2015-03-18,269.75,39.251724,-121.63522,Feather_R,0.675 (0.061),2,48,FR_Gridley_Rel
ShanghaiBend,3,0.347,0.055,0.25,0.46,2,2015-03-18_FR_Gridley_Rel,2015-03-18,245.45,39.094635,-121.59285,Feather_R,0.347 (0.055),3,26,FR_Gridley_Rel
StarBend,4,0.267,0.051,0.18,0.38,2,2015-03-18_FR_Gridley_Rel,2015-03-18,234.92,39.009884,-121.59382,Feather_R,0.267 (0.051),4,20,FR_Gridley_Rel
BC_Beach,5,0.16,0.042,0.09,0.26,2,2015-03-18_FR_Gridley_Rel,2015-03-18,217.31,38.877506,-121.61404,Feather_R,0.16 (0.042),5,12,FR_Gridley_Rel
Blw_FRConf,6,0.11,0.037,0.06,0.21,2,2015-03-18_FR_Gridley_Rel,2015-03-18,203.46,38.78212,-121.61526,Lower Sac R,0.11 (0.037),6,8,FR_Gridley_Rel
I80-50_Br,7,0.015,0.015,0,0.1,2,2015-03-18_FR_Gridley_Rel,2015-03-18,170.74,38.571133,-121.5164,Lower Sac R,0.015 (0.015),7,1,FR_Gridley_Rel
FR_Boyds_Rel,3.5,1,0,0,0,3,2015-04-02_FR_Boyds_Rel,2015-04-02,240.75,39.057335,-121.61066,Feather_R,1 (NA),3.5,75,FR_Boyds_Rel
StarBend,4,0.827,0.044,0.72,0.9,3,2015-04-02_FR_Boyds_Rel,2015-04-02,234.92,39.009884,-121.59382,Feather_R,0.827 (0.044),4,62,FR_Boyds_Rel
BC_Beach,5,0.347,0.055,0.25,0.46,3,2015-04-02_FR_Boyds_Rel,2015-04-02,217.31,38.877506,-121.61404,Feather_R,0.347 (0.055),5,26,FR_Boyds_Rel
