GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,studyID,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
SutterBypass_Weir2_RST_Rel,0.5,1,0,0,0,1,2017-05-10_SutterBypass_Weir2_RST_Rel,2017-05-10,SB_Spring_2017,249.54,39.10239,-121.758804,Sutter Bypass,1 (NA),0.5,190,SutterBypass_Weir2_RST_Rel
TowerBridge,1,0.3,0.033,0.24,0.37,1,2017-05-10_SutterBypass_Weir2_RST_Rel,2017-05-10,SB_Spring_2017,172,38.5802,-121.508,Lower Sac R,0.3 (0.033),1,54,SutterBypass_Weir2_RST_Rel
SacTrawl,2,0.3,0.033,0.24,0.37,1,2017-05-10_SutterBypass_Weir2_RST_Rel,2017-05-10,SB_Spring_2017,166.815,38.539519999999996,-121.51444000000001,Lower Sac R,0.3 (0.033),2,54,SutterBypass_Weir2_RST_Rel
Chipps,3,0.185,0.028,0.14,0.25,1,2017-05-10_SutterBypass_Weir2_RST_Rel,2017-05-10,SB_Spring_2017,71.47999999999999,38.046132,-121.912643,West Delta,0.185 (0.028),3,34,SutterBypass_Weir2_RST_Rel
Benicia,4,0.155,0.027,0.11,0.21,1,2017-05-10_SutterBypass_Weir2_RST_Rel,2017-05-10,SB_Spring_2017,52.04,38.041233,-122.12382,Carquinez Strait,0.155 (0.027),4,28,SutterBypass_Weir2_RST_Rel
GoldenGateE,5,0.113,0.023,0.07,0.17,1,2017-05-10_SutterBypass_Weir2_RST_Rel,2017-05-10,SB_Spring_2017,1.71,37.82794,-122.46168,SF Bay,0.113 (0.023),5,17,SutterBypass_Weir2_RST_Rel
