GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
ButteBr,9,0.202,0.022,0.16,0.25,2,2020-05-21_RBDD_Rel,2020-05-21,344.1,39.4569,-121.995,Lower Sac R,0.202 (0.022),9,64,RBDD_Rel
Colusa AC3,10,0.183,0.022,0.14,0.23,2,2020-05-21_RBDD_Rel,2020-05-21,331.15,39.359877499999996,-122.01365999999999,Lower Sac R,0.183 (0.022),10,56,RBDD_Rel
Colusa AC2,11,0.152,0.02,0.12,0.2,2,2020-05-21_RBDD_Rel,2020-05-21,318.61,39.28007,-122.01891,Lower Sac R,0.152 (0.02),11,48,RBDD_Rel
AbvColusaBr,12,0.123,0.019,0.09,0.16,2,2020-05-21_RBDD_Rel,2020-05-21,307.73,39.2205,-122.00847,Lower Sac R,0.123 (0.019),12,37,RBDD_Rel
Colusa BC4,13,0.096,0.016,0.07,0.13,2,2020-05-21_RBDD_Rel,2020-05-21,280.4,39.09362,-121.89405,Lower Sac R,0.096 (0.016),13,31,RBDD_Rel
Knights_RST,14,0.062,0.013,0.04,0.09,2,2020-05-21_RBDD_Rel,2020-05-21,222.05,38.79248,-121.69087,Lower Sac R,0.062 (0.013),14,17,RBDD_Rel
KnightsBlwRST,15,0.062,0.013,0.04,0.09,2,2020-05-21_RBDD_Rel,2020-05-21,221.58,38.78877,-121.694,Lower Sac R,0.062 (0.013),15,20,RBDD_Rel
Blw_FRConf,16,0.059,0.013,0.04,0.09,2,2020-05-21_RBDD_Rel,2020-05-21,203.46,38.78212,-121.61526,Lower Sac R,0.059 (0.013),16,18,RBDD_Rel
Blw_FR_GS2,17,0.05,0.012,0.03,0.08,2,2020-05-21_RBDD_Rel,2020-05-21,199,38.735055,-121.603635,Lower Sac R,0.05 (0.012),17,16,RBDD_Rel
Blw_Elkhorn_GS1,18,0.05,0.012,0.03,0.08,2,2020-05-21_RBDD_Rel,2020-05-21,191.92,38.647935000000004,-121.578205,Lower Sac R,0.05 (0.012),18,16,RBDD_Rel
TowerBridge,19,0.034,0.01,0.02,0.06,2,2020-05-21_RBDD_Rel,2020-05-21,172,38.5802,-121.508,Lower Sac R,0.034 (0.01),19,11,RBDD_Rel
I80-50_Br,20,0.034,0.01,0.02,0.06,2,2020-05-21_RBDD_Rel,2020-05-21,170.74,38.571133,-121.5164,Lower Sac R,0.034 (0.01),20,11,RBDD_Rel
