GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
Ord,8,0.087,0.016,0.06,0.12,2,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,371.658,39.63447,-121.98959,Upper Sac R,0.087 (0.016),8,26,BattleCk_CNFH_Rel
BlwOrd,9,0.077,0.015,0.05,0.11,2,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,361.728,39.56548,-122.0018,Upper Sac R,0.077 (0.015),9,23,BattleCk_CNFH_Rel
Colusa AC3,10,0.05,0.013,0.03,0.08,2,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,331.158,39.36038,-122.01373,Lower Sac R,0.05 (0.013),10,15,BattleCk_CNFH_Rel
Colusa AC2,11,0.043,0.012,0.03,0.07,2,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,318.618,39.28007,-122.01891,Lower Sac R,0.043 (0.012),11,13,BattleCk_CNFH_Rel
AbvColusaBr,12,0.037,0.011,0.02,0.06,2,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,307.738,39.2205,-122.00847,Lower Sac R,0.037 (0.011),12,9,BattleCk_CNFH_Rel
Colusa BC2,13,0.033,0.01,0.02,0.06,2,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,296.278,39.184963,-121.943214,Lower Sac R,0.033 (0.01),13,10,BattleCk_CNFH_Rel
Colusa BC3,14,0.033,0.01,0.02,0.06,2,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,287.208,39.13132,-121.936554,Lower Sac R,0.033 (0.01),14,10,BattleCk_CNFH_Rel
AbvTisdale,15,0.027,0.009,0.01,0.05,2,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,269.238,39.0364,-121.82918,Lower Sac R,0.027 (0.009),15,8,BattleCk_CNFH_Rel
BlwTisdale,16,0.027,0.009,0.01,0.05,2,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,261.408,38.98941,-121.80463,Lower Sac R,0.027 (0.009),16,8,BattleCk_CNFH_Rel
BlwChinaBend,17,0.027,0.009,0.01,0.05,2,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,240.618,38.88406,-121.81713,Lower Sac R,0.027 (0.009),17,8,BattleCk_CNFH_Rel
Knights_RST,18,0.027,0.009,0.01,0.05,2,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,222.05,38.79248,-121.69087,Lower Sac R,0.027 (0.009),18,8,BattleCk_CNFH_Rel
Blw_Elkhorn_GS1,19,0.013,0.007,0,0.04,2,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,191.92,38.64737,-121.57771,Lower Sac R,0.013 (0.007),19,4,BattleCk_CNFH_Rel
TowerBridge,20,0.013,0.007,0,0.04,2,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,172,38.5802,-121.508,Lower Sac R,0.013 (0.007),20,4,BattleCk_CNFH_Rel
Freeport,21,0.007,0.005,0,0.03,2,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,152.438,38.46467,-121.50501,Lower Sac R,0.007 (0.005),21,2,BattleCk_CNFH_Rel
