GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,studyID,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
Caldwell_Park_Rel,0.5,1,0,0,0,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,551.28,40.593826,-122.39836,Upper Sac R,1 (NA),0.5,358,Caldwell_Park_Rel
Blw_Cypress,1,0.984,0.007,0.96,0.99,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,543.9,40.56047,-122.37527,Upper Sac R,0.984 (0.007),1,325,Caldwell_Park_Rel
Blw_ClearCr,2,0.978,0.008,0.96,0.99,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,535.62,40.50188,-122.36192,Upper Sac R,0.978 (0.008),2,335,Caldwell_Park_Rel
BlwCowCr,3,0.969,0.009,0.94,0.98,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,520.69,40.46013,-122.22765,Upper Sac R,0.969 (0.009),3,331,Caldwell_Park_Rel
Battle_Conf,4,0.968,0.01,0.94,0.98,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,507.48,40.35371,-122.17734,Upper Sac R,0.968 (0.01),4,330,Caldwell_Park_Rel
Blw_Paynes_Ck,5,0.943,0.012,0.91,0.96,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,476.27,40.25534,-122.17332,Upper Sac R,0.943 (0.012),5,328,Caldwell_Park_Rel
Blw_Salt,6,0.892,0.016,0.86,0.92,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,456.88,40.1464,-122.15246,Upper Sac R,0.892 (0.016),6,310,Caldwell_Park_Rel
Mill_Ck_Conf,7,0.855,0.019,0.81,0.89,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,441.31,40.0327,-122.11987,Upper Sac R,0.855 (0.019),7,293,Caldwell_Park_Rel
Abv_WoodsonBr,8,0.791,0.022,0.74,0.83,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,425.15,39.920094,-122.08446000000001,Upper Sac R,0.791 (0.022),8,271,Caldwell_Park_Rel
Blw_IrvineFinch,9,0.608,0.027,0.55,0.66,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,394.66,39.73146,-121.97483,Upper Sac R,0.608 (0.027),9,186,Caldwell_Park_Rel
BlwOrd,10,0.487,0.027,0.44,0.54,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,361.72,39.56548,-122.0018,Upper Sac R,0.487 (0.027),10,151,Caldwell_Park_Rel
BlwButteBr,11,0.452,0.027,0.4,0.51,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,338.28,39.41913,-122.00943,Lower Sac R,0.452 (0.027),11,118,Caldwell_Park_Rel
AbvColusaBr,12,0.405,0.026,0.36,0.46,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,307.73,39.2205,-122.00847,Lower Sac R,0.405 (0.026),12,113,Caldwell_Park_Rel
AbvTisdale,13,0.399,0.026,0.35,0.45,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,269.23,39.0364,-121.82918,Lower Sac R,0.399 (0.026),13,121,Caldwell_Park_Rel
TowerBridge,14,0.365,0.026,0.32,0.42,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,172,38.5802,-121.508,Lower Sac R,0.365 (0.026),14,121,Caldwell_Park_Rel
FreeportBr,15,0.351,0.026,0.3,0.41,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,151.1,38.45568,-121.501976,Lower Sac R,0.351 (0.026),15,92,Caldwell_Park_Rel
Hood,16,0.325,0.028,0.27,0.38,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,138.22,38.3617,-121.52033,Lower Sac R,0.325 (0.028),16,103,Caldwell_Park_Rel
Benicia,17,0.13,0.02,0.1,0.17,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,52.04,38.041233,-122.12382,Carquinez Strait,0.13 (0.02),17,43,Caldwell_Park_Rel
GoldenGateE,18,0.04,0.011,0.02,0.07,1,2014-02-10_Caldwell_Park_Rel,2014-02-10,Winter_H_2014,1.71,37.82794,-122.46168,SF Bay,0.04 (0.011),18,11,Caldwell_Park_Rel
