GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
Ord,6,0.234,0.028,0.18,0.29,2,2022-05-04_Altube Island_Rel,2022-05-04,371.658,39.63447,-121.98959,Upper Sac R,0.234 (0.028),6,54,Altube Island_Rel
BlwOrd,7,0.173,0.025,0.13,0.23,2,2022-05-04_Altube Island_Rel,2022-05-04,361.728,39.56548,-122.0018,Upper Sac R,0.173 (0.025),7,40,Altube Island_Rel
Colusa AC3,8,0.078,0.018,0.05,0.12,2,2022-05-04_Altube Island_Rel,2022-05-04,331.158,39.36038,-122.01373,Lower Sac R,0.078 (0.018),8,18,Altube Island_Rel
Colusa AC2,9,0.057,0.015,0.03,0.1,2,2022-05-04_Altube Island_Rel,2022-05-04,318.618,39.28007,-122.01891,Lower Sac R,0.057 (0.015),9,13,Altube Island_Rel
AbvColusaBr,10,0.048,0.014,0.03,0.08,2,2022-05-04_Altube Island_Rel,2022-05-04,307.738,39.2205,-122.00847,Lower Sac R,0.048 (0.014),10,11,Altube Island_Rel
Colusa BC2,11,0.048,0.014,0.03,0.08,2,2022-05-04_Altube Island_Rel,2022-05-04,296.278,39.184963,-121.943214,Lower Sac R,0.048 (0.014),11,11,Altube Island_Rel
AbvTisdale,12,0.03,0.011,0.01,0.06,2,2022-05-04_Altube Island_Rel,2022-05-04,269.238,39.0364,-121.82918,Lower Sac R,0.03 (0.011),12,7,Altube Island_Rel
BlwTisdale,13,0.026,0.01,0.01,0.06,2,2022-05-04_Altube Island_Rel,2022-05-04,261.408,38.98941,-121.80463,Lower Sac R,0.026 (0.01),13,6,Altube Island_Rel
BlwChinaBend,14,0.013,0.007,0,0.04,2,2022-05-04_Altube Island_Rel,2022-05-04,240.618,38.88406,-121.81713,Lower Sac R,0.013 (0.007),14,3,Altube Island_Rel
Knights_RST,15,0.009,0.006,0,0.03,2,2022-05-04_Altube Island_Rel,2022-05-04,222.05,38.79348,-121.6914625,Lower Sac R,0.009 (0.006),15,2,Altube Island_Rel
Blw_Knights_GS3,16,0.009,0.006,0,0.03,2,2022-05-04_Altube Island_Rel,2022-05-04,215.34,38.75972,-121.67329,Lower Sac R,0.009 (0.006),16,2,Altube Island_Rel
Blw_FRConf,17,0.009,0.006,0,0.03,2,2022-05-04_Altube Island_Rel,2022-05-04,203.468,38.77409,-121.60043,Lower Sac R,0.009 (0.006),17,2,Altube Island_Rel
Blw_Elkhorn_GS1,18,0.009,0.006,0,0.03,2,2022-05-04_Altube Island_Rel,2022-05-04,191.92,38.64737,-121.57771,Lower Sac R,0.009 (0.006),18,2,Altube Island_Rel
