GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
JV_Glide1,9,0.831,0.024,0.78,0.87,2,2018-03-13_Bonnyview_Rel,2018-03-13,458.67,40.146988,-122.17251,Upper Sac R,0.831 (0.024),9,188,Bonnyview_Rel
Blw_Salt,10,0.823,0.025,0.77,0.87,2,2018-03-13_Bonnyview_Rel,2018-03-13,456.88,40.1464,-122.15246,Upper Sac R,0.823 (0.025),10,182,Bonnyview_Rel
BankRobber,11,0.81,0.025,0.76,0.86,2,2018-03-13_Bonnyview_Rel,2018-03-13,452.55,40.112935,-122.13424499999999,Upper Sac R,0.81 (0.025),11,184,Bonnyview_Rel
Hunters,12,0.802,0.026,0.75,0.85,2,2018-03-13_Bonnyview_Rel,2018-03-13,450.35,40.096165,-122.130165,Upper Sac R,0.802 (0.026),12,183,Bonnyview_Rel
Oat_Creek,13,0.793,0.026,0.74,0.84,2,2018-03-13_Bonnyview_Rel,2018-03-13,447.2,40.07802,-122.11694,Upper Sac R,0.793 (0.026),13,187,Bonnyview_Rel
Blw_Woodson,14,0.751,0.028,0.69,0.8,2,2018-03-13_Bonnyview_Rel,2018-03-13,421.4,39.898,-122.06787,Upper Sac R,0.751 (0.028),14,167,Bonnyview_Rel
Abv_Otter_Island,15,0.751,0.028,0.69,0.8,2,2018-03-13_Bonnyview_Rel,2018-03-13,419.39,39.882027,-122.064445,Upper Sac R,0.751 (0.028),15,175,Bonnyview_Rel
GCID,16,0.751,0.028,0.69,0.8,2,2018-03-13_Bonnyview_Rel,2018-03-13,405.265,39.798953499999996,-122.04724300000001,Upper Sac R,0.751 (0.028),16,147,Bonnyview_Rel
Blw_IrvineFinch,17,0.593,0.033,0.53,0.66,2,2018-03-13_Bonnyview_Rel,2018-03-13,394.66,39.73146,-121.97483,Upper Sac R,0.593 (0.033),17,111,Bonnyview_Rel
BlwOrd,18,0.48,0.035,0.41,0.55,2,2018-03-13_Bonnyview_Rel,2018-03-13,361.72,39.56548,-122.0018,Upper Sac R,0.48 (0.035),18,96,Bonnyview_Rel
Chipps,19,0.283,0.029,0.23,0.34,2,2018-03-13_Bonnyview_Rel,2018-03-13,71.47999999999999,38.046132,-121.912643,West Delta,0.283 (0.029),19,67,Bonnyview_Rel
Benicia,20,0.274,0.03,0.22,0.34,2,2018-03-13_Bonnyview_Rel,2018-03-13,52.14,38.0423015,-122.1236,Carquinez Strait,0.274 (0.03),20,59,Bonnyview_Rel
GoldenGateE,21,0.184,0.028,0.14,0.24,2,2018-03-13_Bonnyview_Rel,2018-03-13,1.71,37.82794,-122.46168,SF Bay,0.184 (0.028),21,20,Bonnyview_Rel
