cum.phi,cum.phi.se,LCI,UCI,StudyID,GEN,RKM,reach_num,Region,count,GenLat,GenLon
1,0,1,1,SB_Spring_2016,SutterBypass_Weir2_RST_Rel,249.54,0,Sutter Bypass,200,39.10239,-121.758804
1,0,0,0,SB_Spring_2016,Butte0.5,249.5,1,Sutter Bypass,53,39.102,-121.75864
0.985,0.009,0.955,0.995,SB_Spring_2016,Butte1,249.05,2,Sutter Bypass,197,39.09834,-121.75655
0.825,0.027,0.766,0.872,SB_Spring_2016,Butte2,238.46,3,Sutter Bypass,165,39.00687,-121.72227
0.675,0.033,0.607,0.736,SB_Spring_2016,Butte3,226.46,4,Sutter Bypass,135,38.92734,-121.62995
0.675,0.033,0.607,0.736,SB_Spring_2016,Butte4,224.89,5,Sutter Bypass,95,38.915024,-121.62542
0.45,0.035,0.382,0.519,SB_Spring_2016,Butte5,216.98,6,Sutter Bypass,90,38.85305,-121.65151
0.355,0.034,0.292,0.424,SB_Spring_2016,Butte6,206.48,7,Sutter Bypass,71,38.78346,-121.63226
0.27,0.031,0.213,0.336,SB_Spring_2016,TowerBridge,172,8,Lower Sac R,54,38.5802,-121.508
0.27,0.031,0.213,0.336,SB_Spring_2016,I80-50_Br,170.74,9,Lower Sac R,53,38.571133,-121.5164
0.27,0.031,0.213,0.336,SB_Spring_2016,SacTrawl1,167,10,Lower Sac R,54,38.54081,-121.51331
0.265,0.031,0.208,0.33,SB_Spring_2016,SacTrawl2,166.63,11,Lower Sac R,53,38.53823,-121.51557
0.245,0.03,0.19,0.309,SB_Spring_2016,Freeport,152.43,12,Lower Sac R,49,38.46467,-121.50501
0.235,0.03,0.181,0.299,SB_Spring_2016,Hood_RT,139,13,Lower Sac R,47,38.3741,-121.523
0.05,0.015,0.027,0.09,SB_Spring_2016,Chipps,71.47999999999999,14,West Delta,10,38.046132,-121.912643
0.03,0.012,0.014,0.065,SB_Spring_2016,Benicia,52.04,15,Carquinez Strait,6,38.041233,-122.12382
0.02,0.01,0.008,0.052,SB_Spring_2016,GoldenGateE,1.71,16,SF Bay,4,37.82794,-122.46168
