GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,studyID,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
MillCk_RST_Rel,0.5,1,0,0,0,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,450.7,40.05479,-122.032104,Mill Ck,1 (NA),0.5,30,MillCk_RST_Rel
Mill_Ck_Conf,1,0.809,0.075,0.62,0.92,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,441.31,40.0327,-122.11987,Upper Sac R,0.809 (0.075),1,19,MillCk_RST_Rel
Abv_WoodsonBr,2,0.767,0.077,0.58,0.88,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,425.15,39.920094,-122.08446000000001,Upper Sac R,0.767 (0.077),2,20,MillCk_RST_Rel
GCID,3,0.767,0.077,0.58,0.88,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,404.42,39.79114,-122.036026,Upper Sac R,0.767 (0.077),3,23,MillCk_RST_Rel
Blw_IrvineFinch,4,0.7,0.084,0.52,0.84,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,394.66,39.73146,-121.97483,Upper Sac R,0.7 (0.084),4,21,MillCk_RST_Rel
BlwOrd,5,0.633,0.088,0.45,0.78,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,361.72,39.56548,-122.0018,Upper Sac R,0.633 (0.088),5,19,MillCk_RST_Rel
ButteBr,6,0.604,0.09,0.42,0.76,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,344.1,39.4569,-121.995,Lower Sac R,0.604 (0.09),6,17,MillCk_RST_Rel
Colusa AC3,7,0.533,0.091,0.36,0.7,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,331.15,39.359877499999996,-122.01365999999999,Lower Sac R,0.533 (0.091),7,16,MillCk_RST_Rel
Colusa AC2,8,0.533,0.091,0.36,0.7,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,318.61,39.28007,-122.01891,Lower Sac R,0.533 (0.091),8,16,MillCk_RST_Rel
Colusa BC2,9,0.533,0.091,0.36,0.7,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,296.27,39.184963,-121.943214,Lower Sac R,0.533 (0.091),9,16,MillCk_RST_Rel
Colusa BC3,10,0.533,0.091,0.36,0.7,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,287.2,39.13132,-121.936554,Lower Sac R,0.533 (0.091),10,14,MillCk_RST_Rel
AbvTisdale,11,0.467,0.091,0.3,0.64,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,269.23,39.0364,-121.82918,Lower Sac R,0.467 (0.091),11,14,MillCk_RST_Rel
Knights_RST,12,0.433,0.09,0.27,0.61,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,222.05,38.79248,-121.69087,Lower Sac R,0.433 (0.09),12,13,MillCk_RST_Rel
TowerBridge,13,0.433,0.09,0.27,0.61,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,172,38.5802,-121.508,Lower Sac R,0.433 (0.09),13,12,MillCk_RST_Rel
SacTrawl,14,0.433,0.09,0.27,0.61,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,166.815,38.539519999999996,-121.51444000000001,Lower Sac R,0.433 (0.09),14,12,MillCk_RST_Rel
Chipps,15,0.333,0.086,0.19,0.52,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,71.47999999999999,38.046132,-121.912643,West Delta,0.333 (0.086),15,9,MillCk_RST_Rel
Benicia,16,0.333,0.086,0.19,0.52,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,52.04,38.041233,-122.12382,Carquinez Strait,0.333 (0.086),16,10,MillCk_RST_Rel
GoldenGateE,17,0.267,0.081,0.14,0.45,1,2017-05-22_MillCk_RST_Rel,2017-05-22,MillCk_Wild_CHK_2017,1.71,37.82794,-122.46168,SF Bay,0.267 (0.081),17,8,MillCk_RST_Rel
