GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,studyID,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
AR_Sunrise_Ramp_Rel,0.5,1,0,0,0,1,2023-05-16_AR_Sunrise_Ramp_Rel,2023-05-16,Nimbus_Fall_2023,206.041,38.63634,-121.26424,Amer R,1 (NA),0.5,510,AR_Sunrise_Ramp_Rel
AR_Upstream_Hwy80,1,0.864,0.015,0.83,0.89,1,2023-05-16_AR_Sunrise_Ramp_Rel,2023-05-16,Nimbus_Fall_2023,180.95,38.58339,-121.44109,Amer R,0.864 (0.015),1,415,AR_Sunrise_Ramp_Rel
AR_Mouth3,2,0.817,0.018,0.78,0.85,1,2023-05-16_AR_Sunrise_Ramp_Rel,2023-05-16,Nimbus_Fall_2023,175.52,38.60282,-121.49287,Amer R,0.817 (0.018),2,368,AR_Sunrise_Ramp_Rel
I80-50_Br,3,0.74,0.02,0.7,0.78,1,2023-05-16_AR_Sunrise_Ramp_Rel,2023-05-16,Nimbus_Fall_2023,170.748,38.571133,-121.5164,Lower Sac R,0.74 (0.02),3,282,AR_Sunrise_Ramp_Rel
Freeport,4,0.722,0.02,0.68,0.76,1,2023-05-16_AR_Sunrise_Ramp_Rel,2023-05-16,Nimbus_Fall_2023,152.23149999999998,38.46467,-121.50501,Lower Sac R,0.722 (0.02),4,368,AR_Sunrise_Ramp_Rel
Benicia,5,0.35,0.021,0.31,0.39,1,2023-05-16_AR_Sunrise_Ramp_Rel,2023-05-16,Nimbus_Fall_2023,52.144000000000005,38.0423015,-122.1236,Carquinez Strait,0.35 (0.021),5,174,AR_Sunrise_Ramp_Rel
GoldenGateE,6,0.245,0.021,0.21,0.29,1,2023-05-16_AR_Sunrise_Ramp_Rel,2023-05-16,Nimbus_Fall_2023,1.71,37.82794,-122.46168,SF Bay,0.245 (0.021),6,94,AR_Sunrise_Ramp_Rel
