cum.phi,cum.phi.se,LCI,UCI,StudyID,GEN,RKM,reach_num,Region,count,GenLat,GenLon
1,0,1,1,SB_Spring_2018,SutterBypass_Weir2_RST_Rel,249.54,0,Sutter Bypass,321,39.10239,-121.758804
0.897,0.017,0.857,0.926,SB_Spring_2018,Butte1,249.05,1,Sutter Bypass,284,39.09834,-121.75655
0.71,0.025,0.658,0.757,SB_Spring_2018,Butte2,238.46,2,Sutter Bypass,228,39.00687,-121.72227
0.636,0.027,0.581,0.686,SB_Spring_2018,Butte3,226.46,3,Sutter Bypass,204,38.92734,-121.62995
0.574,0.035,0.505,0.64,SB_Spring_2018,Butte4,224.89,4,Sutter Bypass,104,38.915024,-121.62542
0.439,0.028,0.385,0.494,SB_Spring_2018,Butte5,216.98,5,Sutter Bypass,134,38.85305,-121.65151
0.39,0.027,0.338,0.445,SB_Spring_2018,Butte6,206.48,6,Sutter Bypass,105,38.78346,-121.63226
0.368,0.027,0.317,0.422,SB_Spring_2018,TowerBridge,172,7,Lower Sac R,117,38.5802,-121.508
0.364,0.027,0.314,0.419,SB_Spring_2018,I80-50_Br,170.74,8,Lower Sac R,76,38.571133,-121.5164
0.364,0.027,0.314,0.419,SB_Spring_2018,SacTrawl1,167,9,Lower Sac R,116,38.54081,-121.51331
0.364,0.027,0.314,0.419,SB_Spring_2018,SacTrawl2,166.63,10,Lower Sac R,114,38.53823,-121.51557
0.348,0.027,0.297,0.402,SB_Spring_2018,Freeport,152.43,11,Lower Sac R,87,38.46467,-121.50501
0.348,0.027,0.297,0.402,SB_Spring_2018,Hood,138.22,12,Lower Sac R,97,38.3617,-121.52033
0.178,0.021,0.14,0.223,SB_Spring_2018,Chipps,71.47999999999999,13,West Delta,57,38.046132,-121.912643
0.148,0.021,0.112,0.194,SB_Spring_2018,Benicia,52.14,14,Carquinez Strait,44,38.0423015,-122.1236
0.148,0.021,0.112,0.194,SB_Spring_2018,GoldenGateE,1.71,15,SF Bay,14,37.82794,-122.46168
