GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,studyID,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
Caldwell_Park_Rel,0.5,1,0,0,0,1,2015-02-05_Caldwell_Park_Rel,2015-02-05,Winter_H_2015,551.28,40.593826,-122.39836,Upper Sac R,1 (NA),0.5,567,Caldwell_Park_Rel
Blw_Cypress,1,1,0,0,0,1,2015-02-05_Caldwell_Park_Rel,2015-02-05,Winter_H_2015,543.9,40.56047,-122.37527,Upper Sac R,1 (0),1,565,Caldwell_Park_Rel
Blw_ClearCr,2,0.961,0.014,0.92,0.98,1,2015-02-05_Caldwell_Park_Rel,2015-02-05,Winter_H_2015,535.62,40.50188,-122.36192,Upper Sac R,0.961 (0.014),2,445,Caldwell_Park_Rel
Abv_WoodsonBr,3,0.749,0.021,0.71,0.79,1,2015-02-05_Caldwell_Park_Rel,2015-02-05,Winter_H_2015,425.15,39.920094,-122.08446000000001,Upper Sac R,0.749 (0.021),3,340,Caldwell_Park_Rel
Blw_IrvineFinch,4,0.749,0.021,0.71,0.79,1,2015-02-05_Caldwell_Park_Rel,2015-02-05,Winter_H_2015,394.66,39.73146,-121.97483,Upper Sac R,0.749 (0.021),4,286,Caldwell_Park_Rel
Benicia,5,0.189,0.017,0.16,0.22,1,2015-02-05_Caldwell_Park_Rel,2015-02-05,Winter_H_2015,52.04,38.041233,-122.12382,Carquinez Strait,0.189 (0.017),5,105,Caldwell_Park_Rel
GoldenGateE,6,0.099,0.013,0.08,0.13,1,2015-02-05_Caldwell_Park_Rel,2015-02-05,Winter_H_2015,1.71,37.82794,-122.46168,SF Bay,0.099 (0.013),6,49,Caldwell_Park_Rel
