"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"overall_surv_fromrelease",0.00241194,0.007939765,0.0152811,0.00843363915736667,0.00348558667517189,NA,1.42298480140254e-05,0.4,60000,-0.00209774383395116,1.00002634453059,"overall_surv_fromrelease",0.008,0.002,0.015
"P_3",0.963562,0.991997,1,0.988113258233333,0.0123686387634033,NA,5.69996353420355e-05,0.5,47087,-0.00958567434049746,1.00006802425428,"P_3",0.988,0.964,1
"P_30",0.698298,0.9393505,0.999999,0.905981354783333,0.0977222458963614,NA,0.000415666689277778,0.4,55271,0.00322936698574836,1.00003851855781,"P_30",0.906,0.698,1
"P_8",0.935227,0.989532,1,0.981248701983333,0.0236463764085788,NA,0.00010328765155947,0.4,52412,-0.000414107736756398,1.00018230956695,"P_8",0.981,0.935,1
"P_14",0.586536,0.9253835,0.999999,0.876306781261667,0.136366521148621,NA,0.000558646563317427,0.4,59586,0.00251494260827359,1.00009585971857,"P_14",0.876,0.587,1
"P_15",0.880501,0.9852245,1,0.9685056358,0.0445562688967795,NA,0.000189608317960171,0.4,55221,0.00175301893303911,1.00037405206203,"P_15",0.969,0.881,1
"P_21",0.542733,0.9167075,0.999998,0.862703165468333,0.148824948505578,NA,0.000625872500728829,0.4,56543,-0.000483457756031875,1.00000335531563,"P_21",0.863,0.543,1
"P_22",0.872919,0.984214,1,0.96650914385,0.047295382710342,NA,0.000203091386030257,0.4,54232,0.00142241279184325,1.0000899605855,"P_22",0.967,0.873,1
"r1_sut",0.00335987,0.09543745,0.255603,0.11091598912675,0.0738301929710087,NA,0.000301410500650313,0.4,60000,-0.00285670154395109,1.00005122123039,"r1_sut",0.111,0.003,0.256
"r1_ste",0.0737668,0.258246,0.469151,0.267788792525,0.104531434572014,NA,0.000429737816794151,0.4,59168,0.0022547147663432,0.999987834238166,"r1_ste",0.268,0.074,0.469
"r1_sac",0.396288,0.6262405,0.848787,0.6212952169,0.117886501752518,NA,0.000481269628092306,0.4,60000,-0.000799961966748774,1.00000297636415,"r1_sac",0.621,0.396,0.849
"r2_geo",0.0178609,0.2802545,0.611236,0.299882709660417,0.164412227135678,NA,0.000678186095178596,0.4,58772,-0.00182067008851469,0.999982162637559,"r2_geo",0.3,0.018,0.611
"r2_sac",0.388764,0.7197455,0.982139,0.700117290653333,0.164412227531473,NA,0.000678186093606314,0.4,58772,-0.0018206671718923,0.99998216283298,"r2_sac",0.7,0.389,0.982
"FirstSeenAtR.1_pred[1]",15,30,44,30.693,7.59582424378239,29,0.0306155886035881,0.4,61555,-0.00642779801630245,1.00000866885358,"FirstSeenAtR.1_pred[1]",30.693,15,44
"FirstSeenAtR.1_pred[2]",0,0,1,0.104983333333333,0.345635391878915,0,0.00141662833316356,0.4,59528,-0.00282295045170541,1.00034732390948,"FirstSeenAtR.1_pred[2]",0.105,0,1
"FirstSeenAtR.1_pred[3]",0,0,0,0.0167833333333333,0.132797892717571,0,0.00054452664060047,0.4,59476,0.00373836912269889,1.00035326318523,"FirstSeenAtR.1_pred[3]",0.017,0,0
"FirstSeenAtR.1_pred[4]",0,0,0,0.0441,0.217231005664086,0,0.000886841866981164,0.4,60000,0.00136364422490555,1.00067471412013,"FirstSeenAtR.1_pred[4]",0.044,0,0
"FirstSeenAtR.1_pred[5]",0,0,0,0.000383333333333333,0.0195753103534822,0,7.99158698710906e-05,0.4,60000,-0.000383699342801602,1.04333774502279,"FirstSeenAtR.1_pred[5]",0,0,0
"FirstSeenAtR.1_pred[6]",0,0,0,0.000733333333333333,0.02707042240192,0,0.00011051453667717,0.4,60000,-0.000734245683603019,1.00332058544783,"FirstSeenAtR.1_pred[6]",0.001,0,0
"FirstSeenAtR.1_pred[7]",0,0,0,0.002,0.0446769881171629,0,0.000186086081131741,0.4,57642,-0.00200501169758568,1.00007956543176,"FirstSeenAtR.1_pred[7]",0.002,0,0
"FirstSeenAtR.1_pred[8]",549,566,578,565.138016666667,7.62584447508087,566,0.0307551876491498,0.4,61481,-0.00641068187072036,1.00000032443453,"FirstSeenAtR.1_pred[8]",565.138,549,578
"Auxiliary_D.3_pred[1]",1,9,17,9.46816666666667,4.2571925843644,8,0.0175271657858708,0.4,58996,-0.00904776270409204,0.999979480221136,"Auxiliary_D.3_pred[1]",9.468,1,17
"Auxiliary_D.3_pred[2]",0,0,3,0.7833,1.18322910314043,0,0.00510033296797893,0.4,53820,-0.00640845372622785,1.00003706412973,"Auxiliary_D.3_pred[2]",0.783,0,3
"Auxiliary_D.3_pred[3]",8,20,32,20.4415333333333,6.24891717006386,20,0.0255125052053295,0.4,59993,-0.000968804138633634,1.00004182647683,"Auxiliary_D.3_pred[3]",20.442,8,32
"GivenDetectionAtD.3_pred[1]",1,8,16,8.82876666666667,4.08380424398305,8,0.0166720610119515,0.4,60000,0.00207218389026194,0.999984034608716,"GivenDetectionAtD.3_pred[1]",8.829,1,16
"GivenDetectionAtD.3_pred[2]",0,1,4,1.40731666666667,1.58991150593322,0,0.00648823110440613,0.4,60047,0.00229211567541718,1.00008017123,"GivenDetectionAtD.3_pred[2]",1.407,0,4
"GivenDetectionAtD.3_pred[3]",0,3,9,3.76533333333333,2.62491518438552,3,0.0107005399251626,0.4,60175,0.00359014001118123,0.999986638616179,"GivenDetectionAtD.3_pred[3]",3.765,0,9
"GivenDetectionAtD.3_pred[4]",0,0,0,0.0247833333333333,0.16422414321604,0,0.000670563690716847,0.4,59978,-0.00555703359582348,1.00056116450953,"GivenDetectionAtD.3_pred[4]",0.025,0,0
"GivenDetectionAtD.3_pred[5]",0,0,1,0.0663333333333333,0.274349795004582,0,0.00112222876037425,0.4,59765,-0.00273664857156701,1.00005065286752,"GivenDetectionAtD.3_pred[5]",0.066,0,1
"GivenDetectionAtD.3_pred[6]",0,0,1,0.1836,0.487983956845956,0,0.00200408350379095,0.4,59290,-0.00174514828250571,1.00006848334101,"GivenDetectionAtD.3_pred[6]",0.184,0,1
"GivenDetectionAtD.3_pred[7]",6,16,27,16.4168666666667,5.60817674260793,15,0.022870454585615,0.4,60130,-0.00599940112098025,1.00000446069791,"GivenDetectionAtD.3_pred[7]",16.417,6,27
"Auxiliary_D.8_pred[1]",0,1,5,1.5482,1.67131384889245,0,0.00682064523557363,0.4,60043,0.0111208044063381,1.00002079401188,"Auxiliary_D.8_pred[1]",1.548,0,5
"Auxiliary_D.8_pred[2]",0,0,3,0.726833333333333,1.12716509316131,0,0.00473300852441541,0.4,56715,-0.00572380934041178,1.00004673004774,"Auxiliary_D.8_pred[2]",0.727,0,3
"Auxiliary_D.8_pred[3]",0,6,13,6.65871666666667,3.53321625152026,5,0.0144242949452227,0.4,60000,0.00144978306684769,1.00000025192606,"Auxiliary_D.8_pred[3]",6.659,0,13
"GivenDetectionAtD.8_pred[1]",0,1,4,1.29863333333333,1.49915162335749,0,0.00612026087381785,0.4,60000,0.00277443855579135,1.00001041768651,"GivenDetectionAtD.8_pred[1]",1.299,0,4
"GivenDetectionAtD.8_pred[2]",0,3,8,3.42716666666667,2.48872762705007,2,0.0100996161013274,0.4,60722,-0.00365865857314892,0.999997077996805,"GivenDetectionAtD.8_pred[2]",3.427,0,8
