"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"S_2",0.253354,0.288769,0.326397,0.28898327325,0.0186494546449486,NA,7.61360797688361e-05,0.4,60000,0.00264244784243583,1.00011683155235,"S_2",0.289,0.253,0.326
"S_23",0.00936275,0.1789215,0.433625,0.199397225555833,0.120636740701739,NA,0.000505216758654472,0.4,57017,-0.00197449718962987,0.999983095568565,"S_23",0.199,0.009,0.434
"S_24",0.155785,0.34653,0.558553,0.351456093293333,0.104663442613678,NA,0.000430094780097572,0.4,59219,-7.17186135751272e-05,1.0000026548775,"S_24",0.351,0.156,0.559
"Pa_3",0.971587,0.9899155,0.999671,0.988029743433333,0.00839376484920082,NA,3.58964951593219e-05,0.4,54678,0.00077038892571134,1.00006233768158,"Pa_3",0.988,0.972,1
"Pa_30",0.790275,0.947195,0.999997,0.9274074648,0.0675466097343509,NA,0.000310945700035,0.5,47189,0.00503208150460004,1.0000397553393,"Pa_30",0.927,0.79,1
"Pb_3",0.913783,0.949082,0.978452,0.947306944116667,0.0170825590143944,NA,6.95481631847833e-05,0.4,60330,-0.00130312485920275,1.00000782395496,"Pb_3",0.947,0.914,0.978
"Pb_30",0.79454,0.94774,0.999997,0.92835076185,0.0663878269878927,NA,0.000293955922813962,0.4,51005,-0.00160460393224294,1.00001469732005,"Pb_30",0.928,0.795,1
"S_4",0.363921,0.436609,0.510976,0.4368578086,0.0375496425785141,NA,0.00015200337797318,0.4,61025,-0.00200822870160192,1.00003677604154,"S_4",0.437,0.364,0.511
"Pa_8",0.920163,0.9808845,0.999999,0.972886633433333,0.0262765535096545,NA,0.000125753086272123,0.5,43662,-0.0011956886934792,1.00000733050417,"Pa_8",0.973,0.92,1
"Pb_8",0.918999,0.9807465,0.999999,0.972682962783333,0.0266170152688269,NA,0.000126548933470383,0.5,44239,-0.00482873704102126,1.00000259462909,"Pb_8",0.973,0.919,1
"gamma_5",0.364486,0.472845,0.585562,0.473183894083333,0.056662410557999,NA,0.000230493274109097,0.4,60433,-0.00541973290755183,1.00005924012509,"gamma_5",0.473,0.364,0.586
"Pa_14",0.839702,0.9605155,0.999999,0.945293706533333,0.0518169873038044,NA,0.000238711962611939,0.5,47119,0.00165547499148982,1.00006038664128,"Pa_14",0.945,0.84,1
