"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"P_30",0.974761,0.993058,0.999908,0.990779497166667,0.00809439626991465,NA,3.45557277626372e-05,0.4,54869,0.00478141514421527,1.00002874525186,"P_30",0.991,0.975,1
"P_8",0.743073,0.8402205,0.922197,0.836248188133333,0.0467673007719685,NA,0.000190926705897655,0.4,60000,-0.00607899583619511,0.999997383906471,"P_8",0.836,0.743,0.922
"P_14",0.56386,0.8484425,0.999987,0.821556791183333,0.131843762090947,NA,0.000557565936831087,0.4,55915,-0.00184792098437131,0.999985527589471,"P_14",0.822,0.564,1
"P_15",0.740034,0.932692,0.999996,0.908488394933333,0.083593134792539,NA,0.000353247196549205,0.4,55999,0.00108868158655883,1.00000450262433,"P_15",0.908,0.74,1
"P_21",0.965728,0.996223,1,0.991302590616667,0.0134055909467692,NA,5.92355367065089e-05,0.4,51216,-0.00267429121243547,1.00046357288743,"P_21",0.991,0.966,1
"P_22",0.990032,0.99851,1,0.997178519083333,0.0038129120930744,NA,1.67667955951475e-05,0.4,51715,-0.00187521697484974,1.0002821114244,"P_22",0.997,0.99,1
"r1_sut",0.0312021,0.107934,0.205394,0.113529670475167,0.0467049566936017,NA,0.000191490102832272,0.4,59489,-0.00416475465002899,1.0000595641506,"r1_sut",0.114,0.031,0.205
"r1_ste",0.0429723,0.1228745,0.227351,0.12856820303,0.048817351617297,NA,0.000199506225765117,0.4,59874,-0.00605401248539504,1.00005033594064,"r1_ste",0.129,0.043,0.227
"r1_sac",0.630831,0.7617555,0.872321,0.75790212515,0.0626279455535114,NA,0.000255091766292969,0.4,60276,-0.00372249089840576,1.00003354744189,"r1_sac",0.758,0.631,0.872
"r2_geo",0.135607,0.2740285,0.420091,0.277992416086667,0.0738105763883693,NA,0.000295001818456875,0.4,62602,0.000828197618208333,1.00016880723303,"r2_geo",0.278,0.136,0.42
