"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"P_30",0.99693,0.99969,1,0.999222022883333,0.00136397360010842,NA,6.34096049188723e-06,0.5,46270,0.00601722424156242,0.999993632093789,"P_30",0.999,0.997,1
"P_8",0.680968,0.7812625,0.867417,0.778235463366667,0.0481110054240535,NA,0.000196412357168675,0.4,60000,-0.00731020299410158,1.00004494287584,"P_8",0.778,0.681,0.867
"P_14",0.525131,0.8657535,0.999998,0.825400641583333,0.149160553203051,NA,0.000619593539955977,0.4,57955,0.00202220929376163,1.00000265484439,"P_14",0.825,0.525,1
"P_15",0.632409,0.8901715,0.999997,0.861854440116667,0.114350727046019,NA,0.000469623286265673,0.4,59290,0.00123320417242314,1.00000321699996,"P_15",0.862,0.632,1
"P_21",0.948946,0.994113,1,0.986819592183333,0.0198217907801027,NA,8.57341232811999e-05,0.4,53454,-0.00050774334257145,1.00009152699147,"P_21",0.987,0.949,1
"P_22",0.983131,0.9951,0.999922,0.993637320483333,0.00534789095317658,NA,2.24359915201071e-05,0.4,56817,0.00079452747856335,1.00003895248043,"P_22",0.994,0.983,1
"r1_sut",0.00604572,0.0498018,0.117111,0.05544024786905,0.0313576528074789,NA,0.000129463970308647,0.4,58666,0.000349553120859733,1.00005956610419,"r1_sut",0.055,0.006,0.117
"r1_ste",0.0144611,0.0701719,0.144839,0.0753789658276667,0.0356156283773281,NA,0.000149178177710466,0.4,56999,-0.00597692601651491,1.00003391222617,"r1_ste",0.075,0.014,0.145
"r1_sac",0.776491,0.873823,0.952123,0.86918078605,0.0461789001830935,NA,0.000193622005586859,0.4,56882,-0.00137621568511343,1.0000394087374,"r1_sac",0.869,0.776,0.952
"r2_geo",0.067398,0.1619225,0.270689,0.166641799841667,0.0531900911471478,NA,0.000219840594672852,0.4,58539,0.00522559629124713,1.00001274436035,"r2_geo",0.167,0.067,0.271
"r2_sac",0.729311,0.8380775,0.932602,0.833358199883333,0.0531900907403636,NA,0.000219840593201361,0.4,58539,0.00522561365329749,1.0000127442934,"r2_sac",0.833,0.729,0.933
"Auxiliary_D.3_pred[1]",1,8,15,8.62933333333333,3.7250777386463,8,0.0152075661864732,0.4,60000,-0.000199277860924822,0.999989220088199,"Auxiliary_D.3_pred[1]",8.629,1,15
"Auxiliary_D.3_pred[2]",0,5,11,5.76955,3.14744995801161,5,0.0129210288491176,0.4,59337,0.000106365290697597,1.00037031205805,"Auxiliary_D.3_pred[2]",5.77,0,11
"Auxiliary_D.3_pred[3]",29,39,46,38.6011166666667,4.48447439449695,39,0.0183077900518235,0.4,60000,0.00411019767389857,1.00020275314319,"Auxiliary_D.3_pred[3]",38.601,29,46
"GivenDetectionAtD.3_pred[1]",26,35,43,34.7824666666667,4.52054788398948,35,0.0185742138381019,0.4,59233,0.000213494497001295,1.00003484821979,"GivenDetectionAtD.3_pred[1]",34.782,26,43
"GivenDetectionAtD.3_pred[2]",0,2,6,2.32866666666667,1.99680027604447,1,0.00818682062916201,0.4,59489,-0.00216149010876733,1.00001029498054,"GivenDetectionAtD.3_pred[2]",2.329,0,6
"GivenDetectionAtD.3_pred[3]",0,3,8,3.31516666666667,2.37460816801876,2,0.00969429725115199,0.4,60000,-0.0051451183271059,1.00004306977135,"GivenDetectionAtD.3_pred[3]",3.315,0,8
"GivenDetectionAtD.3_pred[4]",0,1,4,1.58931666666667,1.38970790259073,1,0.00567345875476789,0.4,60000,0.00409234900888187,0.999988965721791,"GivenDetectionAtD.3_pred[4]",1.589,0,4
"GivenDetectionAtD.3_pred[5]",2,8,14,8.01988333333333,3.22108587947599,7,0.0133012856462438,0.4,58643,0.00530974708979931,0.999977930941363,"GivenDetectionAtD.3_pred[5]",8.02,2,14
"GivenDetectionAtD.3_pred[6]",0,0,3,0.660033333333333,0.956872296755821,0,0.00392194841553164,0.4,59526,0.00222397721054639,1.00015852735836,"GivenDetectionAtD.3_pred[6]",0.66,0,3
"GivenDetectionAtD.3_pred[7]",0,2,6,2.30446666666667,1.97644423677621,1,0.00822816112201723,0.4,57698,0.00650021429842819,1.00008642803397,"GivenDetectionAtD.3_pred[7]",2.304,0,6
"Auxiliary_D.8_pred[1]",5,12,20,12.5846666666667,3.96451260285867,13,0.0161305433773301,0.4,60406,0.000174290309189099,0.999989010237007,"Auxiliary_D.8_pred[1]",12.585,5,20
"Auxiliary_D.8_pred[2]",3,10,16,9.77596666666667,3.56732222103443,9,0.0145635319827111,0.4,60000,0.000104829641105729,1.00001626560165,"Auxiliary_D.8_pred[2]",9.776,3,16
"Auxiliary_D.8_pred[3]",4,12,19,12.4218333333333,3.95950560048839,12,0.0160626357224203,0.4,60764,-0.00191386468146805,1.00001186399812,"Auxiliary_D.8_pred[3]",12.422,4,19
"GivenDetectionAtD.8_pred[1]",1,5,11,5.60883333333333,2.89987277765612,5,0.0119716129416037,0.4,58675,0.00427314990023741,1.00000534755038,"GivenDetectionAtD.8_pred[1]",5.609,1,11
"GivenDetectionAtD.8_pred[2]",18,28,36,28.10565,4.72311266088231,28,0.0193679162069051,0.4,59469,-0.00220062409088232,1.00000535339552,"GivenDetectionAtD.8_pred[2]",28.106,18,36
"GivenDetectionAtD.8_pred[3]",0,0,1,0.1595,0.416928427697005,0,0.00169917800580582,0.4,60207,0.00251136564991395,1.00015635523932,"GivenDetectionAtD.8_pred[3]",0.16,0,1
"GivenDetectionAtD.8_pred[4]",0,1,3,0.908483333333333,1.21901577774038,0,0.00527672686429874,0.4,53369,0.00893285092858482,1.00012249327499,"GivenDetectionAtD.8_pred[4]",0.908,0,3
"Auxiliary_D.14_pred[1]",0,0,2,0.407433333333333,0.787596608272605,0,0.00323284370973324,0.4,59352,-0.00460069075450028,1.00012183208431,"Auxiliary_D.14_pred[1]",0.407,0,2
"Auxiliary_D.14_pred[2]",0,1,4,1.05018333333333,1.3169385730457,0,0.00537819132770943,0.4,59960,-0.00201311060802227,1.00000775651148,"Auxiliary_D.14_pred[2]",1.05,0,4
"Auxiliary_D.14_pred[3]",0,0,3,0.87105,1.1823191315414,0,0.00482679764234483,0.4,60000,0.00539126923085782,1.00013506545275,"Auxiliary_D.14_pred[3]",0.871,0,3
"GivenDetectionAtD.14_pred[1]",0,0,3,0.653566666666667,1.03706406291354,0,0.00421434159871117,0.4,60555,-0.00414077462170969,1.00018774795126,"GivenDetectionAtD.14_pred[1]",0.654,0,3
"GivenDetectionAtD.14_pred[2]",0,1,5,1.6751,1.67233965908013,0,0.0067018243367978,0.4,62268,-0.00213101252429096,1.00004746703921,"GivenDetectionAtD.14_pred[2]",1.675,0,5
"Auxiliary_D.15_pred[1]",0,1,4,1.27458333333333,1.44229747165954,0,0.00585383672029668,0.4,60706,-0.00452192554827538,1.00001706208958,"Auxiliary_D.15_pred[1]",1.275,0,4
"Auxiliary_D.15_pred[2]",0,0,3,0.593166666666667,0.958106781644043,0,0.00391145455688025,0.4,60000,-0.0028410485387527,1.00022164030419,"Auxiliary_D.15_pred[2]",0.593,0,3
"Auxiliary_D.15_pred[3]",0,1,4,1.44741666666667,1.53909317668522,0,0.00630931900099187,0.4,59507,0.00455583306990051,0.99999576452167,"Auxiliary_D.15_pred[3]",1.447,0,4
"GivenDetectionAtD.15_pred[1]",0,2,7,2.69245,2.13147180379369,1,0.0087016972007073,0.4,60000,-0.00117472465417137,1.0000498299733,"GivenDetectionAtD.15_pred[1]",2.692,0,7
"GivenDetectionAtD.15_pred[2]",0,0,3,0.622716666666667,1.0052317118798,0,0.00414768857480579,0.4,58738,-0.00235783102298662,0.999989208560335,"GivenDetectionAtD.15_pred[2]",0.623,0,3
"Auxiliary_D.21_pred[1]",0,0,3,0.739266666666667,1.12171257438818,0,0.00468120635544551,0.4,57418,0.00935066258951699,1.00015516900299,"Auxiliary_D.21_pred[1]",0.739,0,3
"Auxiliary_D.21_pred[2]",0,0,3,0.74125,1.11662551990772,0,0.00468088054048932,0.4,56906,-0.000435747869867281,0.999989284824888,"Auxiliary_D.21_pred[2]",0.741,0,3
"Auxiliary_D.21_pred[3]",0,5,11,5.71763333333333,3.06337920230114,4,0.0126850450829498,0.4,58320,0.0034250864258265,1.00001260366806,"Auxiliary_D.21_pred[3]",5.718,0,11
