"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"S_2",0.0208422,0.03201455,0.0436896,0.0323049406566667,0.00589265121011995,NA,2.4150725250035e-05,0.4,59533,-0.00819841482490297,1.00004278394959,"S_2",0.032,0.021,0.044
"S_23",0.119714,0.529898,0.971926,0.529368973943167,0.237990961765956,NA,0.00097159403286802,0.4,60000,-0.0026132293521594,1.00001490080869,"S_23",0.529,0.12,0.972
"S_24",7.50202e-06,0.144719,0.525164,0.190880097819252,0.166548884363102,NA,0.000750430505659079,0.5,49256,0.0014636045277045,1.000004301733,"S_24",0.191,0,0.525
"Pa_3",0.888757,0.9731635,0.999999,0.962118320783333,0.0362860790916436,NA,0.000168267281893623,0.5,46503,0.00374618883872075,1.00001190431547,"Pa_3",0.962,0.889,1
"Pa_30",0.26831,0.7058085,0.999989,0.673590789581667,0.220512290596149,NA,0.00093240992999383,0.4,55931,-0.00127714169025041,1.00011979170225,"Pa_30",0.674,0.268,1
"Pb_3",0.609403,0.7689055,0.902476,0.76321932105,0.0769757109850733,NA,0.000314252024168966,0.4,60000,-0.000967539667366838,0.999991884304528,"Pb_3",0.763,0.609,0.902
"Pb_30",0.266924,0.7054935,0.99998,0.67398989903,0.22193171619367,NA,0.000917018928817314,0.4,58571,0.00764508209787679,1.00000232109661,"Pb_30",0.674,0.267,1
"S_4",0.26081,0.439416,0.620339,0.441374620783333,0.0923592547007203,NA,0.000377055078400856,0.4,60000,0.00449250604512865,1.00002275380115,"S_4",0.441,0.261,0.62
"Pa_8",0.738505,0.931329,0.999999,0.907506904716667,0.083886658426429,NA,0.000378104568186866,0.5,49222,0.00206699074871311,0.999981488841537,"Pa_8",0.908,0.739,1
"Pb_8",0.735442,0.9316085,0.999999,0.907105667066667,0.0844627707024807,NA,0.000372618534864518,0.4,51381,0.000321726932482371,0.999997680729899,"Pb_8",0.907,0.735,1
"gamma_5",0.467271,0.7126315,0.919869,0.702473961066667,0.119881807043617,NA,0.000485717232077164,0.4,60917,-0.000843852999382325,0.999998971630705,"gamma_5",0.702,0.467,0.92
"Pa_14",0.193305,0.67658,0.999999,0.640987055282333,0.243725920289633,NA,0.00101221676112053,0.4,57977,-0.00039644880988254,1.00000704811089,"Pa_14",0.641,0.193,1
"Pb_14",0.191554,0.6745185,0.999988,0.639382562010333,0.244620959093532,NA,0.000994603904690205,0.4,60490,-0.00289614733525853,1.00010139562941,"Pb_14",0.639,0.192,1
"gamma_13",0.0428434,0.3971695,0.78384,0.41015326860025,0.202873046354796,NA,0.000821540464859033,0.4,60980,-0.00248489921408659,1.00004861346509,"gamma_13",0.41,0.043,0.784
"Pa_15",0.344969,0.7769355,0.999994,0.734649075388333,0.200724193726694,NA,0.000848097132168634,0.4,56016,0.00119453978744141,1.00000933903818,"Pa_15",0.735,0.345,1
"Pb_15",0.34811,0.7791025,0.999986,0.73642800461,0.199709951386852,NA,0.00083293338715458,0.4,57488,-0.000337870336721289,1.00005677565609,"Pb_15",0.736,0.348,1
"S_12",0.373103,0.6664,0.925202,0.65823264023,0.144961149058555,NA,0.000598705450667982,0.4,58624,0.00357360819495325,1.000029741242,"S_12",0.658,0.373,0.925
"Pa_21",0.343478,0.779018,0.999992,0.73538752562,0.201104866319057,NA,0.000842110153935362,0.4,57031,0.00100870389847818,1.0000712664664,"Pa_21",0.735,0.343,1
