"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"S_2",0.112274,0.1394765,0.167289,0.139818851883333,0.0140852035179346,NA,5.75026025703239e-05,0.4,60000,-0.00799307960655467,1.00008194463466,"S_2",0.14,0.112,0.167
"S_23",0.142344,0.4338645,0.740898,0.439902813543333,0.157615312531123,NA,0.000645950249954341,0.4,59539,0.00506308150412546,1.00010112624755,"S_23",0.44,0.142,0.741
"S_24",0.167338,0.3962395,0.637013,0.401569366901667,0.123096632322098,NA,0.000499580888466664,0.4,60713,-0.000239092041950424,0.999990714455586,"S_24",0.402,0.167,0.637
"Pa_3",0.960675,0.9907495,1,0.986764166216667,0.0130992779916612,NA,6.2790902619741e-05,0.5,43521,-0.000623870501811125,1.00028805990365,"Pa_3",0.987,0.961,1
"Pa_30",0.805391,0.951554,0.999996,0.932704966016667,0.0630520005138085,NA,0.000284717886745393,0.5,49042,0.00605572937314484,1.00011292916501,"Pa_30",0.933,0.805,1
"Pb_3",0.687589,0.7772955,0.861327,0.77526323295,0.0449437311209002,NA,0.000184204900400835,0.4,59530,0.0033901477363455,1.00006157996866,"Pb_3",0.775,0.688,0.861
"Pb_30",0.807016,0.9513665,0.999999,0.933077387866667,0.0624853971381067,NA,0.000283971108032334,0.5,48418,0.00740810828528383,1.00004047050082,"Pb_30",0.933,0.807,1
"S_4",0.40357,0.5069395,0.614294,0.507029390133333,0.0541156111997079,NA,0.000220439575263262,0.4,60265,0.00192595238991426,0.999995958718971,"S_4",0.507,0.404,0.614
"Pa_8",0.886545,0.9724065,1,0.961236972583333,0.0374941571593742,NA,0.000175952047115965,0.5,45409,-0.00631457586197192,0.999986819114328,"Pa_8",0.961,0.887,1
"Pb_8",0.886308,0.9727085,0.999999,0.961341342266667,0.0373714260969116,NA,0.000174897351883202,0.5,45658,-0.00148128671300111,0.999987153611515,"Pb_8",0.961,0.886,1
"gamma_5",0.421521,0.56825,0.709842,0.5670467612,0.0742091041876674,NA,0.000300297629765523,0.4,61068,-0.00157818492857976,1.00000555723195,"gamma_5",0.567,0.422,0.71
"Pa_14",0.630733,0.8982845,0.999997,0.866625136883333,0.116266491535512,NA,0.000507918694230532,0.4,52399,-0.0038955169643874,1.00002942798755,"Pa_14",0.867,0.631,1
