"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"P_30",0.994541,0.998445,0.999973,0.997958330683333,0.00176098989501796,NA,7.4485468578974e-06,0.4,55895,-0.0047127270365937,0.999978476396089,"P_30",0.998,0.995,1
"P_8",0.906848,0.937265,0.96339,0.936015885933333,0.0147413893169144,NA,6.01814698769255e-05,0.4,60000,0.00612522886476957,1.0000437374168,"P_8",0.936,0.907,0.963
"P_14",0.817958,0.9302245,0.999993,0.9203260379,0.0535233741469064,NA,0.000224677792481934,0.4,56750,-0.00472562170564309,0.999996424271093,"P_14",0.92,0.818,1
"P_15",0.872922,0.979266,0.999999,0.963512016466667,0.0436875733004327,NA,0.000190431270367257,0.4,52631,-0.0014981937767769,1.00001566717226,"P_15",0.964,0.873,1
"P_21",0.978803,0.997914,1,0.99470757155,0.00878915233604245,NA,4.02046559906017e-05,0.5,47790,0.00284876230980498,1.00143991854815,"P_21",0.995,0.979,1
"P_22",0.99067,0.996233,0.999499,0.9956901526,0.00256295839972271,NA,1.06648450618505e-05,0.4,57753,-0.00247015252627688,1.00007342708344,"P_22",0.996,0.991,0.999
"r1_sut",0.0647849,0.11619,0.172589,0.118090255915,0.027845486516972,NA,0.000115009216524001,0.4,58620,0.00477399399597558,0.999987496171345,"r1_sut",0.118,0.065,0.173
"r1_ste",0.0283389,0.0644773,0.110999,0.0667381399716667,0.0218065401884906,NA,8.99289208706463e-05,0.4,58800,0.00347190461181133,1.00000739203377,"r1_ste",0.067,0.028,0.111
"r1_sac",0.748523,0.8167875,0.878273,0.8151716017,0.0333628790590562,NA,0.000136203383408123,0.4,60000,0.00113863275364941,0.999982725990899,"r1_sac",0.815,0.749,0.878
"r2_geo",0.0834288,0.1421155,0.211212,0.144240782823333,0.0331044276990542,NA,0.000135148260149234,0.4,60000,-0.0013855613856146,1.00001970359701,"r2_geo",0.144,0.083,0.211
"r2_sac",0.788788,0.8578845,0.916571,0.855759216983333,0.0331044272496539,NA,0.000135148258314565,0.4,60000,-0.00138557043943391,1.00001970381215,"r2_sac",0.856,0.789,0.917
"Auxiliary_D.3_pred[1]",3,11,20,11.8246833333333,4.61009055753117,10,0.0187374631605986,0.4,60534,0.000335564722352195,1.00002123697339,"Auxiliary_D.3_pred[1]",11.825,3,20
"Auxiliary_D.3_pred[2]",11,22,34,22.6078166666667,6.08963000733892,22,0.0250164743665877,0.4,59256,-0.00531154857404704,1.00001070214367,"Auxiliary_D.3_pred[2]",22.608,11,34
"Auxiliary_D.3_pred[3]",88,103,115,102.5675,7.10231073644087,102,0.028995062164952,0.4,60000,-0.00169937614095204,1.00000912913178,"Auxiliary_D.3_pred[3]",102.568,88,115
"GivenDetectionAtD.3_pred[1]",89,103,115,102.72625,6.8674592806061,103,0.0279305214212416,0.4,60455,-0.00625461226734811,1.00002530975667,"GivenDetectionAtD.3_pred[1]",102.726,89,115
"GivenDetectionAtD.3_pred[2]",5,14,24,14.5968,5.00001130950904,14,0.0204124606940704,0.4,60000,-0.000286043383189954,0.999995732545249,"GivenDetectionAtD.3_pred[2]",14.597,5,24
"GivenDetectionAtD.3_pred[3]",2,8,16,8.62298333333333,3.96534620168662,7,0.016127010964273,0.4,60458,0.000377469397302281,0.999998636224792,"GivenDetectionAtD.3_pred[3]",8.623,2,16
"GivenDetectionAtD.3_pred[4]",0,1,3,0.993316666666667,1.04568489071536,0,0.00426899068998466,0.4,60000,-0.00292462927502593,1.00003905236255,"GivenDetectionAtD.3_pred[4]",0.993,0,3
"GivenDetectionAtD.3_pred[5]",1,6,11,5.87545,2.76412095193221,5,0.0112313353576034,0.4,60569,-0.00539304062916524,1.00003371221653,"GivenDetectionAtD.3_pred[5]",5.875,1,11
"GivenDetectionAtD.3_pred[6]",0,1,4,1.09986666666667,1.2469907371965,0,0.00508472247820177,0.4,60144,3.70809297059677e-05,1.00001230351526,"GivenDetectionAtD.3_pred[6]",1.1,0,4
"GivenDetectionAtD.3_pred[7]",0,3,8,3.08533333333333,2.40977488695638,2,0.0100878786890703,0.4,57063,-0.00930701497061846,0.999998794466813,"GivenDetectionAtD.3_pred[7]",3.085,0,8
"Auxiliary_D.8_pred[1]",9,19,29,19.3337333333333,5.38273520553078,18,0.0219656257097218,0.4,60051,0.00687293796501766,1.0001306395278,"Auxiliary_D.8_pred[1]",19.334,9,29
"Auxiliary_D.8_pred[2]",11,22,33,22.1676166666667,5.74628329002754,20,0.0233662554264158,0.4,60478,-0.00169355229883734,0.99998433136026,"Auxiliary_D.8_pred[2]",22.168,11,33
"Auxiliary_D.8_pred[3]",46,61,76,61.2249,7.92713487424399,61,0.0325244230893599,0.4,59404,-0.00284552202605396,1.00003311655267,"Auxiliary_D.8_pred[3]",61.225,46,76
"GivenDetectionAtD.8_pred[1]",4,14,23,14.4735833333333,4.94367705513173,13,0.02002763044707,0.4,60931,0.00881851897444792,1.00005169931696,"GivenDetectionAtD.8_pred[1]",14.474,4,23
"GivenDetectionAtD.8_pred[2]",70,86,100,86.0294833333333,7.70763285277169,87,0.0315844376975214,0.4,59552,-0.0029377088491255,1.00006552538102,"GivenDetectionAtD.8_pred[2]",86.029,70,100
"GivenDetectionAtD.8_pred[3]",0,0,1,0.259233333333333,0.529278831200444,0,0.00216031432436403,0.4,60025,0.0116286563503233,1.00007843196698,"GivenDetectionAtD.8_pred[3]",0.259,0,1
"GivenDetectionAtD.8_pred[4]",0,1,6,1.96395,1.93043497010896,1,0.00806950615413381,0.4,57229,-0.00388179717294541,1.00002483145463,"GivenDetectionAtD.8_pred[4]",1.964,0,6
"Auxiliary_D.14_pred[1]",0,1,4,1.26686666666667,1.42993575409057,0,0.00587654048432922,0.4,59209,-0.00042760699011487,0.999979807962589,"Auxiliary_D.14_pred[1]",1.267,0,4
"Auxiliary_D.14_pred[2]",1,6,13,6.6102,3.40446997347066,6,0.0139457546385903,0.4,59596,0.00328507028067829,1.00000195845673,"Auxiliary_D.14_pred[2]",6.61,1,13
