"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"P_30",0.981909,0.9912165,0.997673,0.9905055936,0.00432822786810957,NA,1.78802806253418e-05,0.4,58596,0.000181440678498264,0.999979409263683,"P_30",0.991,0.982,0.998
"P_8",0.532838,0.5888405,0.641384,0.5885955746,0.0276815094326052,NA,0.000113009289033203,0.4,60000,-0.00137402123071278,1.0000124957998,"P_8",0.589,0.533,0.641
"P_14",0.644547,0.840266,0.979042,0.82659994655,0.093395524809056,NA,0.000460943836132914,0.5,41054,-0.00146183248500231,1.00007096852374,"P_14",0.827,0.645,0.979
"P_15",0.324667,0.5489255,0.813381,0.558621437116667,0.125170794862719,NA,0.000644901796085367,0.5,37672,-0.0018772229943183,1.00004103266325,"P_15",0.559,0.325,0.813
"P_21",0.988535,0.996627,0.999941,0.995630927183333,0.00365880517871203,NA,1.54923400740715e-05,0.4,55776,-0.00230278230388954,1.00005807834226,"P_21",0.996,0.989,1
"P_22",0.996692,0.998562,0.999688,0.99838670695,0.000858783890084032,NA,3.55911694816408e-06,0.4,58221,-0.00111912897862498,1.00009336872199,"P_22",0.998,0.997,1
"r1_sut",0.0511773,0.0888142,0.132852,0.0908847973616667,0.0213691233390207,NA,9.99417521742202e-05,0.5,45717,0.000997378939952178,1.00004375669492,"r1_sut",0.091,0.051,0.133
"r1_ste",0.0454839,0.09061875,0.138534,0.09143038296,0.0238994461021031,NA,0.000119671022318113,0.5,39884,-8.60256385485349e-05,1.00002815396695,"r1_ste",0.091,0.045,0.139
"r1_sac",0.771524,0.818486,0.864865,0.817684819083333,0.0239163811361522,NA,0.000100962436938929,0.4,56114,0.00166145466731875,0.999977958684191,"r1_sac",0.818,0.772,0.865
"r2_geo",0.187383,0.239001,0.292488,0.23950746895,0.0269421326707405,NA,0.000111794825611894,0.4,58079,-0.00628980420828,0.999995712744427,"r2_geo",0.24,0.187,0.292
