Index,BND,KWK,MSD,WLK
1989-10-10,6.07142857142857,NA,NA,NA
1989-10-11,6.02525252525252,NA,NA,NA
1989-10-12,12.0625,NA,NA,NA
1989-10-13,14.3737373737374,NA,NA,NA
1989-10-14,14.1194444444444,NA,NA,NA
1989-10-15,13.9285714285714,NA,NA,NA
1989-10-16,13.6534391534392,NA,NA,NA
1989-10-17,12.9444444444444,NA,NA,NA
1989-10-18,13.425,NA,NA,NA
1989-10-19,13.3574879227053,NA,NA,NA
1989-10-20,13.1818181818182,NA,NA,NA
1989-10-21,12.8236714975845,NA,NA,NA
1989-10-22,12.756038647343,NA,NA,NA
1989-10-23,13.0580808080808,NA,NA,NA
1989-10-24,12.7194444444444,NA,NA,NA
1989-10-25,12.3236714975845,NA,NA,NA
1989-10-26,12.6861111111111,NA,NA,NA
1989-10-27,12.9520202020202,NA,NA,NA
1989-10-28,12.7116402116402,NA,NA,NA
1989-10-29,12.0515873015873,NA,NA,NA
1989-10-30,12.2361111111111,NA,NA,NA
1989-10-31,12.1111111111111,NA,NA,NA
1989-11-01,12.7361111111111,NA,NA,NA
1989-11-02,12.6535947712418,NA,NA,NA
1989-11-03,12.8660130718954,NA,NA,NA
1989-11-04,13.2294685990338,NA,NA,NA
1989-11-05,13.3666666666667,NA,NA,NA
1989-11-06,13.0146198830409,NA,NA,NA
1989-11-07,13.0222222222222,NA,NA,NA
1989-11-08,13.0490196078431,NA,NA,NA
1989-11-09,13.3333333333333,NA,NA,NA
1989-11-10,13.5659722222222,NA,NA,NA
1989-11-11,13.300505050505,NA,NA,NA
1989-11-12,13.2314814814815,NA,NA,NA
1989-11-13,13.2222222222222,13.7555555555556,NA,NA
1989-11-14,12.8508771929825,13.7037037037037,NA,NA
1989-11-15,12.5966183574879,13.6493055555556,NA,NA
1989-11-16,12.8444444444444,13.8055555555556,NA,NA
1989-11-17,13.1161616161616,13.75,NA,NA
1989-11-18,13.0934343434343,13.6666666666667,NA,NA
1989-11-19,12.8805555555556,13.7194444444444,NA,NA
1989-11-20,12.8677248677249,13.5333333333333,NA,NA
1989-11-21,12.783950617284,13.5833333333333,NA,NA
1989-11-22,12.7469135802469,13.5185185185185,NA,NA
1989-11-23,12.7301587301587,13.3796296296296,NA,NA
1989-11-24,12.6111111111111,13.3425925925926,NA,NA
1989-11-25,12.6111111111111,13.1527777777778,NA,NA
1989-11-26,12.6111111111111,13.1087962962963,NA,NA
1989-11-27,12.3333333333333,13.1736111111111,NA,NA
1989-11-28,12.2523148148148,13.0578703703704,NA,NA
1989-11-29,12.3518518518519,13.1,NA,NA
1989-11-30,12.7523148148148,12.8179012345679,NA,NA
1989-12-01,12.0555555555556,NA,NA,NA
1989-12-02,11.8333333333333,12.7397660818713,NA,NA
1989-12-03,11.8333333333333,12.7638888888889,NA,NA
1989-12-04,12.5601851851852,12.6388888888889,NA,NA
1989-12-05,13.3842592592593,12.7222222222222,NA,NA
1989-12-06,13.207729468599,12.5092592592593,NA,NA
1989-12-07,12.7777777777778,12.4027777777778,NA,NA
1989-12-08,12.4375,12.3888888888889,NA,NA
1989-12-09,12.5949074074074,12.2222222222222,NA,NA
1989-12-10,12.0949074074074,12.1666666666667,NA,NA
1989-12-11,11.4953703703704,12,NA,NA
1989-12-12,11.3935185185185,12.0416666666667,NA,NA
1989-12-13,11.537037037037,12.0833333333333,NA,NA
1989-12-14,11.7391304347826,12,NA,NA
1989-12-15,11.7175925925926,11.8555555555556,NA,NA
1989-12-16,11.5324074074074,11.8333333333333,NA,NA
1989-12-17,11.3796296296296,11.6861111111111,NA,NA
1989-12-18,10.1481481481481,11.4222222222222,NA,NA
1989-12-19,9.50462962962963,11.3055555555556,NA,NA
1989-12-20,9.34259259259259,11.1777777777778,NA,NA
1989-12-21,9.29166666666667,11.0222222222222,NA,NA
1989-12-22,9.61111111111111,11,NA,NA
1989-12-23,9.34490740740741,11,NA,NA
1989-12-24,9.44675925925926,10.9888888888889,NA,NA
1989-12-25,9.48148148148148,10.8111111111111,NA,NA
1989-12-26,9.38425925925926,10.8333333333333,NA,NA
1989-12-27,9.24074074074074,48.0490196078431,NA,NA
1989-12-28,9.2337962962963,91.7555555555555,NA,NA
1989-12-29,9.13657407407407,71.6527777777778,NA,NA
1989-12-30,9.31018518518519,96.2555555555555,NA,NA
1989-12-31,9.38888888888889,75,NA,NA
1990-01-01,9.29227053140097,81.0055555555556,NA,NA
1990-01-02,8.86805555555556,66.2527777777778,NA,NA
1990-01-03,8.54830917874396,81.1083333333333,NA,NA
1990-01-04,8.28240740740741,17.1944444444444,NA,NA
1990-01-05,8.33796296296296,9.85277777777778,NA,NA
1990-01-06,8.92824074074074,9.94444444444444,NA,NA
1990-01-07,9.25,9.94444444444444,NA,NA
1990-01-08,8.56944444444444,9.8912037037037,NA,NA
1990-01-09,9.7037037037037,9.44212962962963,NA,NA
1990-01-10,9.89583333333333,9.5625,NA,NA
1990-01-11,9.71064814814815,9.59259259259259,NA,NA
1990-01-12,9.5787037037037,9.55555555555556,NA,NA
1990-01-13,9.51851851851852,9.55555555555556,NA,NA
1990-01-14,9.31018518518519,9.41898148148148,NA,NA
1990-01-15,9.02777777777778,9.01157407407407,NA,NA
1990-01-16,8.59027777777778,8.94907407407407,NA,NA
1990-01-17,8.06481481481481,9.00231481481481,NA,NA
1990-01-18,7.99537037037037,9.02777777777778,NA,NA
1990-01-19,8.37037037037037,8.98148148148148,NA,NA
1990-01-20,8.04589371980676,8.88888888888889,NA,NA
1990-01-21,7.72222222222222,8.94444444444444,NA,NA
