"","GPSname","GEN","VemcoSN","StartTime","EndTime","GenLat","GenLon"
"47","Chipps1.2","ChippsE","546162",2017-10-27 09:31:00,2018-01-30 11:10:00,38.045992,-121.909692
"48","Chipps1.2","ChippsE","546976",2018-12-03 10:11:00,2019-03-07 10:37:00,38.045992,-121.909692
"49","Chipps1.2","ChippsE","546976",2019-03-07 11:26:00,2019-07-01 09:52:00,38.045992,-121.909692
"50","Chipps1.2","ChippsE","546166",2018-05-03 13:30:00,2018-07-23 17:18:00,38.045992,-121.909692
"51","Chipps1.2","ChippsE","545910",2016-02-23 11:53:00,2016-04-14 10:35:00,38.045992,-121.909692
"52","Chipps1.2","ChippsE","546167",2016-04-15 08:13:00,2016-07-21 13:30:00,38.045992,-121.909692
"53","Chipps1.3","ChippsE","546163",2018-01-30 15:51:00,2018-05-03 12:10:00,38.045992,-121.909692
"54","Chipps1.3","ChippsE","546161",2017-05-17 15:40:00,2017-07-03 08:23:00,38.045992,-121.909692
"55","Chipps1.3","ChippsE","546165",2019-03-07 12:51:00,2019-07-01 10:10:00,38.045992,-121.909692
"56","Chipps1.3","ChippsE","546161",2017-10-27 09:47:00,2018-01-13 11:30:00,38.045992,-121.909692
"57","Chipps1.3","ChippsE","546163",2016-04-14 10:19:00,2016-07-21 12:42:00,38.045992,-121.909692
"58","Chipps1.3","ChippsE","546165",2018-12-03 10:20:00,2019-03-07 12:27:00,38.045992,-121.909692
"59","Chipps1.3","ChippsE","546161",2017-02-06 13:15:00,2017-02-28 10:50:00,38.045992,-121.909692
"60","Chipps1.3","ChippsE","545631",2016-02-23 11:45:00,2016-04-14 09:30:00,38.045992,-121.909692
"61","Chipps1.3","ChippsE","546163",2018-05-03 13:30:00,2018-07-23 17:27:00,38.045992,-121.909692
"62","Chipps1.3","ChippsE","546161",2017-02-28 11:13:00,2017-05-17 14:45:00,38.045992,-121.909692
"63","Chipps1.4","ChippsE","546165",2017-05-17 14:36:00,2017-07-03 09:00:00,38.045992,-121.909692
"64","Chipps1.4","ChippsE","546161",2018-12-03 10:24:00,2019-03-07 11:47:00,38.045992,-121.909692
"65","Chipps1.4","ChippsE","546165",2017-02-28 11:46:00,2017-05-17 14:12:00,38.045992,-121.909692
"66","Chipps1.4","ChippsE","546164",2017-10-27 09:58:00,2018-01-30 11:45:00,38.045992,-121.909692
"67","Chipps1.4","ChippsE","546168",2016-04-15 08:41:00,2016-07-21 12:35:00,38.045992,-121.909692
"68","Chipps1.4","ChippsE","546161",2018-05-03 14:27:00,2018-07-23 17:36:00,38.045992,-121.909692
"69","Chipps1.4","ChippsE","545618",2016-02-23 11:30:00,2016-04-14 11:49:00,38.045992,-121.909692
"70","Chipps1.4","ChippsE","546165",2017-02-06 13:40:00,2017-02-28 11:20:00,38.045992,-121.909692
"71","Chipps1.4","ChippsE","546161",2019-03-07 12:17:00,2019-07-01 09:35:00,38.045992,-121.909692
"72","Chipps1.4","ChippsE","546164",2018-01-30 15:59:00,2018-05-03 12:45:00,38.045992,-121.909692
"73","Chipps1.5","ChippsE","546168",2018-12-03 22:28:00,2019-03-07 13:03:00,38.045992,-121.909692
"74","Chipps1.5","ChippsE","546166",2016-04-15 08:50:00,2016-07-21 12:25:00,38.045992,-121.909692
