study_id,fish_type,descript_name,incl_survival,incl_other,incl_deltasurv
SB_Spring_2016,ButteCk Chinook,Butte Creek Wild Spring-run Chinook 2016,YES,YES,NO
SB_Spring_2017,ButteCk Chinook,Butte Creek Wild Spring-run Chinook 2017,YES,YES,NO
SB_Spring_2018,ButteCk Chinook,Butte Creek Wild Spring-run Chinook 2018,YES,YES,NO
SB_Spring_2019,ButteCK Chinook,Butte Creek Wild Spring-run Chinook 2019,YES,YES,NO
Seasonal_Survival_2022,Chinook,Hatchery-Origin Chinook Salmon Seasonal Survival 2022,YES,YES,YES
SJ_Steelhead_2021,Steelhead,San Joaquin River Steelhead 2021,YES,YES,NO
SJ_Steelhead_2022,Steelhead,San Joaquin River Steelhead 2022,YES,YES,NO
Sutter_Bypass_Rice_2022,Chinook,Hatchery-Origin Rice Field Reared Fall-run Chinook 2022,YES,YES,YES
Upper_Butte_2019,Butte Spring-run,Upper Butte Creek Wild Spring-run Chinook 2019,YES,NO,NO
Upper_Butte_2020,ButteCk Chinook,Upper Butte Creek Wild Spring-run Chinook 2020,YES,YES,NO
Upper_Butte_2021,ButteCk Chinook,Upper Butte Creek Wild Spring-run Chinook 2021,YES,YES,NO
Wild_stock_Chinook_RBDD_2021,Chinook,Red Bluff RST Chinook 2021,YES,YES,NO
Wild_stock_Chinook_RBDD_2022,Chinook,Red Bluff RST Chinook 2022,YES,YES,NO
Winter_H_2013,LSNFH Winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2013,YES,YES,NO
Winter_H_2014,LSNFH Winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2014,YES,YES,NO
Winter_H_2015,LSNFH Winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2015,YES,YES,NO
Winter_H_2016,LSNFH Winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2016,YES,YES,NO
Winter_H_2017,LSNFH Winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2017,YES,YES,NO
Winter_H_2018,LSNFH Winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2018,YES,YES,NO
Winter_H_2019,LSNFH Winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2019,YES,YES,NO
Winter_H_2020,LSNFH winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2020,YES,YES,NO
Winter_H_2021,LSNFH winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2021,YES,YES,YES
Winter_H_2022,LSNFH winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2022,YES,YES,YES
