Index,KES,BND,BTC,WLK,MEN,NEW,VNS,MSD,BND.Natural
1998-01-28,32890,49606,NA,29023,NA,1552,7150,NA,NA
1998-01-29,28673,48063,NA,29073,NA,1495,7083,NA,NA
1998-01-30,35889,54644,68129,28644,NA,1978,7446,NA,NA
1998-01-31,36306,48703,67412,28650,NA,3291,9022,NA,NA
1998-02-01,22559,55394,64142,28497,57,3854,10089,NA,NA
1998-02-02,14382,41994,76187,28612,249,4042,11063,NA,NA
1998-02-03,21780,85528,91045,29217,540,5158,13178,NA,NA
1998-02-04,51466,73491,137487,29855,843,7242,16914,NA,NA
1998-02-05,22339,64867,132221,30740,1096,8548,19450,NA,NA
1998-02-06,21439,69465,119200,30878,959,10092,20726,NA,NA
1998-02-07,28257,79183,113765,30668,695,12142,22278,NA,NA
1998-02-08,41603,79758,120060,30814,679,14817,25765,NA,NA
1998-02-09,55079,77637,115877,30995,459,16583,29519,NA,NA
1998-02-10,50441,72206,101243,30691,652,17984,32094,NA,NA
1998-02-11,50715,73565,95160,30152,778,18082,33467,NA,NA
1998-02-12,48723,69407,94605,29872,911,17446,34280,NA,NA
1998-02-13,50095,73750,89833,29672,851,16850,35036,NA,NA
1998-02-14,42278,83112,93804,29619,782,16473,34511,NA,NA
1998-02-15,47235,66586,101350,29635,726,15933,34061,NA,NA
1998-02-16,53354,70712,93289,29744,491,15648,33548,NA,NA
1998-02-17,53463,73499,85686,29508,734,16096,32835,NA,NA
1998-02-18,51667,71332,93147,29425,649,15411,32204,NA,NA
1998-02-19,22685,64281,84835,29384,724,14727,32402,NA,NA
1998-02-20,37167,67871,97789,29290,653,14434,32364,NA,NA
1998-02-21,17256,59125,100324,29585,740,13905,31830,NA,NA
1998-02-22,46961,68931,95483,29557,1231,13896,31657,NA,NA
1998-02-23,27570,64468,92175,29542,884,14191,31258,NA,NA
1998-02-24,44883,64312,94412,29431,1279,14754,30908,NA,NA
1998-02-25,49839,66360,88539,29430,1264,15068,30564,NA,NA
1998-02-26,48877,63269,79499,29189,579,15464,31061,NA,NA
1998-02-27,44942,54132,74057,28972,297,15289,30987,NA,NA
1998-02-28,45302,54696,63910,28565,316,14444,31207,NA,NA
1998-03-01,45797,54617,60476,28108,633,12817,30770,NA,NA
1998-03-02,41472,53371,60131,27979,353,11576,29357,NA,NA
1998-03-03,35912,47497,58762,27873,732,10301,27881,NA,NA
1998-03-04,31148,42659,53417,27658,535,9018,26406,NA,NA
1998-03-05,26951,37826,48010,27281,901,8762,24926,NA,NA
1998-03-06,23297,33615,43152,26861,695,8446,23636,NA,NA
1998-03-07,20032,29469,38728,26497,661,8195,22741,NA,NA
1998-03-08,17052,26507,34906,26085,1020,8149,21480,NA,NA
1998-03-09,14734,23068,32051,25701,962,8223,20495,NA,NA
1998-03-10,14393,21719,28712,25196,607,8185,20092,NA,NA
1998-03-11,12470,19342,27283,24524,695,8024,19636,NA,NA
1998-03-12,10796,17585,24848,24056,708,7784,19133,NA,NA
1998-03-13,9690,20661,24153,23487,1095,7583,18692,NA,NA
1998-03-14,8202,18275,28124,23783,1365,7214,18162,NA,NA
1998-03-15,7145,15247,24624,24207,1226,6667,17622,NA,NA
1998-03-16,6138,14640,22459,23246,1113,6376,17048,NA,NA
1998-03-17,5831,13666,22194,22643,1105,6449,16367,NA,NA
1998-03-18,6805,12932,21156,22065,1107,6545,15405,NA,NA
1998-03-19,11339,15630,20774,21198,1315,6222,14343,NA,NA
1998-03-20,22441,24009,23279,21429,1158,5991,13979,NA,NA
1998-03-21,29945,34193,30501,23519,926,5838,14566,NA,NA
1998-03-22,22579,61139,42212,25361,1227,5592,14676,NA,NA
1998-03-23,18153,44919,67088,26944,1281,5348,14313,NA,NA
1998-03-24,37707,55972,68601,28241,1362,5168,14069,NA,NA
1998-03-25,42886,65319,71022,28421,1820,5716,13978,NA,NA
1998-03-26,45057,60478,74719,28546,2008,8207,14950,NA,NA
1998-03-27,44332,56491,72707,28578,2169,11966,15965,NA,NA
1998-03-28,37582,48923,68015,28385,2228,15438,16934,NA,NA
1998-03-29,32737,43525,60193,28147,1902,15514,19019,NA,NA
1998-03-30,28074,38033,51419,27661,1953,14315,21556,NA,NA
1998-03-31,27793,37298,44390,27114,2127,13301,22536,NA,NA
1998-04-01,27708,38262,45804,26740,2072,12466,22325,NA,NA
1998-04-02,23795,34027,46000,26858,2271,11922,21784,NA,NA
1998-04-03,20056,31618,41306,26581,2908,11746,21210,NA,NA
1998-04-04,17130,31247,41422,26385,3365,11933,21059,NA,NA
1998-04-05,17130,29083,40292,26407,3262,12233,21115,NA,NA
1998-04-06,14448,26715,38233,26244,3381,12402,21054,NA,NA
1998-04-07,12672,27306,39651,26151,3039,12445,21063,NA,NA
1998-04-08,10242,20608,38597,26386,3120,13303,21442,NA,NA
1998-04-09,10158,19190,30218,25770,3231,13396,22098,NA,NA
1998-04-10,8754,18744,28485,25059,3333,13328,22629,NA,NA
1998-04-11,7610,16508,27002,24755,3348,13957,22719,NA,NA
1998-04-12,7100,15070,24161,24233,3376,14786,22870,NA,NA
1998-04-13,6229,15137,22533,23476,3371,15108,23529,NA,NA
1998-04-14,6009,13734,22088,23028,3687,15162,24325,NA,NA
1998-04-15,6015,13447,20402,22295,3801,15058,24763,NA,NA
1998-04-16,6011,12428,19659,21012,3685,14613,24825,NA,NA
1998-04-17,6009,11855,18452,19252,3566,14180,24868,NA,NA
1998-04-18,8749,12567,17700,17409,3641,13598,24656,NA,NA
1998-04-19,9993,15009,18474,16773,3767,12795,24228,NA,NA
1998-04-20,9957,14969,19770,17666,3844,12114,23753,NA,NA
1998-04-21,10016,14872,19860,18501,3872,11853,22953,NA,NA
1998-04-22,10004,14721,19795,18732,3879,11670,21404,NA,NA
1998-04-23,10001,14966,20122,18740,3646,11380,20305,NA,NA
1998-04-24,10032,16268,21570,19275,3535,11105,20005,NA,NA
1998-04-25,10014,15228,21991,20555,3515,10842,19635,NA,NA
1998-04-26,9979,14638,22322,20820,3466,10783,19486,NA,NA
1998-04-27,9988,14332,22036,21230,3430,10670,19210,NA,NA
1998-04-28,10269,14291,20214,20773,3408,10501,18921,NA,NA
1998-04-29,10512,14814,19288,19209,3352,10293,18639,NA,NA
1998-04-30,10771,15118,19618,18427,3222,10006,18351,NA,NA
1998-05-01,10993,15492,20056,18456,3126,9635,18012,NA,NA
1998-05-02,10973,16586,20850,18843,2964,9356,17817,NA,NA
1998-05-03,10981,16381,21893,19650,2953,9166,17636,NA,NA
1998-05-04,10975,16162,22011,20526,2967,8958,17184,NA,NA
1998-05-05,10995,16268,21309,20426,3151,9020,16505,NA,NA
1998-05-06,10110,15382,21090,20096,3475,9438,16215,NA,NA
1998-05-07,9983,14682,19725,19519,NA,NA,16278,NA,NA
1998-05-08,10006,14600,19028,18316,NA,NA,16323,NA,NA
1998-05-09,10010,17232,20792,17690,3893,9846,16437,NA,NA
1998-05-10,10038,15885,22260,19479,3831,9647,16482,NA,NA
1998-05-11,11005,14927,20253,19861,3817,9470,16431,NA,NA
1998-05-12,13986,19125,19518,18473,3897,9578,16505,NA,NA
1998-05-13,12391,17903,22635,18538,4137,10195,17458,NA,NA
1998-05-14,13374,17987,20900,20051,4224,10608,17787,NA,NA
1998-05-15,13831,19593,20954,19274,4154,11269,17739,NA,NA
1998-05-16,14001,25672,20980,19059,3935,12272,17829,NA,NA
1998-05-17,14355,22192,27274,20605,3847,12391,17989,NA,NA
1998-05-18,15003,20911,23845,22336,3867,12080,18252,NA,NA
1998-05-19,14774,20164,22639,21542,3898,11911,18824,NA,NA
1998-05-20,15027,20298,21587,20634,3855,12023,19261,NA,NA
1998-05-21,14854,19770,21204,19631,3653,11993,19405,NA,NA
1998-05-22,16915,20324,20359,18993,3537,11668,19430,NA,NA
1998-05-23,17954,21961,21118,18361,3554,11416,19349,NA,NA
1998-05-24,18077,22192,22066,18828,3513,11114,19203,NA,NA
1998-05-25,17682,26436,22679,19586,3515,10894,18945,NA,NA
1998-05-26,17972,25218,26765,21029,3535,10666,18478,NA,NA
1998-05-27,18040,26326,26556,22380,3545,10328,18167,NA,NA
1998-05-28,29899,34512,29535,22803,3481,10296,17985,NA,NA
1998-05-29,24832,35641,57273,24794,3348,10385,18319,NA,NA
1998-05-30,22195,36960,72696,26800,3242,10377,18356,NA,NA
1998-05-31,19252,31063,60109,27311,3189,10337,18245,NA,NA
1998-06-01,19962,28819,42476,26503,3139,10299,18284,NA,NA
1998-06-02,19909,27557,36874,25526,3034,10182,18217,NA,NA
1998-06-03,19810,31058,33676,25050,2971,10068,17904,NA,NA
1998-06-04,19831,28804,37984,25022,2667,9860,17521,NA,NA
1998-06-05,19065,27127,35389,25166,2678,9578,17167,NA,NA
1998-06-06,18062,25135,33424,24897,2838,9327,16741,NA,NA
1998-06-07,17644,24440,30188,24582,2975,9167,16518,NA,NA
1998-06-08,16047,23342,28317,24020,3045,9301,16397,NA,NA
1998-06-09,13928,21170,25859,23314,3195,9760,16081,NA,NA
1998-06-10,13212,20027,24109,22592,3295,10385,15812,NA,NA
1998-06-11,11345,21501,25745,22136,3514,10709,15992,NA,NA
1998-06-12,13782,20988,27176,22903,3592,10785,16411,NA,NA
1998-06-13,14048,20817,24667,22735,3612,10580,16588,NA,NA
1998-06-14,13887,19876,24401,22455,3684,10586,16705,NA,NA
1998-06-15,14140,19150,22937,22250,3863,10846,16819,NA,NA
1998-06-16,14790,19835,22147,21782,3927,11108,16908,NA,NA
1998-06-17,14588,19248,22058,21572,4057,11536,17637,NA,NA
1998-06-18,14975,18995,21233,21100,4198,11605,18292,NA,NA
1998-06-19,15194,18996,20686,20074,4313,11573,18828,NA,NA
1998-06-20,15114,18811,20281,19292,4400,11365,19091,NA,NA
1998-06-21,15084,18651,19760,18696,4406,11685,19236,NA,NA
1998-06-22,15096,18686,19452,18158,4417,11923,19414,NA,NA
1998-06-23,14817,18490,19143,17797,4419,11930,19805,NA,NA
1998-06-24,14732,18219,18664,17451,4425,11877,20112,NA,NA
1998-06-25,14534,17951,18249,16943,4381,11772,20225,NA,NA
1998-06-26,14414,18009,18015,16562,4382,11468,20198,NA,NA
1998-06-27,14124,17439,17708,16313,4484,11402,19848,NA,NA
1998-06-28,14189,17453,17218,15810,4440,11177,19576,NA,NA
1998-06-29,14572,17276,NA,15365,4312,10897,19308,NA,NA
1998-06-30,14529,17234,NA,15072,4122,10691,19070,NA,NA
1998-07-01,14455,17157,NA,14895,3928,10545,18730,NA,NA
1998-07-02,14383,17087,NA,14675,3882,10417,17652,NA,NA
1998-07-03,14278,16856,16146,14456,3914,10127,16584,NA,NA
1998-07-04,14818,17131,15868,14253,3909,10004,15849,NA,NA
1998-07-05,15016,17281,15963,13973,3917,10380,15469,NA,NA
1998-07-06,15208,17503,16053,14019,4024,10434,15541,NA,NA
1998-07-07,15237,17778,16138,14099,4066,10490,15890,NA,NA
1998-07-08,15173,17600,16119,14133,4036,10803,15873,NA,NA
1998-07-09,15361,17721,15678,13956,3846,10887,16119,NA,NA
1998-07-10,14872,17434,15641,13606,3288,11022,16240,NA,NA
1998-07-11,14944,16972,15191,13480,2980,10724,17259,NA,NA
1998-07-12,14694,16917,14848,13008,3152,9996,18311,NA,NA
1998-07-13,14613,16833,14832,12701,3333,8957,18821,NA,NA
1998-07-14,14824,16611,14594,12552,3343,8458,18373,NA,NA
1998-07-15,14517,16720,14418,12292,3346,8275,17044,NA,NA
1998-07-16,14392,16376,14277,12133,3347,8157,16145,NA,NA
1998-07-17,14687,16457,14007,11938,3380,7776,15683,NA,NA
1998-07-18,14680,16490,13996,11686,2832,7462,14362,NA,NA
1998-07-19,15017,16449,13794,11706,1699,6934,13279,NA,NA
1998-07-20,14626,16625,13844,11473,1058,6200,12496,NA,NA
1998-07-21,14739,16661,13878,11592,1137,5682,12227,NA,NA
1998-07-22,14740,16295,13914,11598,1132,5175,11628,NA,NA
1998-07-23,14620,16304,13671,11524,901,5033,11353,NA,NA
1998-07-24,15000,16645,13710,11445,1121,4775,11097,NA,NA
1998-07-25,NA,16347,13944,11555,1089,4189,10415,NA,NA
1998-07-26,14599,16213,13617,11637,980,3965,9664,NA,NA
1998-07-27,14659,16277,13683,11485,1118,3976,NA,NA,NA
1998-07-28,14892,16376,13522,11477,997,3840,NA,NA,NA
1998-07-29,14798,16336,13618,11358,916,3597,8150,NA,NA
1998-07-30,14916,16254,13677,11414,918,3114,7599,NA,NA
1998-07-31,14999,16289,13666,11477,887,2825,7216,NA,NA
1998-08-01,14991,16333,13650,11461,830,2691,6922,NA,NA
1998-08-02,15139,16128,13556,11471,805,2533,6763,NA,NA
1998-08-03,15009,16100,13452,11453,800,2502,6624,NA,NA
1998-08-04,14978,16164,13407,11356,805,2418,6535,NA,NA
1998-08-05,14886,16171,13335,11345,803,2371,6534,NA,NA
1998-08-06,14447,15942,13292,11293,773,2243,6441,NA,NA
1998-08-07,14688,15893,13059,11204,754,2006,6157,NA,NA
1998-08-08,14841,15940,13100,11025,738,1934,6091,NA,NA
1998-08-09,14659,15945,13104,11046,725,1923,6077,NA,NA
1998-08-10,14645,16008,13165,11136,729,2005,6013,NA,NA
1998-08-11,14821,16164,13183,11205,739,2024,5818,NA,NA
1998-08-12,14772,16175,13326,NA,NA,NA,NA,NA,NA
1998-08-13,14630,15884,13087,11337,720,1361,5208,NA,NA
1998-08-14,14955,15953,12788,11140,685,1328,5248,NA,NA
1998-08-15,15030,16107,12886,10953,670,1316,5512,NA,NA
1998-08-16,14106,16064,12918,10968,690,1285,5212,NA,NA
1998-08-17,15000,16444,12987,11005,704,1222,5074,NA,NA
1998-08-18,15000,16334,13215,11098,672,1103,4996,NA,NA
1998-08-19,14756,16022,13146,11295,634,1260,4778,NA,NA
1998-08-20,15000,16073,12940,11268,620,1344,4825,NA,NA
1998-08-21,14778,15985,12919,11221,614,1394,4960,NA,NA
1998-08-22,14763,16008,12916,11228,553,1407,5006,NA,NA
1998-08-23,14663,15821,13056,11262,NA,1449,5035,NA,NA
1998-08-24,14807,15973,13009,11444,479,1494,5133,NA,NA
1998-08-25,14440,15246,13249,11552,491,1500,5098,NA,NA
1998-08-26,13956,15014,12566,11545,581,1441,4901,NA,NA
1998-08-27,14013,NA,12406,11124,528,1385,4820,NA,NA
1998-08-28,13940,14756,12246,10948,453,1407,4911,NA,NA
1998-08-29,13994,14643,12172,10874,391,1409,5004,NA,NA
1998-08-30,13957,14719,12076,10814,348,1420,5025,NA,NA
1998-08-31,14002,14742,12141,10793,294,1468,5045,NA,NA
1998-09-01,13520,14533,12226,10937,270,1487,4870,NA,NA
1998-09-02,13432,14248,12153,11045,340,1512,4765,NA,NA
1998-09-03,13503,14474,12024,11012,400,1463,4772,NA,NA
1998-09-04,13503,14436,12192,11017,393,1461,4751,NA,NA
1998-09-05,13043,14119,12135,11220,362,1474,4975,NA,NA
1998-09-06,12959,14092,12000,11206,335,1504,5351,NA,NA
1998-09-07,12516,13632,12175,11162,328,1584,5562,NA,NA
1998-09-08,12502,13416,11911,11276,307,1569,5664,NA,NA
1998-09-09,12009,13180,11845,11141,269,1497,5596,NA,NA
1998-09-10,11495,12611,11649,11142,236,1381,5544,NA,NA
1998-09-11,11500,12512,18359,10846,213,1349,5063,NA,NA
1998-09-12,11066,12230,25452,10452,223,1391,4969,NA,NA
1998-09-13,11045,12026,25390,10458,234,1454,5360,NA,NA
1998-09-14,11021,11991,16297,10251,249,1489,6099,NA,NA
1998-09-15,11015,11950,10855,10063,265,1498,6708,NA,NA
1998-09-16,10970,11690,11307,10269,279,1478,6694,NA,NA
1998-09-17,10986,11613,10667,10521,280,1514,5781,NA,NA
1998-09-18,10644,11455,10407,10395,280,1697,5287,NA,NA
1998-09-19,10063,11074,10146,10226,280,1813,5105,NA,NA
1998-09-20,9988,10846,9781,9941,280,1782,5197,NA,NA
1998-09-21,10163,10914,9764,9646,280,1645,5274,NA,NA
1998-09-22,9972,10849,9777,9566,377,1576,5176,NA,NA
1998-09-23,9561,10630,9856,9549,402,1530,5143,NA,NA
1998-09-24,9520,10082,9671,9477,366,1502,5110,NA,NA
1998-09-25,9535,10294,9216,9229,366,1519,5075,NA,NA
1998-09-26,9149,9991,9349,9161,366,1556,5056,NA,NA
1998-09-27,9010,9943,9216,9213,366,1706,5159,NA,NA
1998-09-28,8545,9713,9190,9089,409,1732,5285,NA,NA
1998-09-29,8515,9447,8970,9096,432,1710,5226,NA,NA
1998-09-30,8512,9360,8929,8911,385,1723,5426,NA,NA
1998-10-01,8078,9198,8852,8842,348,1697,5702,NA,NA
1998-10-02,8015,8912,8696,8749,296,1755,5805,NA,NA
1998-10-03,8035,8938,8469,8542,238,2006,5771,NA,NA
1998-10-04,7994,8927,8474,8352,233,2087,5575,NA,NA
1998-10-05,7983,8883,8341,8236,255,2093,5525,NA,NA
1998-10-06,8029,8988,8303,8160,277,2058,5486,NA,NA
1998-10-07,7989,8996,8369,8101,278,2069,5456,NA,NA
1998-10-08,7385,8826,8277,8024,276,2026,5518,NA,NA
1998-10-09,7682,8663,8153,7961,267,2067,5834,NA,NA
1998-10-10,7469,8668,7906,7775,261,2080,5893,NA,NA
1998-10-11,7040,8382,7865,7662,263,2107,5916,NA,NA
1998-10-12,6768,8101,7616,7543,251,2136,6109,NA,NA
1998-10-13,6532,7946,7388,7302,235,2139,6185,NA,NA
1998-10-14,6267,7763,7041,7066,232,2178,6010,NA,NA
1998-10-15,6011,7534,6916,6787,195,2189,5925,NA,NA
1998-10-16,6000,7356,6715,6625,173,2259,6202,NA,NA
1998-10-17,6008,7282,6554,6410,158,2258,6618,NA,NA
1998-10-18,6009,7261,6540,6269,155,1854,6312,NA,NA
1998-10-19,6025,7241,6531,6175,169,1690,5928,NA,NA
1998-10-20,6007,7225,6341,6102,NA,1422,5569,NA,NA
1998-10-21,6006,7200,6243,6022,229,1284,5310,NA,NA
1998-10-22,6009,7226,6195,5953,245,1223,5067,NA,NA
1998-10-23,6013,7260,6072,5828,247,1259,5014,NA,NA
1998-10-24,6007,7754,6490,5882,245,1280,5136,NA,NA
1998-10-25,6254,7901,7562,6221,244,1438,5580,NA,NA
1998-10-26,6015,7734,7046,6875,236,1469,5634,NA,NA
1998-10-27,6012,7596,6852,6807,209,1542,5514,NA,NA
1998-10-28,6009,7577,7158,6718,191,1590,5635,NA,NA
1998-10-29,6018,7569,7208,6570,186,1630,5783,NA,NA
1998-10-30,6007,7520,7172,6514,175,1607,5699,NA,NA
1998-10-31,6011,7517,7064,6396,158,1542,5462,NA,NA
1998-11-01,6003,7513,7201,6347,157,1591,4870,NA,NA
1998-11-02,5989,7570,7009,6405,157,1602,4668,NA,NA
1998-11-03,6040,7589,7043,6332,157,1605,4664,NA,NA
1998-11-04,6018,7562,6911,6346,155,1553,4658,NA,NA
1998-11-05,6022,7509,6850,6414,154,1494,4546,NA,NA
1998-11-06,6969,8032,6828,6334,154,1397,4416,NA,NA
1998-11-07,7009,8904,7494,6246,153,1330,4347,NA,NA
1998-11-08,7029,9207,8619,7109,148,1298,4197,NA,NA
1998-11-09,7189,8666,8850,7917,148,1250,3957,NA,NA
1998-11-10,7010,8629,8544,NA,148,1207,3833,NA,NA
1998-11-11,7051,NA,8605,NA,NA,NA,NA,NA,NA
1998-11-12,8435,9239,9055,8289,148,1148,3698,NA,NA
1998-11-13,9451,10129,8853,NA,148,1119,3601,NA,NA
1998-11-14,9501,10505,9613,NA,144,1089,3532,NA,NA
1998-11-15,9495,10560,10026,NA,147,1060,3482,NA,NA
1998-11-16,9602,10553,10656,NA,140,1048,3431,NA,NA
1998-11-17,14309,13922,10807,NA,129,1040,3381,NA,NA
1998-11-18,14472,14620,14410,NA,129,1040,3122,NA,NA
1998-11-19,14727,13863,15468,NA,129,1040,2934,NA,NA
1998-11-20,14479,13403,15230,NA,129,1034,2942,NA,NA
1998-11-21,14619,14036,14956,NA,128,1120,2930,NA,NA
1998-11-22,14599,13709,17363,NA,128,1121,2972,NA,NA
1998-11-23,14822,16059,18711,NA,122,1111,2988,NA,NA
1998-11-24,14793,19078,29060,NA,112,1129,2977,NA,NA
1998-11-25,14691,18717,23579,NA,112,1123,2981,NA,NA
1998-11-26,14587,19441,19090,NA,112,1098,2952,NA,NA
1998-11-27,14609,23649,22738,NA,112,1093,2947,NA,NA
1998-11-28,14879,18495,24264,NA,112,1104,3001,NA,NA
1998-11-29,14758,21145,19891,22779,192,1154,2987,NA,NA
1998-11-30,14885,38443,28079,22157,309,1319,2996,NA,NA
1998-12-01,14594,28689,47730,24674,289,1388,3094,NA,NA
1998-12-02,14595,23231,33296,25741,214,1271,3194,NA,NA
1998-12-03,14826,32653,28339,NA,225,1385,3155,NA,NA
1998-12-04,18208,24979,38628,24780,281,1557,3245,NA,NA
1998-12-05,24735,28659,29181,24830,281,1598,3606,NA,NA
1998-12-06,24954,29850,31124,24447,281,1699,3925,NA,NA
1998-12-07,24845,29209,31166,24702,281,1662,4085,NA,NA
1998-12-08,24917,29308,30135,24590,432,1555,4266,NA,NA
1998-12-09,22164,27301,29656,24483,401,1582,4263,NA,NA
1998-12-10,21739,25429,26812,NA,301,1626,4342,NA,NA
1998-12-11,21696,25237,25372,23613,298,1652,4608,NA,NA
1998-12-12,21511,24823,24965,23290,297,1626,4842,NA,NA
1998-12-13,18771,23183,24522,23104,387,1606,4859,NA,NA
1998-12-14,16123,21896,25578,23053,474,1603,4786,NA,NA
1998-12-15,14931,18381,23624,23338,430,1591,4735,NA,NA
1998-12-16,15648,17752,19731,NA,305,1602,4753,NA,NA
1998-12-17,14697,17617,18211,NA,402,1549,4847,NA,NA
1998-12-18,14672,17158,17804,19514,549,1342,4781,NA,NA
1998-12-19,12940,15847,17196,18890,429,1171,4574,NA,NA
1998-12-20,11132,13970,15938,18197,248,1163,4351,NA,NA
1998-12-21,9578,12251,14301,16934,200,1128,4374,NA,NA
1998-12-22,8410,10547,12854,15341,198,1058,4748,NA,NA
1998-12-23,7192,9480,11431,13899,199,1033,4690,NA,NA
1998-12-24,7014,8937,10168,12727,202,995,4520,NA,NA
1998-12-25,7033,8915,9661,11730,205,968,3876,NA,NA
1998-12-26,6993,8894,9538,11258,206,921,3667,NA,NA
1998-12-27,6997,8878,9407,11017,208,902,3590,NA,NA
1998-12-28,7017,8934,9323,10831,209,891,3509,NA,NA
1998-12-29,6118,8510,9267,10739,206,878,3479,NA,NA
1998-12-30,5825,8009,8780,10595,199,866,3465,NA,NA
1998-12-31,5621,7866,8266,10057,198,862,3422,NA,NA
1999-01-01,5502,7751,8075,9704,197,865,3437,NA,NA
1999-01-02,5503,7687,7904,9508,193,870,3395,NA,NA
1999-01-03,5511,7624,7768,9326,192,861,3362,NA,NA
1999-01-04,5507,7613,7655,9213,201,851,3339,NA,NA
1999-01-05,5516,7610,7586,9045,221,842,3316,NA,NA
1999-01-06,5518,7610,7540,8954,230,837,3270,NA,NA
1999-01-07,5502,7601,7510,8919,256,824,3146,NA,NA
1999-01-08,5515,7421,7450,8867,257,832,2970,NA,NA
1999-01-09,5515,7397,7305,8794,257,827,2808,NA,NA
1999-01-10,5515,7468,7237,8687,257,852,2777,NA,NA
1999-01-11,5499,7507,7260,8639,257,860,2764,NA,NA
1999-01-12,5510,7503,7274,8656,257,872,2741,NA,NA
1999-01-13,5516,7478,7258,8654,257,889,2722,NA,NA
1999-01-14,5500,7492,7225,8629,257,894,2724,NA,NA
1999-01-15,5513,7543,7247,8634,257,952,2729,NA,NA
1999-01-16,5518,7909,7387,8787,257,999,2784,NA,NA
1999-01-17,5518,10211,7824,9024,268,1018,2997,NA,NA
1999-01-18,5501,13619,10183,9568,335,1061,3100,NA,NA
1999-01-19,5509,12638,14191,12783,336,1103,3281,NA,NA
1999-01-20,9672,12877,13387,14886,334,1147,3473,NA,NA
1999-01-21,15079,21385,15261,15082,312,1220,4112,NA,NA
1999-01-22,15073,19743,20041,18021,289,1429,4553,NA,NA
1999-01-23,15202,26553,21686,20464,277,2096,5638,NA,NA
1999-01-24,14721,21920,27807,22913,273,2312,6847,NA,NA
1999-01-25,14419,19349,23295,23494,292,2434,7741,NA,NA
1999-01-26,12983,17952,20817,22711,312,2432,7748,NA,NA
1999-01-27,11953,16119,19034,21982,306,2290,7844,NA,NA
1999-01-28,10223,13961,17018,20638,301,1849,7940,NA,NA
1999-01-29,9070,12342,14860,18661,291,1714,7707,NA,NA
1999-01-30,8098,10720,13226,16660,279,1545,7319,NA,NA
1999-01-31,7540,10292,11939,15352,269,1356,7107,NA,NA
1999-02-01,7532,10152,11424,14221,266,1311,6635,NA,NA
1999-02-02,7514,9893,10881,13608,266,1275,6211,NA,NA
1999-02-03,6525,9258,10436,13083,266,1253,5728,NA,NA
1999-02-04,11577,10690,9728,12517,266,1224,5675,NA,NA
1999-02-05,15934,18244,11474,11907,239,1182,5950,NA,NA
1999-02-06,15907,22455,16515,14359,203,1162,6081,NA,NA
1999-02-07,16682,43816,30574,18239,196,1168,5992,NA,NA
1999-02-08,16205,30020,44979,24951,179,1246,6007,NA,NA
1999-02-09,13384,48181,40053,25502,159,1612,6861,NA,NA
1999-02-10,14866,26780,59894,26457,151,2944,8659,NA,NA
1999-02-11,16706,23115,40059,26900,150,3916,10099,NA,NA
1999-02-12,19918,25827,30168,25260,172,4214,11378,NA,NA
1999-02-13,19887,25059,29509,24832,195,3888,12799,NA,NA
1999-02-14,19858,25210,27590,24620,237,3193,13626,NA,NA
1999-02-15,25323,27858,26609,24264,299,2641,13539,NA,NA
1999-02-16,25100,34585,29000,24281,343,2466,14769,NA,NA
1999-02-17,27713,47531,42313,25060,373,2381,14836,NA,NA
1999-02-18,29626,40661,52414,26352,379,2402,13740,NA,NA
1999-02-19,25662,37631,48322,26402,385,2615,13981,NA,NA
1999-02-20,25416,35137,42543,26195,388,2806,14127,NA,NA
1999-02-21,25248,47072,46670,25792,367,3170,14320,NA,NA
1999-02-22,21890,34339,55460,26527,330,3452,15063,NA,NA
1999-02-23,21813,30300,39411,26457,310,3175,15578,NA,NA
1999-02-24,21635,28663,34275,25394,273,2938,14964,NA,NA
1999-02-25,21976,32901,33757,24976,213,2603,13766,NA,NA
1999-02-26,27359,34202,37793,25194,177,2457,12787,NA,NA
1999-02-27,27677,35084,37405,25269,156,2351,12227,NA,NA
1999-02-28,27566,36500,35982,25304,144,2198,11933,NA,NA
1999-03-01,27386,41073,41404,25280,142,1949,11612,NA,NA
1999-03-02,27495,36552,45574,NA,142,1909,11050,NA,NA
1999-03-03,27338,36814,41512,25887,135,1912,10689,NA,NA
1999-03-04,28529,35728,41404,25682,129,1963,10333,NA,NA
1999-03-05,29741,36361,39247,25622,123,2051,9970,NA,NA
1999-03-06,29627,35545,38219,25509,117,1930,9647,NA,NA
1999-03-07,29646,35396,36857,25364,128,1892,9176,NA,NA
1999-03-08,29479,34748,36099,25294,165,1849,8663,NA,NA
1999-03-09,29816,38375,36351,25194,196,1820,8512,NA,NA
1999-03-10,29860,36456,39149,25375,196,1731,8664,NA,NA
1999-03-11,29177,35238,36953,25387,191,1722,8951,NA,NA
1999-03-12,25168,31803,35780,25225,183,1725,9226,NA,NA
1999-03-13,21508,27877,32838,24927,182,1642,9349,NA,NA
1999-03-14,18408,24426,29445,24527,173,1433,9071,NA,NA
1999-03-15,15453,22706,26797,24101,163,1497,8852,NA,NA
1999-03-16,14358,20077,24772,23550,160,1563,8563,NA,NA
1999-03-17,14239,19204,22499,22933,143,1596,8223,NA,NA
1999-03-18,12361,17467,21526,22120,131,1560,7995,NA,NA
1999-03-19,10529,15628,19850,21737,136,1445,7851,NA,NA
1999-03-20,9013,14173,17944,NA,112,1412,7791,NA,NA
1999-03-21,7658,13158,17252,18631,99,1398,7832,NA,NA
1999-03-22,6661,11726,16045,17558,98,1366,7622,NA,NA
