estimate,se,lcl,ucl,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,group,reach_num,mean_rel_date,release_site
0.982,0.013,0.93,0.996,Caldwell_Park_Rel,Blw_Cypress,551.28,543.9,Upper Sac R,Caldwell_Park_Rel to Blw_Cypress,551.28 to 543.9,148,141,40.593826,-122.39836,40.56047,-122.37527,2013-02-07_Caldwell_Park_Rel,1,1,2013-02-07,Caldwell_Park_Rel
1,0,1,1,Blw_Cypress,Blw_ClearCr,543.9,535.62,Upper Sac R,Blw_Cypress to Blw_ClearCr,543.9 to 535.62,141,138,40.56047,-122.37527,40.50188,-122.36192,2013-02-07_Caldwell_Park_Rel,1,2,2013-02-07,Caldwell_Park_Rel
0.989,0.003,0.981,0.994,Blw_ClearCr,Blw_Salt,535.62,456.88,Upper Sac R,Blw_ClearCr to Blw_Salt,535.62 to 456.88,138,133,40.50188,-122.36192,40.1464,-122.15246,2013-02-07_Caldwell_Park_Rel,1,3,2013-02-07,Caldwell_Park_Rel
0.961,0.01,0.935,0.977,Blw_Salt,Abv_WoodsonBr,456.88,425.15,Upper Sac R,Blw_Salt to Abv_WoodsonBr,456.88 to 425.15,133,115,40.1464,-122.15246,39.920094,-122.08446000000001,2013-02-07_Caldwell_Park_Rel,1,4,2013-02-07,Caldwell_Park_Rel
0.857,0.021,0.812,0.894,Abv_WoodsonBr,Blw_IrvineFinch,425.15,394.66,Upper Sac R,Abv_WoodsonBr to Blw_IrvineFinch,425.15 to 394.66,115,71,39.920094,-122.08446000000001,39.73146,-121.97483,2013-02-07_Caldwell_Park_Rel,1,5,2013-02-07,Caldwell_Park_Rel
0.888,0.022,0.837,0.925,Blw_IrvineFinch,BlwOrd,394.66,361.72,Upper Sac R,Blw_IrvineFinch to BlwOrd,394.66 to 361.72,71,50,39.73146,-121.97483,39.56548,-122.0018,2013-02-07_Caldwell_Park_Rel,1,6,2013-02-07,Caldwell_Park_Rel
0.852,0.035,0.769,0.909,BlwOrd,BlwButteBr,361.72,338.28,Lower Sac R,BlwOrd to BlwButteBr,361.72 to 338.28,50,32,39.56548,-122.0018,39.41913,-122.00943,2013-02-07_Caldwell_Park_Rel,1,7,2013-02-07,Caldwell_Park_Rel
0.946,0.024,0.876,0.977,BlwButteBr,AbvColusaBr,338.28,307.73,Lower Sac R,BlwButteBr to AbvColusaBr,338.28 to 307.73,32,29,39.41913,-122.00943,39.2205,-122.00847,2013-02-07_Caldwell_Park_Rel,1,8,2013-02-07,Caldwell_Park_Rel
0.982,0.007,0.963,0.992,AbvColusaBr,FreeportDiv,307.73,153.13,Lower Sac R,AbvColusaBr to FreeportDiv,307.73 to 153.13,29,22,39.2205,-122.00847,38.47223,-121.50639,2013-02-07_Caldwell_Park_Rel,1,9,2013-02-07,Caldwell_Park_Rel
0.893,0.028,0.826,0.936,FreeportDiv,Benicia,153.13,52.04,Carquinez Strait,FreeportDiv to Benicia,153.13 to 52.04,22,7,38.47223,-121.50639,38.041233,-122.12382,2013-02-07_Caldwell_Park_Rel,1,10,2013-02-07,Caldwell_Park_Rel
1,0,1,1,Benicia,GoldenGateE,52.04,1.71,SF Bay,Benicia to GoldenGateE,52.04 to 1.71,7,3,38.041233,-122.12382,37.82794,-122.46168,2013-02-07_Caldwell_Park_Rel,1,11,2013-02-07,Caldwell_Park_Rel
