reach_end,reach_start,estimate,se,lcl,ucl,CI,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
Blw_ClearCr,Bonnyview_Rel,0.996,0.001,0.993,0.998,0.02453240000000001,540.258,535.628,Upper Sac R,Bonnyview_Rel to Blw_ClearCr,540.258 to 535.628,40.53758,-122.35724,40.50188,-122.36192,2023-01-27_Bonnyview_Rel,2023-01-27,507,495,1,1,Bonnyview_Rel
BlwCowCr,Blw_ClearCr,0.997,0.001,0.996,0.998,0.036289000000000016,535.628,520.698,Upper Sac R,Blw_ClearCr to BlwCowCr,535.628 to 520.698,40.50188,-122.36192,40.46013,-122.22765,2023-01-27_Bonnyview_Rel,2023-01-27,495,474,1,2,Bonnyview_Rel
Battle_Conf,BlwCowCr,0.998,0.001,0.996,0.999,0.0325955,520.698,507.488,Upper Sac R,BlwCowCr to Battle_Conf,520.698 to 507.488,40.46013,-122.22765,40.35371,-122.17734,2023-01-27_Bonnyview_Rel,2023-01-27,474,460,1,3,Bonnyview_Rel
Blw_Paynes_Ck,Battle_Conf,0.998,0,0.997,0.999,0.04431940000000001,507.488,476.278,Upper Sac R,Battle_Conf to Blw_Paynes_Ck,507.488 to 476.278,40.35371,-122.17734,40.25534,-122.17332,2023-01-27_Bonnyview_Rel,2023-01-27,460,432,1,4,Bonnyview_Rel
Altube,Blw_Paynes_Ck,1,0,0.999,1,0.019027599999999922,476.278,460.4,Upper Sac R,Blw_Paynes_Ck to Altube,476.278 to 460.4,40.25534,-122.17332,40.15348,-122.1887,2023-01-27_Bonnyview_Rel,2023-01-27,432,428,1,5,Bonnyview_Rel
Blw_Salt,Altube,1,0,1,1,1.3599999999946988e-5,460.4,456.888,Upper Sac R,Altube to Blw_Salt,460.4 to 456.888,40.15348,-122.1887,40.1464,-122.15246,2023-01-27_Bonnyview_Rel,2023-01-27,428,428,1,6,Bonnyview_Rel
Mill_Ck_Conf,Blw_Salt,1,0,0.999,1,0.0192137,456.888,441.318,Upper Sac R,Blw_Salt to Mill_Ck_Conf,456.888 to 441.318,40.1464,-122.15246,40.0327,-122.11987,2023-01-27_Bonnyview_Rel,2023-01-27,428,426,1,7,Bonnyview_Rel
Abv_WoodsonBr,Mill_Ck_Conf,0.998,0.001,0.997,0.999,0.03511770000000003,441.318,425.158,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.318 to 425.158,40.0327,-122.11987,39.920094,-122.08446000000001,2023-01-27_Bonnyview_Rel,2023-01-27,426,412,1,8,Bonnyview_Rel
GCID,Abv_WoodsonBr,0.997,0.001,0.996,0.998,0.04604560000000002,425.158,405.273,Upper Sac R,Abv_WoodsonBr to GCID,425.158 to 405.273,39.920094,-122.08446000000001,39.799051000000006,-122.0471165,2023-01-27_Bonnyview_Rel,2023-01-27,412,388,1,9,Bonnyview_Rel
Blw_IrvineFinch,GCID,0.993,0.001,0.99,0.995,0.051589899999999966,405.273,394.668,Upper Sac R,GCID to Blw_IrvineFinch,405.273 to 394.668,39.799051000000006,-122.0471165,39.73146,-121.97483,2023-01-27_Bonnyview_Rel,2023-01-27,388,361,1,10,Bonnyview_Rel
Ord,Blw_IrvineFinch,0.994,0.001,0.992,0.995,0.0732813000000001,394.668,371.658,Upper Sac R,Blw_IrvineFinch to Ord,394.668 to 371.658,39.73146,-121.97483,39.634564999999995,-121.98939,2023-01-27_Bonnyview_Rel,2023-01-27,361,238,1,11,Bonnyview_Rel
BlwOrd,Ord,0.995,0.001,0.991,0.997,0.055688300000000024,371.658,361.728,Upper Sac R,Ord to BlwOrd,371.658 to 361.728,39.634564999999995,-121.98939,39.56548,-122.0018,2023-01-27_Bonnyview_Rel,2023-01-27,238,295,1,12,Bonnyview_Rel
AbvButteBr,BlwOrd,0.993,0.001,0.99,0.995,0.07048169999999998,361.728,347.188,Lower Sac R,BlwOrd to AbvButteBr,361.728 to 347.188,39.56548,-122.0018,39.4717175,-121.995482,2023-01-27_Bonnyview_Rel,2023-01-27,295,263,1,13,Bonnyview_Rel
Colusa AC3,AbvButteBr,0.995,0.002,0.991,0.997,0.09087639999999997,347.188,331.158,Lower Sac R,AbvButteBr to Colusa AC3,347.188 to 331.158,39.4717175,-121.995482,39.36038,-122.01373,2023-01-27_Bonnyview_Rel,2023-01-27,263,232,1,14,Bonnyview_Rel
Benicia,Colusa AC3,0.996,0,0.995,0.997,0.11875219999999997,331.158,52.144,Carquinez Strait,Colusa AC3 to Benicia,331.158 to 52.144,39.36038,-122.01373,38.0423015,-122.1236,2023-01-27_Bonnyview_Rel,2023-01-27,232,81,1,15,Bonnyview_Rel
GoldenGateE,Benicia,0.995,0.002,0.991,0.998,0.2466609999999999,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2023-01-27_Bonnyview_Rel,2023-01-27,81,37,1,16,Bonnyview_Rel
Blw_ClearCr,Bonnyview_Rel,0.992,0.002,0.986,0.995,0.04122009999999998,540.258,535.628,Upper Sac R,Bonnyview_Rel to Blw_ClearCr,540.258 to 535.628,40.53758,-122.35724,40.50188,-122.36192,2023-03-01_Bonnyview_Rel,2023-03-01,362,348,2,1,Bonnyview_Rel
BlwCowCr,Blw_ClearCr,0.997,0.001,0.995,0.998,0.04553459999999998,535.628,520.698,Upper Sac R,Blw_ClearCr to BlwCowCr,535.628 to 520.698,40.50188,-122.36192,40.46013,-122.22765,2023-03-01_Bonnyview_Rel,2023-03-01,348,332,2,2,Bonnyview_Rel
Battle_Conf,BlwCowCr,0.998,0.001,0.996,0.999,0.038961400000000035,520.698,507.488,Upper Sac R,BlwCowCr to Battle_Conf,520.698 to 507.488,40.46013,-122.22765,40.35371,-122.17734,2023-03-01_Bonnyview_Rel,2023-03-01,332,322,2,3,Bonnyview_Rel
Blw_Paynes_Ck,Battle_Conf,0.998,0,0.997,0.999,0.055183800000000005,507.488,476.278,Upper Sac R,Battle_Conf to Blw_Paynes_Ck,507.488 to 476.278,40.35371,-122.17734,40.25534,-122.17332,2023-03-01_Bonnyview_Rel,2023-03-01,322,301,2,4,Bonnyview_Rel
Altube,Blw_Paynes_Ck,0.999,0.001,0.997,0.999,0.0347575,476.278,460.4,Upper Sac R,Blw_Paynes_Ck to Altube,476.278 to 460.4,40.25534,-122.17332,40.15348,-122.1887,2023-03-01_Bonnyview_Rel,2023-03-01,301,295,2,5,Bonnyview_Rel
Blw_Salt,Altube,1,0,1,1,0,460.4,456.888,Upper Sac R,Altube to Blw_Salt,460.4 to 456.888,40.15348,-122.1887,40.1464,-122.15246,2023-03-01_Bonnyview_Rel,2023-03-01,295,295,2,6,Bonnyview_Rel
Mill_Ck_Conf,Blw_Salt,0.999,0,0.997,1,0.033007099999999956,456.888,441.318,Upper Sac R,Blw_Salt to Mill_Ck_Conf,456.888 to 441.318,40.1464,-122.15246,40.0327,-122.11987,2023-03-01_Bonnyview_Rel,2023-03-01,295,290,2,7,Bonnyview_Rel
Abv_WoodsonBr,Mill_Ck_Conf,0.999,0,0.998,1,0.028490099999999963,441.318,425.158,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.318 to 425.158,40.0327,-122.11987,39.920094,-122.08446000000001,2023-03-01_Bonnyview_Rel,2023-03-01,290,287,2,8,Bonnyview_Rel
GCID,Abv_WoodsonBr,0.997,0.001,0.996,0.998,0.05333209999999999,425.158,405.273,Upper Sac R,Abv_WoodsonBr to GCID,425.158 to 405.273,39.920094,-122.08446000000001,39.799051000000006,-122.0471165,2023-03-01_Bonnyview_Rel,2023-03-01,287,270,2,9,Bonnyview_Rel
