reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
GCID,Abv_WoodsonBr,1,0,1,1,425.158,404.941,Upper Sac R,Abv_WoodsonBr to GCID,425.158 to 404.941,39.920094,-122.08446000000001,39.796839,-122.049394,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,87,61,2,6,BattleCk_CNFH_Rel
Blw_IrvineFinch,GCID,0.914,0.011,0.89,0.934,404.941,394.668,Upper Sac R,GCID to Blw_IrvineFinch,404.941 to 394.668,39.796839,-122.049394,39.73146,-121.97483,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,61,39,2,7,BattleCk_CNFH_Rel
Ord,Blw_IrvineFinch,0.983,0.005,0.97,0.99,394.668,371.658,Upper Sac R,Blw_IrvineFinch to Ord,394.668 to 371.658,39.73146,-121.97483,39.63447,-121.98959,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,39,26,2,8,BattleCk_CNFH_Rel
BlwOrd,Ord,0.988,0.007,0.963,0.996,371.658,361.728,Upper Sac R,Ord to BlwOrd,371.658 to 361.728,39.63447,-121.98959,39.56548,-122.0018,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,26,23,2,9,BattleCk_CNFH_Rel
Colusa AC3,BlwOrd,0.986,0.005,0.972,0.993,361.728,331.158,Lower Sac R,BlwOrd to Colusa AC3,361.728 to 331.158,39.56548,-122.0018,39.36038,-122.01373,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,23,15,2,10,BattleCk_CNFH_Rel
Colusa AC2,Colusa AC3,0.989,0.008,0.956,0.997,331.158,318.618,Lower Sac R,Colusa AC3 to Colusa AC2,331.158 to 318.618,39.36038,-122.01373,39.28007,-122.01891,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,15,13,2,11,BattleCk_CNFH_Rel
AbvColusaBr,Colusa AC2,0.985,0.011,0.941,0.996,318.618,307.738,Lower Sac R,Colusa AC2 to AbvColusaBr,318.618 to 307.738,39.28007,-122.01891,39.2205,-122.00847,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,13,9,2,12,BattleCk_CNFH_Rel
Colusa BC2,AbvColusaBr,0.991,0.008,0.942,0.999,307.738,296.278,Lower Sac R,AbvColusaBr to Colusa BC2,307.738 to 296.278,39.2205,-122.00847,39.184963,-121.943214,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,9,10,2,13,BattleCk_CNFH_Rel
Colusa BC3,Colusa BC2,1,0,1,1,296.278,287.208,Lower Sac R,Colusa BC2 to Colusa BC3,296.278 to 287.208,39.184963,-121.943214,39.13132,-121.936554,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,10,10,2,14,BattleCk_CNFH_Rel
AbvTisdale,Colusa BC3,0.988,0.009,0.952,0.997,287.208,269.238,Lower Sac R,Colusa BC3 to AbvTisdale,287.208 to 269.238,39.13132,-121.936554,39.0364,-121.82918,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,10,8,2,15,BattleCk_CNFH_Rel
BlwTisdale,AbvTisdale,1,0,1,1,269.238,261.408,Lower Sac R,AbvTisdale to BlwTisdale,269.238 to 261.408,39.0364,-121.82918,38.98941,-121.80463,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,8,8,2,16,BattleCk_CNFH_Rel
BlwChinaBend,BlwTisdale,1,0,1,1,261.408,240.618,Lower Sac R,BlwTisdale to BlwChinaBend,261.408 to 240.618,38.98941,-121.80463,38.88406,-121.81713,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,8,8,2,17,BattleCk_CNFH_Rel
Knights_RST,BlwChinaBend,1,0,1,1,240.618,222.05,Lower Sac R,BlwChinaBend to Knights_RST,240.618 to 222.05,38.88406,-121.81713,38.79248,-121.69087,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,8,8,2,18,BattleCk_CNFH_Rel
Blw_Elkhorn_GS1,Knights_RST,0.977,0.011,0.94,0.992,222.05,191.92,Lower Sac R,Knights_RST to Blw_Elkhorn_GS1,222.05 to 191.92,38.79248,-121.69087,38.64737,-121.57771,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,8,4,2,19,BattleCk_CNFH_Rel
TowerBridge,Blw_Elkhorn_GS1,1,0,1,1,191.92,172,Lower Sac R,Blw_Elkhorn_GS1 to TowerBridge,191.92 to 172,38.64737,-121.57771,38.5802,-121.508,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,4,4,2,20,BattleCk_CNFH_Rel
Freeport,TowerBridge,0.965,0.025,0.868,0.992,172,152.438,Lower Sac R,TowerBridge to Freeport,172 to 152.438,38.5802,-121.508,38.46467,-121.50501,2021-03-24_BattleCk_CNFH_Rel,2021-03-24,4,2,2,21,BattleCk_CNFH_Rel
