estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,reach_num,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
0.2602584,0.1167977,0.0967656,0.536047,Nimbus_Fall_2018,SutterBypass_Weir2_RST_Rel,Butte1,249.54,249.05,Sutter Bypass,"SutterBypass_Weir2_RST_Rel to 
Butte1",249.54 to 249.05,1,141,132,39.10239,-121.758804,39.09834,-121.75655
0.7257191,0.0379239,0.645561,0.7935465,Nimbus_Fall_2018,Butte1,Butte2,249.05,238.46,Sutter Bypass,"Butte1 to 
Butte2",249.05 to 238.46,2,132,94,39.09834,-121.75655,39.00687,-121.72227
0.9285575,0.0243422,0.8636025,0.9638738,Nimbus_Fall_2018,Butte2,Butte3,238.46,226.46,Sutter Bypass,"Butte2 to 
Butte3",238.46 to 226.46,3,94,86,39.00687,-121.72227,38.92734,-121.62995
0.3990792,0.0534977,0.3001595,0.5069826,Nimbus_Fall_2018,Butte3,Butte5,226.46,216.98,Sutter Bypass,"Butte3 to 
Butte5",226.46 to 216.98,4,86,36,38.92734,-121.62995,38.85305,-121.65151
0.760345,0.0696802,0.599907,0.8703511,Nimbus_Fall_2018,Butte5,Butte6,216.98,206.48,Sutter Bypass,"Butte5 to 
Butte6",216.98 to 206.48,5,36,27,38.85305,-121.65151,38.78346,-121.63226
0.9194599,0.0292907,0.8402087,0.9612193,Nimbus_Fall_2018,Butte6,I80-50_Br,206.48,170.74,Sutter Bypass,"Butte6 to 
I80-50_Br",206.48 to 170.74,6,27,20,38.78346,-121.63226,38.571133,-121.5164
0.8230009,0.0657974,0.65735,0.9184985,Nimbus_Fall_2018,I80-50_Br,Freeport,170.74,152.43,Lower Sac R,"I80-50_Br to 
Freeport",170.74 to 152.43,7,20,14,38.571133,-121.5164,38.46467,-121.50501
0.8971963,0.0688897,0.6687516,0.9741779,Nimbus_Fall_2018,Freeport,Hood,152.43,138.22,Lower Sac R,"Freeport to 
Hood",152.43 to 138.22,8,14,12,38.46467,-121.50501,38.3617,-121.52033
0.2420978,0.1554373,0.0572383,0.6269528,Nimbus_Fall_2018,Hood,Blw_Hood,138.22,134.42,Lower Sac R,"Hood to 
Blw_Hood",138.22 to 134.42,9,12,7,38.3617,-121.52033,38.34365,-121.5552
0.7896136,0.0887401,0.5684686,0.9144788,Nimbus_Fall_2018,Blw_Hood,Benicia,134.42,52.04,Lower Sac R,"Blw_Hood to 
Benicia",134.42 to 52.04,10,7,1,38.34365,-121.5552,38.041233,-122.12382
1,0,1,1,Nimbus_Fall_2018,Benicia,GoldenGateE,52.04,1.71,Carquinez Strait,"Benicia to 
GoldenGateE",52.04 to 1.71,11,1,1,38.041233,-122.12382,37.82794,-122.46168
