reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
Hood,Freeport,1,0,1,1,152.43,138.22,Lower Sac R,Freeport to Hood,152.43 to 138.22,38.46467,-121.50501,38.3617,-121.52033,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,44,38,1,21,BattleCk_CNFH_Rel
Chipps,Hood,0.987,0.003,0.98,0.991,138.22,71.48,West Delta,Hood to Chipps,138.22 to 71.48,38.3617,-121.52033,38.046132,-121.912643,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,38,18,1,22,BattleCk_CNFH_Rel
Benicia,Chipps,0.982,0.009,0.953,0.993,71.48,52.04,Carquinez Strait,Chipps to Benicia,71.48 to 52.04,38.046132,-121.912643,38.041233,-122.12382,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,18,12,1,23,BattleCk_CNFH_Rel
GoldenGateE,Benicia,0.996,0.009,0.8,1,52.04,1.71,SF Bay,Benicia to GoldenGateE,52.04 to 1.71,38.041233,-122.12382,37.82794,-122.46168,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,12,4,1,24,BattleCk_CNFH_Rel
BattleCk1,BattleCk_CNFH_Rel,0.843,0.033,0.767,0.897,517.34,516.98,Battle Ck,BattleCk_CNFH_Rel to BattleCk1,517.34 to 516.98,40.398155,-122.14556,40.39827,-122.14959,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,356,316,2,1,BattleCk_CNFH_Rel
Blw_Paynes_Ck,BattleCk1,0.997,0.001,0.996,0.998,516.98,476.27,Upper Sac R,BattleCk1 to Blw_Paynes_Ck,516.98 to 476.27,40.39827,-122.14959,40.25534,-122.17332,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,316,287,2,2,BattleCk_CNFH_Rel
Abv_RBPP,Blw_Paynes_Ck,0.998,0.001,0.995,0.999,476.27,463.22,Upper Sac R,Blw_Paynes_Ck to Abv_RBPP,476.27 to 463.22,40.25534,-122.17332,40.153008,-122.198235,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,287,278,2,3,BattleCk_CNFH_Rel
Mill_Ck_Conf,Abv_RBPP,0.999,0,0.998,1,463.22,441.31,Upper Sac R,Abv_RBPP to Mill_Ck_Conf,463.22 to 441.31,40.153008,-122.198235,40.0327,-122.11987,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,278,222,2,4,BattleCk_CNFH_Rel
Abv_WoodsonBr,Mill_Ck_Conf,0.999,0.001,0.997,1,441.31,425.15,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.31 to 425.15,40.0327,-122.11987,39.920094,-122.08446000000001,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,222,267,2,5,BattleCk_CNFH_Rel
GCID,Abv_WoodsonBr,0.998,0.001,0.996,0.999,425.15,405.265,Upper Sac R,Abv_WoodsonBr to GCID,425.15 to 405.265,39.920094,-122.08446000000001,39.798953499999996,-122.04724300000001,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,267,255,2,6,BattleCk_CNFH_Rel
