reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
StarBend,FR_Boyds_Rel,0.963,0.007,0.946,0.975,240.75,234.92,Feather_R,FR_Boyds_Rel to StarBend,240.75 to 234.92,39.057335,-121.61066,39.009884,-121.59382,2013-04-18_FR_Boyds_Rel,2013-04-18,151,118,1,4,FR_Boyds_Rel
BC_Beach,StarBend,0.964,0.005,0.952,0.972,234.92,217.31,Feather_R,StarBend to BC_Beach,234.92 to 217.31,39.009884,-121.59382,38.877506,-121.61404,2013-04-18_FR_Boyds_Rel,2013-04-18,118,55,1,5,FR_Boyds_Rel
Blw_FRConf,BC_Beach,0.983,0.005,0.968,0.991,217.31,203.46,Lower Sac R,BC_Beach to Blw_FRConf,217.31 to 203.46,38.877506,-121.61404,38.78212,-121.61526,2013-04-18_FR_Boyds_Rel,2013-04-18,55,46,1,6,FR_Boyds_Rel
TowerBridge,Blw_FRConf,0.989,0.003,0.981,0.994,203.46,172,Lower Sac R,Blw_FRConf to TowerBridge,203.46 to 172,38.78212,-121.61526,38.5802,-121.508,2013-04-18_FR_Boyds_Rel,2013-04-18,46,35,1,7,FR_Boyds_Rel
Hood,TowerBridge,0.995,0.005,0.96,0.999,172,138.22,Lower Sac R,TowerBridge to Hood,172 to 138.22,38.5802,-121.508,38.3617,-121.52033,2013-04-18_FR_Boyds_Rel,2013-04-18,35,24,1,8,FR_Boyds_Rel
GoldenGateE,Hood,0.995,0.006,0.949,1,138.22,1.71,SF Bay,Hood to GoldenGateE,138.22 to 1.71,38.3617,-121.52033,37.82794,-122.46168,2013-04-18_FR_Boyds_Rel,2013-04-18,24,4,1,9,FR_Boyds_Rel
CoxRiffle,FR_Gridley_Rel,0.963,0.008,0.942,0.976,287.38,283.87,Feather_R,FR_Gridley_Rel to CoxRiffle,287.38 to 283.87,39.357876,-121.63604,39.333267,-121.632675,2013-04-17_FR_Gridley_Rel,2013-04-17,151,131,2,1,FR_Gridley_Rel
SunsetPumps,CoxRiffle,0.984,0.003,0.977,0.989,283.87,269.75,Feather_R,CoxRiffle to SunsetPumps,283.87 to 269.75,39.333267,-121.632675,39.251724,-121.63522,2013-04-17_FR_Gridley_Rel,2013-04-17,131,106,2,2,FR_Gridley_Rel
ShanghaiBend,SunsetPumps,0.978,0.003,0.971,0.984,269.75,245.45,Feather_R,SunsetPumps to ShanghaiBend,269.75 to 245.45,39.251724,-121.63522,39.094635,-121.59285,2013-04-17_FR_Gridley_Rel,2013-04-17,106,61,2,3,FR_Gridley_Rel
StarBend,ShanghaiBend,0.988,0.005,0.974,0.995,245.45,234.92,Feather_R,ShanghaiBend to StarBend,245.45 to 234.92,39.094635,-121.59285,39.009884,-121.59382,2013-04-17_FR_Gridley_Rel,2013-04-17,61,52,2,4,FR_Gridley_Rel
BC_Beach,StarBend,0.963,0.008,0.945,0.976,234.92,217.31,Feather_R,StarBend to BC_Beach,234.92 to 217.31,39.009884,-121.59382,38.877506,-121.61404,2013-04-17_FR_Gridley_Rel,2013-04-17,52,24,2,5,FR_Gridley_Rel
Blw_FRConf,BC_Beach,0.968,0.011,0.939,0.983,217.31,203.46,Lower Sac R,BC_Beach to Blw_FRConf,217.31 to 203.46,38.877506,-121.61404,38.78212,-121.61526,2013-04-17_FR_Gridley_Rel,2013-04-17,24,14,2,6,FR_Gridley_Rel
TowerBridge,Blw_FRConf,0.998,0.002,0.981,1,203.46,172,Lower Sac R,Blw_FRConf to TowerBridge,203.46 to 172,38.78212,-121.61526,38.5802,-121.508,2013-04-17_FR_Gridley_Rel,2013-04-17,14,16,2,7,FR_Gridley_Rel
Hood,TowerBridge,0.99,0.008,0.957,0.998,172,138.22,Lower Sac R,TowerBridge to Hood,172 to 138.22,38.5802,-121.508,38.3617,-121.52033,2013-04-17_FR_Gridley_Rel,2013-04-17,16,9,2,8,FR_Gridley_Rel
GoldenGateE,Hood,0.997,0.008,0.674,1,138.22,1.71,SF Bay,Hood to GoldenGateE,138.22 to 1.71,38.3617,-121.52033,37.82794,-122.46168,2013-04-17_FR_Gridley_Rel,2013-04-17,9,2,2,9,FR_Gridley_Rel
