estimate,se,lcl,ucl,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,group,reach_num,mean_rel_date,release_site
0.558,0.025,0.508,0.606,Sherman_Island_Rel,Chipps,89.76,71.47999999999999,West Delta,Sherman_Island_Rel to Chipps,89.76 to 71.48,289,98,38.038162,-121.72443,38.046132,-121.912643,2017-04-28_Sherman_Island_Rel,1,1,2017-04-28,Sherman_Island_Rel
0.859,0.027,0.797,0.905,Chipps,Benicia,71.47999999999999,52.04,Carquinez Strait,Chipps to Benicia,71.48 to 52.04,98,71,38.046132,-121.912643,38.041233,-122.12382,2017-04-28_Sherman_Island_Rel,1,2,2017-04-28,Sherman_Island_Rel
0.94,0.018,0.894,0.967,Benicia,GoldenGateE,52.04,1.71,SF Bay,Benicia to GoldenGateE,52.04 to 1.71,71,31,38.041233,-122.12382,37.82794,-122.46168,2017-04-28_Sherman_Island_Rel,1,3,2017-04-28,Sherman_Island_Rel
