estimate,se,lcl,ucl,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,group,reach_num,mean_rel_date,release_site
0.943,0.007,0.929,0.955,AR_Sunrise_Ramp_Rel,AR_Upstream_Hwy80,206.041,180.95,Amer R,AR_Sunrise_Ramp_Rel to AR_Upstream_Hwy80,206.041 to 180.95,510,415,38.63634,-121.26424,38.58339,-121.44109,2023-05-16_AR_Sunrise_Ramp_Rel,1,1,2023-05-16,AR_Sunrise_Ramp_Rel
0.903,0.022,0.851,0.938,AR_Upstream_Hwy80,AR_Mouth3,180.95,175.52,Amer R,AR_Upstream_Hwy80 to AR_Mouth3,180.95 to 175.52,415,368,38.58339,-121.44109,38.60282,-121.49287,2023-05-16_AR_Sunrise_Ramp_Rel,1,2,2023-05-16,AR_Sunrise_Ramp_Rel
0.811,0.03,0.746,0.863,AR_Mouth3,I80-50_Br,175.52,170.748,Lower Sac R,AR_Mouth3 to I80-50_Br,175.52 to 170.748,368,282,38.60282,-121.49287,38.571133,-121.5164,2023-05-16_AR_Sunrise_Ramp_Rel,1,3,2023-05-16,AR_Sunrise_Ramp_Rel
0.987,0.005,0.972,0.994,I80-50_Br,Freeport,170.748,152.23149999999998,Lower Sac R,I80-50_Br to Freeport,170.748 to 152.2315,282,368,38.571133,-121.5164,38.46467,-121.50501,2023-05-16_AR_Sunrise_Ramp_Rel,1,4,2023-05-16,AR_Sunrise_Ramp_Rel
0.93,0.005,0.92,0.94,Freeport,Benicia,152.23149999999998,52.144000000000005,Carquinez Strait,Freeport to Benicia,152.2315 to 52.144,368,174,38.46467,-121.50501,38.0423015,-122.1236,2023-05-16_AR_Sunrise_Ramp_Rel,1,5,2023-05-16,AR_Sunrise_Ramp_Rel
0.931,0.011,0.906,0.95,Benicia,GoldenGateE,52.144000000000005,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,174,94,38.0423015,-122.1236,37.82794,-122.46168,2023-05-16_AR_Sunrise_Ramp_Rel,1,6,2023-05-16,AR_Sunrise_Ramp_Rel
