estimate,se,lcl,ucl,CI,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,group,reach_num,mean_rel_date,release_site
0.57,0.055,0.46,0.674,0.24414799999999998,UpperButte_RST_Rel,UpperButte1,340.85,324.1,Butte Creek,UpperButte_RST_Rel to UpperButte1,340.85 to 324.1,59,23,39.70936,-121.75056,39.58413,-121.80032,2018-05-16_UpperButte_RST_Rel,1,1,2018-05-16,UpperButte_RST_Rel
0.452,0.094,0.282,0.634,0.3501898,UpperButte1,UpperButte2,324.1,307.16,Butte Creek,UpperButte1 to UpperButte2,324.1 to 307.16,23,6,39.58413,-121.80032,39.464115,-121.87012,2018-05-16_UpperButte_RST_Rel,1,2,2018-05-16,UpperButte_RST_Rel
