estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,reach_num,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
0.8802165,0.0129306,0.8524703,0.9033362,SB_Spring_2018,Abv_WoodsonBr,GCID_abv,425.15,406.11,Upper Sac R,"Abv_WoodsonBr to 
GCID_abv",425.15 to 406.11,11,352,274,39.920094,-122.08446000000001,39.806767,-122.05846
0.3689982,0.1140298,0.1829626,0.604289,SB_Spring_2018,GCID_abv,GCID_Main,406.11,405.71,Upper Sac R,"GCID_abv to 
GCID_Main",406.11 to 405.71,12,274,225,39.806767,-122.05846,39.79698,-122.04706
1,0,1,1,SB_Spring_2018,GCID_Main,GCID_Conf,405.71,404.9,Upper Sac R,"GCID_Main to 
GCID_Conf",405.71 to 404.9,13,225,224,39.79698,-122.04706,39.7923,-122.04038
0.3792849,0.1082944,0.1987437,0.6008471,SB_Spring_2018,GCID_Conf,GCID_blw,404.9,404.42,Upper Sac R,"GCID_Conf to 
GCID_blw",404.9 to 404.42,14,224,251,39.7923,-122.04038,39.79114,-122.036026
0.9999595,0.0122474,8.252383e-254,1,SB_Spring_2018,GCID_blw,GCID,404.42,404.27,Upper Sac R,"GCID_blw to 
GCID",404.42 to 404.27,15,251,36,39.79114,-122.036026,39.79261,-122.053696
0.8825725,0.0216682,0.8330269,0.9188488,SB_Spring_2018,GCID,Blw_IrvineFinch,404.27,394.66,Upper Sac R,"GCID to 
Blw_IrvineFinch",404.27 to 394.66,16,36,220,39.79261,-122.053696,39.73146,-121.97483
0.8320675,0.017713,0.7944389,0.8639874,SB_Spring_2018,Blw_IrvineFinch,Ord,394.66,371.65,Upper Sac R,"Blw_IrvineFinch to 
Ord",394.66 to 371.65,17,220,145,39.73146,-121.97483,39.63447,-121.98959
0.9463886,0.0191808,0.8937784,0.9737081,SB_Spring_2018,Ord,BlwOrd,371.65,361.72,Upper Sac R,"Ord to 
BlwOrd",371.65 to 361.72,18,145,137,39.63447,-121.98959,39.56548,-122.0018
0.9353172,0.0174772,0.8914054,0.962225,SB_Spring_2018,BlwOrd,ButteBr,361.72,344.1,Upper Sac R,"BlwOrd to 
ButteBr",361.72 to 344.1,19,137,91,39.56548,-122.0018,39.4569,-121.995
0.9625604,0.0189811,0.9015477,0.9863355,SB_Spring_2018,ButteBr,Colusa AC3,344.1,331.15,Lower Sac R,"ButteBr to 
Colusa AC3",344.1 to 331.15,20,91,101,39.4569,-121.995,39.359877499999996,-122.01365999999999
0.9611094,0.0174165,0.9083844,0.9840247,SB_Spring_2018,Colusa AC3,Colusa AC2,331.15,318.61,Lower Sac R,"Colusa AC3 to 
Colusa AC2",331.15 to 318.61,21,101,110,39.359877499999996,-122.01365999999999,39.28007,-122.01891
0.9553255,0.0202702,0.8939511,0.9818995,SB_Spring_2018,Colusa AC2,AbvColusaBr,318.61,307.73,Lower Sac R,"Colusa AC2 to 
AbvColusaBr",318.61 to 307.73,22,110,79,39.28007,-122.01891,39.2205,-122.00847
1,0,1,1,SB_Spring_2018,AbvColusaBr,Colusa BC2,307.73,296.27,Lower Sac R,"AbvColusaBr to 
Colusa BC2",307.73 to 296.27,23,79,65,39.2205,-122.00847,39.184963,-121.943214
0.9324134,0.0270998,0.8558833,0.9697406,SB_Spring_2018,Colusa BC2,Colusa BC3,296.27,287.2,Lower Sac R,"Colusa BC2 to 
Colusa BC3",296.27 to 287.2,24,65,27,39.184963,-121.943214,39.13132,-121.936554
1,0,1,1,SB_Spring_2018,Colusa BC3,Colusa BC4,287.2,280.4,Lower Sac R,"Colusa BC3 to 
Colusa BC4",287.2 to 280.4,25,27,97,39.13132,-121.936554,39.09362,-121.89405
0.9543198,0.0200428,0.8945602,0.9809317,SB_Spring_2018,Colusa BC4,AbvTisdale,280.4,269.23,Lower Sac R,"Colusa BC4 to 
AbvTisdale",280.4 to 269.23,26,97,94,39.09362,-121.89405,39.0364,-121.82918
0.9758407,0.0190916,0.8920077,0.9949627,SB_Spring_2018,AbvTisdale,BlwTisdale,269.23,261.4,Lower Sac R,"AbvTisdale to 
BlwTisdale",269.23 to 261.4,27,94,91,39.0364,-121.82918,38.98941,-121.80463
0.9549469,0.0160817,0.9106165,0.9778267,SB_Spring_2018,BlwTisdale,BlwChinaBend,261.4,240.61,Lower Sac R,"BlwTisdale to 
BlwChinaBend",261.4 to 240.61,28,91,77,38.98941,-121.80463,38.88406,-121.81713
0.9500325,0.018447,0.8987556,0.9760319,SB_Spring_2018,BlwChinaBend,Knights_RST,240.61,222.05,Lower Sac R,"BlwChinaBend to 
Knights_RST",240.61 to 222.05,29,77,76,38.88406,-121.81713,38.79248,-121.69087
0.7548456,0.2127347,0.2444271,0.9670038,SB_Spring_2018,Knights_RST,KnightsBlwRST,222.05,221.58,Lower Sac R,"Knights_RST to 
KnightsBlwRST",222.05 to 221.58,30,76,73,38.79248,-121.69087,38.78877,-121.694
1,0,1,1,SB_Spring_2018,KnightsBlwRST,Abv_FremontWeir,221.58,215.18,Lower Sac R,"KnightsBlwRST to 
Abv_FremontWeir",221.58 to 215.18,31,73,72,38.78877,-121.694,38.76009,-121.67145
0.9616616,0.0561107,0.5595318,0.9979851,SB_Spring_2018,Abv_FremontWeir,Blw_Knights_GS3,215.18,212.8,Lower Sac R,"Abv_FremontWeir to 
Blw_Knights_GS3",215.18 to 212.8,32,72,58,38.76009,-121.67145,38.760085000000004,-121.67328499999999
0.9510075,0.0691275,0.5144617,0.9971958,SB_Spring_2018,Blw_Knights_GS3,Blw_FremontWeir,212.8,210.36,Lower Sac R,"Blw_Knights_GS3 to 
Blw_FremontWeir",212.8 to 210.36,33,58,66,38.760085000000004,-121.67328499999999,38.77015,-121.6322
0.9350634,0.0364022,0.8164026,0.9790048,SB_Spring_2018,Blw_FremontWeir,Blw_FRConf,210.36,203.46,Lower Sac R,"Blw_FremontWeir to 
Blw_FRConf",210.36 to 203.46,34,66,67,38.77015,-121.6322,38.78212,-121.61526
1,0,1,1,SB_Spring_2018,Blw_FRConf,Blw_FR_GS2,203.46,199,Lower Sac R,"Blw_FRConf to 
Blw_FR_GS2",203.46 to 199,35,67,54,38.78212,-121.61526,38.735055,-121.603635
0.981114,0.0199695,0.8627037,0.9976771,SB_Spring_2018,Blw_FR_GS2,Blw_Elkhorn_GS1,199,191.92,Lower Sac R,"Blw_FR_GS2 to 
Blw_Elkhorn_GS1",199 to 191.92,36,54,69,38.735055,-121.603635,38.647935000000004,-121.578205
0.9704652,0.0145493,0.9239522,0.9888722,SB_Spring_2018,Blw_Elkhorn_GS1,TowerBridge,191.92,172,Lower Sac R,"Blw_Elkhorn_GS1 to 
TowerBridge",191.92 to 172,37,69,64,38.647935000000004,-121.578205,38.5802,-121.508
1,0,1,1,SB_Spring_2018,TowerBridge,I80-50_Br,172,170.74,Lower Sac R,"TowerBridge to 
I80-50_Br",172 to 170.74,38,64,64,38.5802,-121.508,38.571133,-121.5164
1,1.561258e-10,1,1,SB_Spring_2018,I80-50_Br,SacTrawl1,170.74,167,Lower Sac R,"I80-50_Br to 
SacTrawl1",170.74 to 167,39,64,64,38.571133,-121.5164,38.54081,-121.51331
0.9999998,2.933291e-4,3.036384e-302,1,SB_Spring_2018,SacTrawl1,SacTrawl2,167,166.63,Lower Sac R,"SacTrawl1 to 
SacTrawl2",167 to 166.63,40,64,65,38.54081,-121.51331,38.53823,-121.51557
0.9590568,0.0212345,0.8903038,0.9854238,SB_Spring_2018,SacTrawl2,Freeport,166.63,152.43,Lower Sac R,"SacTrawl2 to 
Freeport",166.63 to 152.43,41,65,61,38.53823,-121.51557,38.46467,-121.50501
0.7646467,0.0981954,0.5271887,0.9044597,SB_Spring_2018,Freeport,Abv_Clarksburg,152.43,147.66,Lower Sac R,"Freeport to 
Abv_Clarksburg",152.43 to 147.66,42,61,27,38.46467,-121.50501,38.43443,-121.52448
1,0,1,1,SB_Spring_2018,Abv_Clarksburg,Hood,147.66,138.22,Lower Sac R,"Abv_Clarksburg to 
Hood",147.66 to 138.22,43,27,46,38.43443,-121.52448,38.3617,-121.52033
0.8677617,0.0228795,0.8161564,0.9065401,SB_Spring_2018,Hood,Chipps,138.22,71.47999999999999,Lower Sac R,"Hood to 
Chipps",138.22 to 71.48,44,46,19,38.3617,-121.52033,38.046132,-121.912643
0.9539469,0.0402952,0.7743564,0.9920653,SB_Spring_2018,Chipps,Benicia,71.47999999999999,52.14,West Delta,"Chipps to 
Benicia",71.48 to 52.14,45,19,18,38.046132,-121.912643,38.0423015,-122.1236
0.9386126,0.0272514,0.8581731,0.9747707,SB_Spring_2018,Benicia,GoldenGateE,52.14,1.71,Carquinez Strait,"Benicia to 
GoldenGateE",52.14 to 1.71,46,18,13,38.0423015,-122.1236,37.82794,-122.46168
