estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
0.8893614,0.0348275,0.8006721,0.9414737,BC_Jumpstart_2022,BlwChinaBend,Knights_RST,240.618,222.05,Lower Sac R,"BlwChinaBend to 
Knights_RST",240.618 to 222.05,46,37,38.88406,-121.81713,38.79348,-121.6914625
1,5.362693e-10,1,1,BC_Jumpstart_2022,Knights_RST,KnightsBlwRST,222.05,221.58,Lower Sac R,"Knights_RST to 
KnightsBlwRST",222.05 to 221.58,37,37,38.79348,-121.6914625,38.78877,-121.694
1,0,1,1,BC_Jumpstart_2022,KnightsBlwRST,Abv_FremontWeir,221.58,215.18,Lower Sac R,"KnightsBlwRST to 
Abv_FremontWeir",221.58 to 215.18,37,37,38.78877,-121.694,38.76009,-121.67145
1,0,1,1,BC_Jumpstart_2022,Abv_FremontWeir,Blw_Knights_GS3,215.18,212.8,Lower Sac R,"Abv_FremontWeir to 
Blw_Knights_GS3",215.18 to 212.8,37,37,38.76009,-121.67145,38.75972,-121.67329
0.6339131,0.1445632,0.3380682,0.8544573,BC_Jumpstart_2022,Blw_Knights_GS3,Blw_FremontWeir,212.8,210.36,Lower Sac R,"Blw_Knights_GS3 to 
Blw_FremontWeir",212.8 to 210.36,37,33,38.75972,-121.67329,38.77015,-121.6322
1,0,1,1,BC_Jumpstart_2022,Blw_FremontWeir,SacFeather,210.36,205.76,Lower Sac R,"Blw_FremontWeir to 
SacFeather",210.36 to 205.76,33,32,38.77015,-121.6322,38.785244,-121.62445
1,0,1,1,BC_Jumpstart_2022,SacFeather,Blw_FRConf,205.76,203.468,Lower Sac R,"SacFeather to 
Blw_FRConf",205.76 to 203.468,32,32,38.785244,-121.62445,38.778105,-121.607845
1,2.875108e-9,1,1,BC_Jumpstart_2022,Blw_FRConf,Blw_FR_GS2,203.468,199,Lower Sac R,"Blw_FRConf to 
Blw_FR_GS2",203.468 to 199,32,24,38.778105,-121.607845,38.73505,-121.60267
0.0835853,0.126822,0.0035413,0.7006726,BC_Jumpstart_2022,Blw_FR_GS2,RM75_RST,199,198.162,Lower Sac R,"Blw_FR_GS2 to 
RM75_RST",199 to 198.162,24,12,38.73505,-121.60267,38.727325,-121.60518
0.7903456,0.1702529,0.3347339,0.9658046,BC_Jumpstart_2022,RM75_RST,Blw_Elkhorn_GS1,198.162,191.92,Lower Sac R,"RM75_RST to 
Blw_Elkhorn_GS1",198.162 to 191.92,12,22,38.727325,-121.60518,38.64737,-121.57771
0.7376507,0.0720696,0.5753883,0.8536746,BC_Jumpstart_2022,Blw_Elkhorn_GS1,TowerBridge,191.92,172,Lower Sac R,"Blw_Elkhorn_GS1 to 
TowerBridge",191.92 to 172,22,13,38.64737,-121.57771,38.5802,-121.508
0.2628034,0.2486263,0.0280111,0.8151529,BC_Jumpstart_2022,TowerBridge,I80-50_Br,172,170.748,Lower Sac R,"TowerBridge to 
I80-50_Br",172 to 170.748,13,11,38.5802,-121.508,38.571133,-121.5164
1,5.565403e-11,1,1,BC_Jumpstart_2022,I80-50_Br,SacTrawl,170.748,166.8225,Lower Sac R,"I80-50_Br to 
SacTrawl",170.748 to 166.8225,11,11,38.571133,-121.5164,38.539519999999996,-121.51444000000001
1,7.890204e-11,1,1,BC_Jumpstart_2022,SacTrawl,Little Pocket_DS of I80,166.8225,164.387,Lower Sac R,"SacTrawl to 
Little Pocket_DS of I80",166.8225 to 164.387,11,11,38.539519999999996,-121.51444000000001,38.52448,-121.52849
0.8454182,0.1005541,0.547611,0.9611041,BC_Jumpstart_2022,Little Pocket_DS of I80,Freeport,164.387,152.438,Lower Sac R,"Little Pocket_DS of I80 to 
Freeport",164.387 to 152.438,11,9,38.52448,-121.52849,38.46467,-121.50501
0.5904737,0.2205512,0.1943908,0.8960025,BC_Jumpstart_2022,Freeport,Abv_Clarksburg,152.438,147.668,Lower Sac R,"Freeport to 
Abv_Clarksburg",152.438 to 147.668,9,7,38.46467,-121.50501,38.43443,-121.52448
0.8493358,0.1388323,0.4020194,0.9792829,BC_Jumpstart_2022,Abv_Clarksburg,Hood,147.668,138.228,Lower Sac R,"Abv_Clarksburg to 
Hood",147.668 to 138.228,7,6,38.43443,-121.52448,38.3617,-121.52033
0.8120886,0.0861197,0.5884397,0.9288898,BC_Jumpstart_2022,Hood,Benicia,138.228,52.144000000000005,Lower Sac R,"Hood to 
Benicia",138.228 to 52.144,6,1,38.3617,-121.52033,38.0423015,-122.1236
1,0,1,1,BC_Jumpstart_2022,Benicia,GoldenGateW,52.144000000000005,0.8,Carquinez Strait,"Benicia to 
GoldenGateW",52.144 to 0.8,1,1,38.0423015,-122.1236,37.82126,-122.46918
