reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
StarBend,FR_Boyds_Rel,0.957,0.01,0.932,0.973,240.75,234.92,Feather_R,FR_Boyds_Rel to StarBend,240.75 to 234.92,39.057335,-121.61066,39.009884,-121.59382,2015-03-18_FR_Boyds_Rel,2015-03-18,75,58,1,4,FR_Boyds_Rel
BC_Beach,StarBend,0.967,0.006,0.951,0.977,234.92,217.31,Feather_R,StarBend to BC_Beach,234.92 to 217.31,39.009884,-121.59382,38.877506,-121.61404,2015-03-18_FR_Boyds_Rel,2015-03-18,58,32,1,5,FR_Boyds_Rel
Blw_FRConf,BC_Beach,0.956,0.012,0.927,0.974,217.31,203.46,Lower Sac R,BC_Beach to Blw_FRConf,217.31 to 203.46,38.877506,-121.61404,38.78212,-121.61526,2015-03-18_FR_Boyds_Rel,2015-03-18,32,16,1,6,FR_Boyds_Rel
I80-50_Br,Blw_FRConf,0.985,0.006,0.965,0.994,203.46,170.74,Lower Sac R,Blw_FRConf to I80-50_Br,203.46 to 170.74,38.78212,-121.61526,38.571133,-121.5164,2015-03-18_FR_Boyds_Rel,2015-03-18,16,9,1,7,FR_Boyds_Rel
Freeport,I80-50_Br,0.948,0.021,0.888,0.977,170.74,152.43,Lower Sac R,I80-50_Br to Freeport,170.74 to 152.43,38.571133,-121.5164,38.46467,-121.50501,2015-03-18_FR_Boyds_Rel,2015-03-18,9,4,1,8,FR_Boyds_Rel
CoxRiffle,FR_Gridley_Rel,0.943,0.015,0.906,0.966,287.38,283.87,Feather_R,FR_Gridley_Rel to CoxRiffle,287.38 to 283.87,39.357876,-121.63604,39.333267,-121.632675,2015-03-18_FR_Gridley_Rel,2015-03-18,75,61,2,1,FR_Gridley_Rel
SunsetPumps,CoxRiffle,0.987,0.005,0.973,0.994,283.87,269.75,Feather_R,CoxRiffle to SunsetPumps,283.87 to 269.75,39.333267,-121.632675,39.251724,-121.63522,2015-03-18_FR_Gridley_Rel,2015-03-18,61,48,2,2,FR_Gridley_Rel
ShanghaiBend,SunsetPumps,0.973,0.006,0.959,0.982,269.75,245.45,Feather_R,SunsetPumps to ShanghaiBend,269.75 to 245.45,39.251724,-121.63522,39.094635,-121.59285,2015-03-18_FR_Gridley_Rel,2015-03-18,48,26,2,3,FR_Gridley_Rel
StarBend,ShanghaiBend,0.975,0.01,0.946,0.989,245.45,234.92,Feather_R,ShanghaiBend to StarBend,245.45 to 234.92,39.094635,-121.59285,39.009884,-121.59382,2015-03-18_FR_Gridley_Rel,2015-03-18,26,20,2,4,FR_Gridley_Rel
BC_Beach,StarBend,0.971,0.01,0.943,0.986,234.92,217.31,Feather_R,StarBend to BC_Beach,234.92 to 217.31,39.009884,-121.59382,38.877506,-121.61404,2015-03-18_FR_Gridley_Rel,2015-03-18,20,12,2,5,FR_Gridley_Rel
Blw_FRConf,BC_Beach,0.974,0.015,0.924,0.991,217.31,203.46,Lower Sac R,BC_Beach to Blw_FRConf,217.31 to 203.46,38.877506,-121.61404,38.78212,-121.61526,2015-03-18_FR_Gridley_Rel,2015-03-18,12,8,2,6,FR_Gridley_Rel
I80-50_Br,Blw_FRConf,0.94,0.027,0.859,0.976,203.46,170.74,Lower Sac R,Blw_FRConf to I80-50_Br,203.46 to 170.74,38.78212,-121.61526,38.571133,-121.5164,2015-03-18_FR_Gridley_Rel,2015-03-18,8,1,2,7,FR_Gridley_Rel
StarBend,FR_Boyds_Rel,0.968,0.009,0.945,0.981,240.75,234.92,Feather_R,FR_Boyds_Rel to StarBend,240.75 to 234.92,39.057335,-121.61066,39.009884,-121.59382,2015-04-02_FR_Boyds_Rel,2015-04-02,75,62,3,4,FR_Boyds_Rel
BC_Beach,StarBend,0.952,0.008,0.933,0.965,234.92,217.31,Feather_R,StarBend to BC_Beach,234.92 to 217.31,39.009884,-121.59382,38.877506,-121.61404,2015-04-02_FR_Boyds_Rel,2015-04-02,62,26,3,5,FR_Boyds_Rel
Blw_FRConf,BC_Beach,0.967,0.011,0.937,0.983,217.31,203.46,Lower Sac R,BC_Beach to Blw_FRConf,217.31 to 203.46,38.877506,-121.61404,38.78212,-121.61526,2015-04-02_FR_Boyds_Rel,2015-04-02,26,16,3,6,FR_Boyds_Rel
I80-50_Br,Blw_FRConf,0.98,0.008,0.957,0.991,203.46,170.74,Lower Sac R,Blw_FRConf to I80-50_Br,203.46 to 170.74,38.78212,-121.61526,38.571133,-121.5164,2015-04-02_FR_Boyds_Rel,2015-04-02,16,8,3,7,FR_Boyds_Rel
Freeport,I80-50_Br,0.945,0.024,0.872,0.977,170.74,152.43,Lower Sac R,I80-50_Br to Freeport,170.74 to 152.43,38.571133,-121.5164,38.46467,-121.50501,2015-04-02_FR_Boyds_Rel,2015-04-02,8,3,3,8,FR_Boyds_Rel
CoxRiffle,FR_Gridley_Rel,0.985,0.008,0.959,0.994,287.38,283.87,Feather_R,FR_Gridley_Rel to CoxRiffle,287.38 to 283.87,39.357876,-121.63604,39.333267,-121.632675,2015-04-02_FR_Gridley_Rel,2015-04-02,75,71,4,1,FR_Gridley_Rel
