estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,reach_num,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
1,0,1,1,SB_Spring_2018,Caldwell_Park_Rel,Blw_Cypress,551.28,543.9,Upper Sac R,"Caldwell_Park_Rel to 
Blw_Cypress",551.28 to 543.9,1,569,43,40.593826,-122.39836,40.56047,-122.37527
0.999999,8.01212e-4,5.535431e-303,1,SB_Spring_2018,Blw_Cypress,Blw_ClearCr,543.9,535.62,Upper Sac R,"Blw_Cypress to 
Blw_ClearCr",543.9 to 535.62,2,43,1,40.56047,-122.37527,40.50188,-122.36192
0.9163477,0.0467066,0.7684311,0.97309,SB_Spring_2018,Blw_ClearCr,BlwCowCr,535.62,520.69,Upper Sac R,"Blw_ClearCr to 
BlwCowCr",535.62 to 520.69,3,1,57,40.50188,-122.36192,40.46013,-122.22765
0.8975503,0.0596933,0.7105242,0.9690116,SB_Spring_2018,BlwCowCr,Battle_Conf,520.69,507.48,Upper Sac R,"BlwCowCr to 
Battle_Conf",520.69 to 507.48,4,57,1,40.46013,-122.22765,40.35371,-122.17734
0.9998289,0.0073756,1.147317e-33,1,SB_Spring_2018,Battle_Conf,Blw_Paynes_Ck,507.48,476.27,Upper Sac R,"Battle_Conf to 
Blw_Paynes_Ck",507.48 to 476.27,5,1,137,40.35371,-122.17734,40.25534,-122.17332
0.9999982,0.0012201,3.029066e-303,1,SB_Spring_2018,Blw_Paynes_Ck,Blw_Salt,476.27,456.88,Upper Sac R,"Blw_Paynes_Ck to 
Blw_Salt",476.27 to 456.88,6,137,8,40.25534,-122.17332,40.1464,-122.15246
0.8896588,0.0385193,0.7888783,0.9456457,SB_Spring_2018,Blw_Salt,Mill_Ck_Conf,456.88,441.31,Upper Sac R,"Blw_Salt to 
Mill_Ck_Conf",456.88 to 441.31,7,8,27,40.1464,-122.15246,40.0327,-122.11987
0.9699215,0.0330476,0.777844,0.9966441,SB_Spring_2018,Mill_Ck_Conf,Abv_WoodsonBr,441.31,425.15,Upper Sac R,"Mill_Ck_Conf to 
Abv_WoodsonBr",441.31 to 425.15,8,27,146,40.0327,-122.11987,39.920094,-122.08446000000001
0.9999495,0,0.9999495,0.9999495,SB_Spring_2018,Abv_WoodsonBr,GCID_blw,425.15,404.42,Upper Sac R,"Abv_WoodsonBr to 
GCID_blw",425.15 to 404.42,9,146,69,39.920094,-122.08446000000001,39.79114,-122.036026
0.9802818,0.0256006,0.7875792,0.9985021,SB_Spring_2018,GCID_blw,Blw_IrvineFinch,404.42,394.66,Upper Sac R,"GCID_blw to 
Blw_IrvineFinch",404.42 to 394.66,10,69,90,39.79114,-122.036026,39.73146,-121.97483
0.9873775,0.0080063,0.9569126,0.9963836,SB_Spring_2018,Blw_IrvineFinch,BlwOrd,394.66,361.72,Upper Sac R,"Blw_IrvineFinch to 
BlwOrd",394.66 to 361.72,11,90,145,39.73146,-121.97483,39.56548,-122.0018
0.9873356,0.0081405,0.9560681,0.9964322,SB_Spring_2018,BlwOrd,ButteBr,361.72,344.1,Upper Sac R,"BlwOrd to 
ButteBr",361.72 to 344.1,12,145,169,39.56548,-122.0018,39.4569,-121.995
0.9944196,0.0067955,0.9417359,0.9994913,SB_Spring_2018,ButteBr,Colusa AC3,344.1,331.15,Lower Sac R,"ButteBr to 
Colusa AC3",344.1 to 331.15,13,169,211,39.4569,-121.995,39.359877499999996,-122.01365999999999
0.9799198,0.0163841,0.9051445,0.9960091,SB_Spring_2018,Colusa AC3,BlwMoulton,331.15,325.79,Lower Sac R,"Colusa AC3 to 
BlwMoulton",331.15 to 325.79,14,211,150,39.359877499999996,-122.01365999999999,39.2205,-122.00847
0.9969855,0.0096703,0.3763079,0.9999945,SB_Spring_2018,BlwMoulton,Colusa AC2,325.79,318.61,Lower Sac R,"BlwMoulton to 
Colusa AC2",325.79 to 318.61,15,150,251,39.2205,-122.00847,39.28007,-122.01891
0.9543998,0.0232098,0.8803654,0.9834787,SB_Spring_2018,Colusa AC2,AbvColusaBrRT,318.61,314.43,Lower Sac R,"Colusa AC2 to 
AbvColusaBrRT",318.61 to 314.43,16,251,224,39.28007,-122.01891,39.2647,-122
0.9771649,0.0132535,0.9303571,0.9927576,SB_Spring_2018,AbvColusaBrRT,AbvColusaBr,314.43,307.73,Lower Sac R,"AbvColusaBrRT to 
AbvColusaBr",314.43 to 307.73,17,224,76,39.2647,-122,39.2205,-122.00847
1,5.937928e-13,1,1,SB_Spring_2018,AbvColusaBr,Colusa BC2,307.73,296.27,Lower Sac R,"AbvColusaBr to 
Colusa BC2",307.73 to 296.27,18,76,246,39.2205,-122.00847,39.184963,-121.943214
0.9978689,0.0035271,0.9477541,0.9999173,SB_Spring_2018,Colusa BC2,AbvTisdale,296.27,269.23,Lower Sac R,"Colusa BC2 to 
AbvTisdale",296.27 to 269.23,19,246,234,39.184963,-121.943214,39.0364,-121.82918
