reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
BlwOrd,Ord,0.997,0.001,0.992,0.999,371.658,361.728,Upper Sac R,Ord to BlwOrd,371.658 to 361.728,39.634564999999995,-121.98939,39.56548,-122.0018,2023-03-01_RBDD_Rel,2023-03-01,167,163,3,5,RBDD_Rel
AbvButteBr,BlwOrd,0.998,0.001,0.995,0.999,361.728,347.188,Lower Sac R,BlwOrd to AbvButteBr,361.728 to 347.188,39.56548,-122.0018,39.4717175,-121.995482,2023-03-01_RBDD_Rel,2023-03-01,163,156,3,6,RBDD_Rel
Colusa AC3,AbvButteBr,0.999,0.001,0.995,1,347.188,331.158,Lower Sac R,AbvButteBr to Colusa AC3,347.188 to 331.158,39.4717175,-121.995482,39.36038,-122.01373,2023-03-01_RBDD_Rel,2023-03-01,156,153,3,7,RBDD_Rel
Benicia,Colusa AC3,0.997,0,0.996,0.997,331.158,52.144,Carquinez Strait,Colusa AC3 to Benicia,331.158 to 52.144,39.36038,-122.01373,38.0423015,-122.1236,2023-03-01_RBDD_Rel,2023-03-01,153,61,3,8,RBDD_Rel
GoldenGateE,Benicia,0.994,0.002,0.989,0.997,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2023-03-01_RBDD_Rel,2023-03-01,61,36,3,9,RBDD_Rel
Abv_WoodsonBr,RB River Park_Rel,0.994,0.001,0.992,0.996,463.7,425.158,Upper Sac R,RB River Park_Rel to Abv_WoodsonBr,463.7 to 425.158,40.17383,-122.22772,39.920094,-122.08446000000001,2023-03-15_RB River Park_Rel,2023-03-15,200,136,4,1,RB River Park_Rel
GCID,Abv_WoodsonBr,0.996,0.001,0.992,0.997,425.158,405.273,Upper Sac R,Abv_WoodsonBr to GCID,425.158 to 405.273,39.920094,-122.08446000000001,39.799051000000006,-122.0471165,2023-03-15_RB River Park_Rel,2023-03-15,136,137,4,2,RB River Park_Rel
Blw_IrvineFinch,GCID,0.993,0.002,0.988,0.996,405.273,394.668,Upper Sac R,GCID to Blw_IrvineFinch,405.273 to 394.668,39.799051000000006,-122.0471165,39.73146,-121.97483,2023-03-15_RB River Park_Rel,2023-03-15,137,130,4,3,RB River Park_Rel
Ord,Blw_IrvineFinch,0.996,0.001,0.992,0.997,394.668,371.658,Upper Sac R,Blw_IrvineFinch to Ord,394.668 to 371.658,39.73146,-121.97483,39.634564999999995,-121.98939,2023-03-15_RB River Park_Rel,2023-03-15,130,113,4,4,RB River Park_Rel
BlwOrd,Ord,0.997,0.002,0.992,0.999,371.658,361.728,Upper Sac R,Ord to BlwOrd,371.658 to 361.728,39.634564999999995,-121.98939,39.56548,-122.0018,2023-03-15_RB River Park_Rel,2023-03-15,113,112,4,5,RB River Park_Rel
AbvButteBr,BlwOrd,1,0,1,1,361.728,347.188,Lower Sac R,BlwOrd to AbvButteBr,361.728 to 347.188,39.56548,-122.0018,39.4717175,-121.995482,2023-03-15_RB River Park_Rel,2023-03-15,112,115,4,6,RB River Park_Rel
Colusa AC3,AbvButteBr,0.997,0.001,0.994,0.999,347.188,331.158,Lower Sac R,AbvButteBr to Colusa AC3,347.188 to 331.158,39.4717175,-121.995482,39.36038,-122.01373,2023-03-15_RB River Park_Rel,2023-03-15,115,114,4,7,RB River Park_Rel
Benicia,Colusa AC3,1,0,0.999,1,331.158,52.144,Carquinez Strait,Colusa AC3 to Benicia,331.158 to 52.144,39.36038,-122.01373,38.0423015,-122.1236,2023-03-15_RB River Park_Rel,2023-03-15,114,100,4,8,RB River Park_Rel
GoldenGateE,Benicia,0.992,0.002,0.989,0.995,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2023-03-15_RB River Park_Rel,2023-03-15,100,46,4,9,RB River Park_Rel
