reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
Blw_Elkhorn_GS1,Knights_RST,0.998,0.002,0.99,0.999,222.05,191.92,Lower Sac R,Knights_RST to Blw_Elkhorn_GS1,222.05 to 191.92,38.79248,-121.69087,38.64737,-121.57771,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,28,26,1,21,NF_Battle_Creek_Rel
TowerBridge,Blw_Elkhorn_GS1,0.994,0.004,0.981,0.998,191.92,172,Lower Sac R,Blw_Elkhorn_GS1 to TowerBridge,191.92 to 172,38.64737,-121.57771,38.5802,-121.508,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,26,23,1,22,NF_Battle_Creek_Rel
Freeport,TowerBridge,0.985,0.006,0.967,0.993,172,152.231,Lower Sac R,TowerBridge to Freeport,172 to 152.231,38.5802,-121.508,38.46467,-121.50501,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,23,17,1,23,NF_Battle_Creek_Rel
Chipps,Freeport,0.974,0.008,0.953,0.986,152.231,71.486,West Delta,Freeport to Chipps,152.231 to 71.486,38.46467,-121.50501,38.046132,-121.912643,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,17,2,1,24,NF_Battle_Creek_Rel
MSBC_Baldwin_Pool,NF_Battle_Creek_Rel,0.924,0.009,0.904,0.941,536.184,533.305,Battle Ck,NF_Battle_Creek_Rel to MSBC_Baldwin_Pool,536.184 to 533.305,40.42459,-121.987305,40.426414,-122.010475,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,300,238,2,1,NF_Battle_Creek_Rel
MSBC_Intake2,MSBC_Baldwin_Pool,0.972,0.003,0.965,0.978,533.305,519.645,Battle Ck,MSBC_Baldwin_Pool to MSBC_Intake2,533.305 to 519.645,40.426414,-122.010475,40.40305,-122.12544,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,238,162,2,2,NF_Battle_Creek_Rel
MSBC_OldHatch,MSBC_Intake2,0.96,0.006,0.947,0.97,519.645,511.454,Battle Ck,MSBC_Intake2 to MSBC_OldHatch,519.645 to 511.454,40.40305,-122.12544,40.38434,-122.17876,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,162,116,2,3,NF_Battle_Creek_Rel
Blw_Paynes_Ck,MSBC_OldHatch,0.994,0.001,0.991,0.996,511.454,476.278,Upper Sac R,MSBC_OldHatch to Blw_Paynes_Ck,511.454 to 476.278,40.38434,-122.17876,40.25534,-122.17332,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,116,94,2,4,NF_Battle_Creek_Rel
Altube,Blw_Paynes_Ck,0.996,0.002,0.991,0.998,476.278,460.4,Upper Sac R,Blw_Paynes_Ck to Altube,476.278 to 460.4,40.25534,-122.17332,40.15348,-122.1887,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,94,88,2,5,NF_Battle_Creek_Rel
Mill_Ck_Conf,Altube,0.998,0.001,0.994,0.999,460.4,441.318,Upper Sac R,Altube to Mill_Ck_Conf,460.4 to 441.318,40.15348,-122.1887,40.0327,-122.11987,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,88,84,2,6,NF_Battle_Creek_Rel
Abv_WoodsonBr,Mill_Ck_Conf,0.989,0.003,0.981,0.994,441.318,425.158,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.318 to 425.158,40.0327,-122.11987,39.920094,-122.08446000000001,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,84,68,2,7,NF_Battle_Creek_Rel
GCID,Abv_WoodsonBr,0.988,0.003,0.98,0.993,425.158,404.941,Upper Sac R,Abv_WoodsonBr to GCID,425.158 to 404.941,39.920094,-122.08446000000001,39.796839,-122.049394,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,68,55,2,8,NF_Battle_Creek_Rel
Blw_IrvineFinch,GCID,0.995,0.003,0.983,0.998,404.941,394.668,Upper Sac R,GCID to Blw_IrvineFinch,404.941 to 394.668,39.796839,-122.049394,39.73146,-121.97483,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,55,52,2,9,NF_Battle_Creek_Rel
Ord,Blw_IrvineFinch,0.988,0.003,0.979,0.993,394.668,371.658,Upper Sac R,Blw_IrvineFinch to Ord,394.668 to 371.658,39.73146,-121.97483,39.63447,-121.98959,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,52,39,2,10,NF_Battle_Creek_Rel
BlwOrd,Ord,0.986,0.006,0.967,0.994,371.658,361.728,Upper Sac R,Ord to BlwOrd,371.658 to 361.728,39.63447,-121.98959,39.56548,-122.0018,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,39,34,2,11,NF_Battle_Creek_Rel
