estimate,se,lcl,ucl,CI,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,group,reach_num,mean_rel_date,release_site
0.845,0.013,0.818,0.868,0.122692,SutterBypass_Weir2_RST_Rel,TowerBridge,249.54,172,Lower Sac R,SutterBypass_Weir2_RST_Rel to TowerBridge,249.54 to 172,200,54,39.10239,-121.758804,38.5802,-121.508,2016-04-15_SutterBypass_Weir2_RST_Rel,1,1,2016-04-15,SutterBypass_Weir2_RST_Rel
1,0,1,1,8.000000000230045e-7,TowerBridge,I80-50_Br,172,170.74,Lower Sac R,TowerBridge to I80-50_Br,172 to 170.74,54,53,38.5802,-121.508,38.571133,-121.5164,2016-04-15_SutterBypass_Weir2_RST_Rel,1,2,2016-04-15,SutterBypass_Weir2_RST_Rel
1,0,1,1,0,I80-50_Br,SacTrawl,170.74,166.815,Lower Sac R,I80-50_Br to SacTrawl,170.74 to 166.815,53,54,38.571133,-121.5164,38.539519999999996,-121.51444000000001,2016-04-15_SutterBypass_Weir2_RST_Rel,1,3,2016-04-15,SutterBypass_Weir2_RST_Rel
0.935,0.028,0.852,0.973,0.16481199999999996,SacTrawl,Freeport,166.815,152.43,Lower Sac R,SacTrawl to Freeport,166.815 to 152.43,54,49,38.539519999999996,-121.51444000000001,38.46467,-121.50501,2016-04-15_SutterBypass_Weir2_RST_Rel,1,4,2016-04-15,SutterBypass_Weir2_RST_Rel
0.969,0.021,0.886,0.992,0.13884260000000004,Freeport,Hood_RT,152.43,139,Lower Sac R,Freeport to Hood_RT,152.43 to 139,49,47,38.46467,-121.50501,38.3741,-121.523,2016-04-15_SutterBypass_Weir2_RST_Rel,1,5,2016-04-15,SutterBypass_Weir2_RST_Rel
0.795,0.033,0.723,0.852,0.2336302,Hood_RT,Chipps,139,71.47999999999999,West Delta,Hood_RT to Chipps,139 to 71.48,47,10,38.3741,-121.523,38.046132,-121.912643,2016-04-15_SutterBypass_Weir2_RST_Rel,1,6,2016-04-15,SutterBypass_Weir2_RST_Rel
0.769,0.102,0.519,0.911,0.5442611,Chipps,Benicia,71.47999999999999,52.04,Carquinez Strait,Chipps to Benicia,71.48 to 52.04,10,6,38.046132,-121.912643,38.041233,-122.12382,2016-04-15_SutterBypass_Weir2_RST_Rel,1,7,2016-04-15,SutterBypass_Weir2_RST_Rel
0.923,0.053,0.736,0.981,0.6480002,Benicia,GoldenGateE,52.04,1.71,SF Bay,Benicia to GoldenGateE,52.04 to 1.71,6,4,38.041233,-122.12382,37.82794,-122.46168,2016-04-15_SutterBypass_Weir2_RST_Rel,1,8,2016-04-15,SutterBypass_Weir2_RST_Rel
