estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,reach_num,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
0.9999999,0,0.9999999,0.9999999,SB_Spring_2018,Caldwell_Park_Rel,Blw_Cypress,551.28,543.9,Upper Sac R,"Caldwell_Park_Rel to 
Blw_Cypress",551.28 to 543.9,1,567,565,40.593826,-122.39836,40.56047,-122.37527
0.9707074,0.0111072,0.9390643,0.9861608,SB_Spring_2018,Blw_Cypress,Blw_ClearCr,543.9,535.62,Upper Sac R,"Blw_Cypress to 
Blw_ClearCr",543.9 to 535.62,2,565,445,40.56047,-122.37527,40.50188,-122.36192
0.9425838,0.0097893,0.9201046,0.95902,SB_Spring_2018,Blw_ClearCr,BlwCowCr,535.62,520.69,Upper Sac R,"Blw_ClearCr to 
BlwCowCr",535.62 to 520.69,3,445,287,40.50188,-122.36192,40.46013,-122.22765
0.999999,7.795039e-5,1.525234e-63,1,SB_Spring_2018,BlwCowCr,Battle_Conf,520.69,507.48,Upper Sac R,"BlwCowCr to 
Battle_Conf",520.69 to 507.48,4,287,265,40.46013,-122.22765,40.35371,-122.17734
0.9869659,0.0038758,0.9767187,0.9927364,SB_Spring_2018,Battle_Conf,Blw_Paynes_Ck,507.48,476.27,Upper Sac R,"Battle_Conf to 
Blw_Paynes_Ck",507.48 to 476.27,5,265,330,40.35371,-122.17734,40.25534,-122.17332
0.9838728,0.0057424,0.9677562,0.9920004,SB_Spring_2018,Blw_Paynes_Ck,Blw_Salt,476.27,456.88,Upper Sac R,"Blw_Paynes_Ck to 
Blw_Salt",476.27 to 456.88,6,330,292,40.25534,-122.17332,40.1464,-122.15246
0.9999833,0,0.9999833,0.9999833,SB_Spring_2018,Blw_Salt,Mill_Ck_Conf,456.88,441.31,Upper Sac R,"Blw_Salt to 
Mill_Ck_Conf",456.88 to 441.31,7,292,278,40.1464,-122.15246,40.0327,-122.11987
0.9941435,0.0088305,0.8967468,0.9996987,SB_Spring_2018,Mill_Ck_Conf,Abv_WoodsonBr,441.31,425.15,Upper Sac R,"Mill_Ck_Conf to 
Abv_WoodsonBr",441.31 to 425.15,8,278,340,40.0327,-122.11987,39.920094,-122.08446000000001
0.9530352,0.0080489,0.9344897,0.9665187,SB_Spring_2018,Abv_WoodsonBr,Blw_IrvineFinch,425.15,394.66,Upper Sac R,"Abv_WoodsonBr to 
Blw_IrvineFinch",425.15 to 394.66,9,340,286,39.920094,-122.08446000000001,39.73146,-121.97483
0.967204,0.0075261,0.9487809,0.9791462,SB_Spring_2018,Blw_IrvineFinch,BlwOrd,394.66,361.72,Upper Sac R,"Blw_IrvineFinch to 
BlwOrd",394.66 to 361.72,10,286,187,39.73146,-121.97483,39.56548,-122.0018
