reach_end,reach_start,estimate,se,lcl,ucl,CI,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
Abv_WoodsonBr,Mill_Ck_Conf,0.983,0.003,0.975,0.988,0.15748269999999998,441.318,425.158,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.318 to 425.158,40.0327,-122.11987,39.920094,-122.08446000000001,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,114,86,2,5,BattleCk_CNFH_Rel
GCID,Abv_WoodsonBr,0.99,0.003,0.983,0.994,0.16514030000000002,425.158,405.273,Upper Sac R,Abv_WoodsonBr to GCID,425.158 to 405.273,39.920094,-122.08446000000001,39.798953499999996,-122.04724300000001,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,86,70,2,6,BattleCk_CNFH_Rel
Blw_IrvineFinch,GCID,0.992,0.004,0.98,0.997,0.1575128,405.273,394.668,Upper Sac R,GCID to Blw_IrvineFinch,405.273 to 394.668,39.798953499999996,-122.04724300000001,39.73146,-121.97483,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,70,59,2,7,BattleCk_CNFH_Rel
Ord,Blw_IrvineFinch,0.99,0.003,0.983,0.994,0.20561779999999996,394.668,371.658,Upper Sac R,Blw_IrvineFinch to Ord,394.668 to 371.658,39.73146,-121.97483,39.63447,-121.98959,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,59,51,2,8,BattleCk_CNFH_Rel
BlwOrd,Ord,0.99,0.005,0.975,0.996,0.1733943,371.658,361.728,Upper Sac R,Ord to BlwOrd,371.658 to 361.728,39.63447,-121.98959,39.56548,-122.0018,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,51,46,2,9,BattleCk_CNFH_Rel
Colusa AC3,BlwOrd,0.995,0.002,0.99,0.998,0.2015424,361.728,331.158,Lower Sac R,BlwOrd to Colusa AC3,361.728 to 331.158,39.56548,-122.0018,39.36038,-122.01373,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,46,40,2,10,BattleCk_CNFH_Rel
Colusa AC2,Colusa AC3,0.989,0.005,0.975,0.996,0.21444990000000008,331.158,318.618,Lower Sac R,Colusa AC3 to Colusa AC2,331.158 to 318.618,39.36038,-122.01373,39.28007,-122.01891,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,40,35,2,11,BattleCk_CNFH_Rel
AbvColusaBr,Colusa AC2,0.989,0.006,0.971,0.996,0.2251208,318.618,307.738,Lower Sac R,Colusa AC2 to AbvColusaBr,318.618 to 307.738,39.28007,-122.01891,39.2205,-122.00847,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,35,31,2,12,BattleCk_CNFH_Rel
Colusa BC2,AbvColusaBr,0.991,0.005,0.973,0.997,0.22984649999999995,307.738,296.278,Lower Sac R,AbvColusaBr to Colusa BC2,307.738 to 296.278,39.2205,-122.00847,39.184963,-121.943214,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,31,28,2,13,BattleCk_CNFH_Rel
Colusa BC3,Colusa BC2,0.996,0.004,0.972,0.999,0.20918009999999998,296.278,287.208,Lower Sac R,Colusa BC2 to Colusa BC3,296.278 to 287.208,39.184963,-121.943214,39.13132,-121.936554,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,28,27,2,14,BattleCk_CNFH_Rel
AbvTisdale,Colusa BC3,0.996,0.003,0.983,0.999,0.23388430000000004,287.208,269.238,Lower Sac R,Colusa BC3 to AbvTisdale,287.208 to 269.238,39.13132,-121.936554,39.0364,-121.82918,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,27,25,2,15,BattleCk_CNFH_Rel
BlwTisdale,AbvTisdale,1,0,1,1,0,269.238,261.408,Lower Sac R,AbvTisdale to BlwTisdale,269.238 to 261.408,39.0364,-121.82918,38.98941,-121.80463,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,25,25,2,16,BattleCk_CNFH_Rel
BlwChinaBend,BlwTisdale,0.998,0.002,0.986,1,0.22987230000000003,261.408,240.618,Lower Sac R,BlwTisdale to BlwChinaBend,261.408 to 240.618,38.98941,-121.80463,38.88406,-121.81713,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,25,24,2,17,BattleCk_CNFH_Rel
Knights_RST,BlwChinaBend,0.995,0.003,0.981,0.999,0.25788730000000004,240.618,222.05,Lower Sac R,BlwChinaBend to Knights_RST,240.618 to 222.05,38.88406,-121.81713,38.79348,-121.6914625,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,24,22,2,18,BattleCk_CNFH_Rel
TowerBridge,Knights_RST,0.996,0.002,0.989,0.998,0.3264153000000001,222.05,172,Lower Sac R,Knights_RST to TowerBridge,222.05 to 172,38.79348,-121.6914625,38.5802,-121.508,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,22,18,2,19,BattleCk_CNFH_Rel
Freeport,TowerBridge,0.991,0.005,0.972,0.997,0.3538528000000001,172,152.438,Lower Sac R,TowerBridge to Freeport,172 to 152.438,38.5802,-121.508,38.46467,-121.50501,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,18,15,2,20,BattleCk_CNFH_Rel
Hood,Freeport,1,0,1,1,0,152.438,138.228,Lower Sac R,Freeport to Hood,152.438 to 138.228,38.46467,-121.50501,38.3617,-121.52033,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,15,15,2,21,BattleCk_CNFH_Rel
Chipps,Hood,0.989,0.004,0.977,0.994,0.46690450000000006,138.228,71.486,West Delta,Hood to Chipps,138.228 to 71.486,38.3617,-121.52033,38.046132,-121.912643,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,15,5,2,22,BattleCk_CNFH_Rel
Benicia,Chipps,1,0,1,1,0,71.486,52.144,Carquinez Strait,Chipps to Benicia,71.486 to 52.144,38.046132,-121.912643,38.0423015,-122.1236,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,5,6,2,23,BattleCk_CNFH_Rel
GoldenGateE,Benicia,0.997,0.003,0.971,1,0.6398158,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,6,6,2,24,BattleCk_CNFH_Rel
