estimate,se,lcl,ucl,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,group,reach_num,mean_rel_date,release_site
0.598,0.024,0.55,0.645,AR_Sunrise_Ramp_Rel,TowerBridge,206.041,172,Lower Sac R,AR_Sunrise_Ramp_Rel to TowerBridge,206.041 to 172,247,39,38.63634,-121.26424,38.5802,-121.508,2022-06-03_AR_Sunrise_Ramp_Rel,1,1,2022-06-03,AR_Sunrise_Ramp_Rel
1,0,1,1,TowerBridge,I80-50_Br,172,170.748,Lower Sac R,TowerBridge to I80-50_Br,172 to 170.748,39,43,38.5802,-121.508,38.571133,-121.5164,2022-06-03_AR_Sunrise_Ramp_Rel,1,2,2022-06-03,AR_Sunrise_Ramp_Rel
0.534,0.107,0.33,0.727,I80-50_Br,Little Pocket_DS of I80,170.748,164.387,Lower Sac R,I80-50_Br to Little Pocket_DS of I80,170.748 to 164.387,43,25,38.571133,-121.5164,38.52448,-121.52849,2022-06-03_AR_Sunrise_Ramp_Rel,1,3,2022-06-03,AR_Sunrise_Ramp_Rel
0.579,0.093,0.394,0.744,Little Pocket_DS of I80,Freeport,164.387,152.438,Lower Sac R,Little Pocket_DS of I80 to Freeport,164.387 to 152.438,25,15,38.52448,-121.52849,38.46467,-121.50501,2022-06-03_AR_Sunrise_Ramp_Rel,1,4,2022-06-03,AR_Sunrise_Ramp_Rel
0.354,0.157,0.125,0.679,Freeport,Abv_Clarksburg,152.438,147.668,Lower Sac R,Freeport to Abv_Clarksburg,152.438 to 147.668,15,8,38.46467,-121.50501,38.43443,-121.52448,2022-06-03_AR_Sunrise_Ramp_Rel,1,5,2022-06-03,AR_Sunrise_Ramp_Rel
